DOD00000001	你好吗，今天天气很好。
DOD00000002	斯坦肯定要花点时间...
DOD00000003	我知道是你杀了斯坦！
DOD00000004	怎么，你想要小费还是什么？好吧，给你个提示：滚开。
DOD00000005	我想我要让斯坦让我当模特...或者演员？你觉得我在广告牌上会好看吗？
DOD00000006	斯坦什么时候回来？詹森是我见过的最不健谈的人。
DOD00000007	什么？
DOD00000008	你不像大多数在这里游荡的人，他们看起来像屎一样脏。你在找什么特别的东西吗？
DOD00000009	最好继续走，女士。这里的小巷会吃了你。
DOD00000010	又是你...我想？呃，你看起来很眼熟。
DOD00000011	我在这里散步，别打扰我。
DOD00000012	这些妓女怎么他妈这么久才来？这些鸡巴药丸撑不了一天的。
DOD00000013	嘿，小甜心，你想不想帮我搞定这个怪物？
DOD00000014	滚蛋，失败者。我在忙着做你无法理解的事，会让你的小脑袋大吃一惊的那种。
DOD00000015	别在我背后偷看了。我有超级机密的数据要反编译和分析，你对着我呼气也没用。
DOD00000016	给我带了个小礼物，是吗？别以为那个冷漠的贱人摩根碰巧给我写了封情书？
DOD00000017	无所谓，把公文包给我，让我把这婊子插进去。
DOD00000018	太好了，你来了。我不确定你是否会对一些含糊的信息感兴趣。
DOD00000019	我是专家摩根，准备好听我们说什么了吗？我相信你能毫不费力地处理这件事。
DOD00000020	我很忙，你也很忙，让我们稍后再聊。
DOD00000021	拿到公文包了吗？好，太好了甚至。但工作还没有结束，不，你的下一个任务...
DOD00000022	你的下一个任务...就是去我旁边的房间把这个公文包交给坐在电脑前的黑客。
DOD00000023	他叫阿利克斯，我不喜欢和他说话。
DOD00000024	把公文包交给阿利克斯。只要走五秒钟，快去吧。
DOD00000025	很好，期待着把信息解密。抱歉让你跟阿利克斯说话。
DOD00000026	不幸的是，他已经意识到他的工作能力足够好，我们不能因为他是个混蛋就解雇他。
DOD00000027	没关系，好消息，你现在拿到钱了。万岁。
DOD00000028	嗯？
DOD00000029	你是邮差，我知道。
DOD00000030	我不知道你的委托人告诉了你多少，但简短的说法是，他们给了我一大笔钱让我跟着你，保证你活下去。
DOD00000031	当然是在合理范围内，没有你的同意，我不会到处跟踪你。
DOD00000032	我得承认，这份合同对我来说不太寻常，但我想你会发现我很擅长这份工作。
DOD00000033	噢对了，我叫查理，如果你的联系人还没告诉你的话。我们该走了，还是...？
DOD00000034	到下班时间了？
DOD00000035	你有任务要给我吗？
