DOD00000001	Howdy-do. Nice weather today.
DOD00000002	Stan sure is taking a while...
DOD00000003	I know you killed Stan!
DOD00000004	What, you want a tip or something? Fine, here's a tip: Fuck off.
DOD00000005	I think I'm going to have Stanny make me a model- or maybe an actress? Do you think I'd look good on a billboard?
DOD00000006	When's Stan coming back? Jansen is the worst conversationalist I've ever met.
DOD00000007	What?
DOD00000008	You're not quite as dirty as most folks who wander around back here. Looking for- Shit. Looking for anything in particular?
DOD00000009	Best keep walking, lady. Alleyways here have a way of grabbing on and never letting you go.
DOD00000010	You again... I think? Eh, you look familiar.
DOD00000011	I'm walking here, don't bother me.
DOD00000012	What's taking these whores so fucking long? These dick pills ain't gonna last all fucking day here.
DOD00000013	Hey sugar-tits, you wanna get to work on this monster for me, or what?
DOD00000014	Fuck off, loser. I'm busy here, doing shit that's so far above your comprehension, it'd blow your tiny little mind.
DOD00000015	Stop peering over my shoulder. I've got super-secret data to decompile and analyze, and you breathing on me isn't helping.
DOD00000016	Oh, got a little present for me, do you? Don't suppose that frigid bitch Morgan happened to include a love letter for me, eh?
DOD00000017	Whatever. Just hand me that briefcase and let me plug this bitch in.
DOD00000018	Oh, good, you showed up. Wasn't sure you'd be interested in some vague message.
DOD00000019	I'm specialist Morgan. So, you ready to hear what we need from you? I'm positive you'll be able to handle it without trouble.
DOD00000020	I'm busy, you're busy. Let's chat later.
DOD00000021	Got the briefcase? Good. Great, even. But the job isn't over. No, your next task...
DOD00000022	Your next task... Is to go to the room right next to mine and hand this briefcase to the hacker prick sitting at a computer.
DOD00000023	His name is Alex, and I don't like talking to him.
DOD00000024	Just hand the briefcase to Alex. It's a five-second walk, let's hustle here.
DOD00000025	Good, looking forward to getting that information decrypted. Sorry about making you speak with Alex.
DOD00000026	Unfortunately, he's picked up on the fact that he's good enough at his job that we can't quite fire him for being a twat.
DOD00000027	Whatever. Good news, you're getting paid now. Hooray.
DOD00000028	Yeah?
DOD00000029	You're the courier, I know.
DOD00000030	I'm not sure how much your contact told you, but the short version is that I've been paid a great deal to follow you around and keep you alive.
DOD00000031	Within reason, of course. I won't stalk you around without your approval.
DOD00000032	This is an unusual contract for me, I'll admit, but I think you'll find me to be quite skilled at my job.
DOD00000033	Oh, and my name is Charlie, if your contact hasn't told you that already. Shall we depart, or...?
DOD00000034	Time to work?
DOD00000035	Do you have a mission for me?
DOD00000036	What do you need?
DOD00000037	Still alive, I see. That's always promising.
DOD00000038	Yes?
DOD00000039	What?
DOD00000040	Do you need something?
DOD00000041	I have some extra stimpaks at the moment. Here, take one. I don't want you to die.
DOD00000042	Hold on, I haven't seen you before. You're not one of Dalton's people, are you?
DOD00000043	Hey, you're back. Did you... You know?
DOD00000044	Hey, I had an idea. I don't wanna worry about raiders anymore, so you should stick around here full-time.
DOD00000045	So, you should marry my sister. Think about it, you could live here, food, shelter, all that... And all you'd have to do is keep us alive forever!
DOD00000046	Heya!
DOD00000047	You should probably go talk to my sister. Keep an eye out if she starts making kissy-faces when you mention O'Neill.
DOD00000048	Whatcha want?
DOD00000049	There better be a good reason for you to be on our property, stranger. Why'd Maggie let you in?
DOD00000050	Still around, I see.
DOD00000051	Alright, who are you, and what do you want?
DOD00000052	Ha, the fuck is this?
