NVSCFix00522	Level [%], [%], [%]
NVSCFix00523	Level [%], [%]
NVSCFix00524	Level [%], [%] [%], [%] [%]
NVSCFix00525	Level [%], [%] [%]
NVSCFix00526	Level [%]
NVSCFix00527	Level [%], NOT Thought You Died, NOT Just Lucky I'm Alive
NVSCFix00528	Level [%], NOT Thought You Died, NOT Ain't Like That Now
NVSCFix00529	Level [%], NOT Just Lucky I'm Alive, NOT Ain't Like That Now
NVSCFix00530	Level [%], [%] [%] OR [%] [%]
NVSCFix00531	Level [%], Ener. Weap. [%]
NVSCFix00532	Level [%], Ener. Weap. [%], [%] [%]
NVSCFix00533	Level [%], [%] [%], Ener. Weap. [%]
NVSCFix00534	Level [%], Melee Weap. [%]
NVSCFix00535	Level [%], Melee Weap. [%], [%] [%]
NVSCFix00536	Level [%], [%] [%], Melee Weap. [%]
NVSCFix00537	Level [%], [%] [%] OR Ener. Weap. [%]
NVSCFix00538	Level [%], [%] [%] OR Melee Weap. [%]
NVSCFix00539	Level [%], AGL [%] OR CHR [%] OR END [%] OR LCK [%] OR PER [%] OR PER [%] OR STR [%]
NVSCFix00540	Level [%], AGL [%] OR CHR [%] OR END [%] OR INT [%] OR LCK [%] OR PER [%] OR STR [%]
NVSCFix00541	Sneak Sight, PER [%]
NVSCFix00542	Sneak Sight[%]
NVSCFix00543	Restore Limb Condition, AGL [%], HP [%]
NVSCFix00544	Restore Limb Condition[%]
NVSCFix00545	Restore Limb Condition, Unarm. Dam. [%], HP [%], AGL [%]
NVSCFix00546	Automatic Use At [%] Health, HP [%]
NVSCFix00547	Automatic Use At [%] Health[%]
NVSCFix00548	Health Regeneration, END [%]
NVSCFix00549	Health Regeneration[%]
NVSCFix00550	Cure Animal Poison, END [%], Rads [%]
NVSCFix00551	Cure Animal Poison[%]
NVSCFix00552	Red Mist, INT [%], STR [%], DR [%], HP [%]
NVSCFix00553	Red Mist[%]
NVSCFix00554	Damage [%], Rads [%], HP [%]
NVSCFix00555	Damage [%]
NVSCFix00556	Unarmed -[%], Guns -[%], Explos. -[%], Melee Weap. -[%], Ener. Weap. -[%], Big Guns -[%], HP -[%]
NVSCFix00557	Restore Limb Condition, Melee Dam. [%], Unarm. Dam. [%], HP [%]
NVSCFix00558	Reduce Speed [%], HP [%]
NVSCFix00559	Reduce Speed [%]
NVSCFix00560	+[%] Attack Speed, HP [%]
NVSCFix00561	+[%] Attack Speed
NVSCFix00562	-[%] Attack Speed, HP [%]
NVSCFix00563	-[%] Attack Speed
NVSCFix00564	Sacred Datura Poison, PER [%]
NVSCFix00565	Cure Animal Poison Automatic Use, Pois. Resis. [%]
