AID00098043	玩家上锁的物品
AID00098044	玩家偷窃
AID00098045	玩家站在家具上
AID00098046	问好
AID00098047	欢迎来到诺瓦克。虽然这地方不怎么有趣，但人们都非常友好。
AID00098048	你瞧见那些火箭爆炸的样子了吗？还好我走运，没有被他们拉去参与伟大旅程。
AID00098049	你觉得是哪里出了问题？
AID00098050	我准备到我们之前聊到的那个小镇上去。
AID00098051	欢迎来到诺瓦克。虽然这地方不怎么有趣，但人们都非常友好。
AID00098052	我的工程技术在这儿还算吃得开。我还有很多事要做，谢谢你向我介绍了这个地方。
AID00098053	嘿！这儿呢！你听得到我说话吗？
AID00098054	到东侧的大房间去，然后沿铁楼梯向上走。快点。
AID00098055	清洁工会敲两下门。记得放他们进来。
AID00098056	宝贝，还惦记着咱们这次相会呢？恕我不能奉陪了。
AID00098057	我倒挺惊讶的，你居然如此记仇。不是我抱怨，你太能挑事了，害得我都和斯万克反目了。
AID00098058	是你逼我摊牌的。因为你，我只能跑路了。真是让人伤心欲绝啊……
AID00098059	既然你没有被吓得尿裤子，那我估计你是还不认得我们，下次我会带上镰刀和黑披风的。
AID00098060	听着，当NCR希望恶人遭受恶运时，他们就会派我们登场……
AID00098061	你得小心点，这里很危险！
AID00098062	听说昨晚又有人受袭击了。
AID00098063	打扰了，你……你就是那个大闹九重天的邮差吗？
AID00098064	嘿，你把木马装进豪斯先生的系统了没有？
AID00098065	这不就是那个拼尽全力跟伟大的凯撒作对的邮差吗！
AID00098066	我跟希鲁斯谈事情的时候，你为什么就不能去旁边的房间等着呢？
AID00098067	你想买神风双头牛？
AID00098068	安德斯前不久来过这里。他说是你把他从避难所里救出来的。
AID00098069	我这颗心可算是放下来了。当初就不该派他去执行那个任务的。
AID00098070	你为我们做的事让我们非常感动。我想你可能用得上这玩意。
AID00098071	这是南边一个小藏身处的钥匙。游骑兵偶尔会在那里休息和补给。我想对你应该能派得上用场。
AID00098072	致敬，旅行者。
AID00098073	又是你？你有什么事，伙计？
AID00098074	你如果不想和我对着干，就把枪放下，朋友。
AID00098075	你他妈是谁？
AID00098076	闭嘴，走你的路。
AID00098077	我不知道你要去哪儿，但我肯定你走错路了。你听见了吗？
AID00098078	你现在想要什么？
AID00098079	<问题>
AID00098080	<发现防辐射服储存点>
AID00098081	<携防辐射服返回>
AID00098082	<警察局对话>
AID00098083	<消防局对话>
AID00098084	你好啊。有空的话记得晚上过来看看。就在西北边，老火车站。
AID00098085	老兄，我受够这里了。都等不及回红岩去了。
AID00098086	NCR确实在这地方投入了不少人力。
AID00098087	希望NCR不会再从水坝调援兵过来。
AID00098088	很难想象这里以前是个豪华度假区吧？
AID00098089	有一段时间没收到查理驻站的报告了——希望那边没出什么事。
AID00098090	你可别跟士兵们说啊，这儿的伙食要比下面的大锅饭好多了。
AID00098091	我们利用这里的系统就可以掌握本地区游骑兵的一举一动。
AID00098092	我真不敢相信汉隆军士长会这样做。
AID00098093	天呐，军士长死了。现在谁来接替他？
AID00098094	如果你有问题就去找汉隆军士长吧。他通常在二楼阳台上。
AID00098095	一个叫做大汗帮的部落加入了我们。他们最好都是些优秀的战士。
AID00098096	他们说是个医生杀死了凯撒。但凯撒要医生干什么？
AID00098097	本尼的事解决了吗？
AID00098098	你回来了。找到什么了？
AID00098099	希望他们别关闭采石场，我还得赚钱呢。
AID00098100	托姆斯进了班房，谁来负责采石场？没有比他更有经验的家伙了！
AID00098101	可能我看错了，但我发誓刚看见采石场的山边有人。
AID00098102	我更在意那些穿黑色护甲的游骑兵。我还没有杀过呢。
AID00098103	如果军团部署在纳尔逊的士兵能更老练些，我们也不至于丢掉那个据点。
AID00098104	致敬。
AID00098105	你准备好要去和本尼算账了吗？
AID00098106	看来事情已经尘埃落定了。本尼死了，我成了老板。你有什么事吗？
AID00098107	嗨。我是老太太吉布森，至少他们是这样称呼我的。我有些稀罕玩意可以卖，另外我对修修补补也很在行。
AID00098108	你可能已经注意到了这里北方那座很大的建筑。那就是太阳神一号。NCR驻扎在那里，所以拾荒者都禁止入内。
AID00098109	军团就要派精英部队过来了，我们可不能坐以待毙。
AID00098110	是时候把秩序带给这片蛮荒之地了。
AID00098111	普瑞姆来了一个新警长。
AID00098112	幸运38突然灯火通明，估计是有人摸进多拉多电站去扳了电闸。我倒是真想把那些灯泡都打掉。
AID00098113	我等了好几个月才排进来，可这地方却没什么人。你觉得那所谓的预约名单是不是只是个噱头？
