DLC20000001	GREETING
DLC20000002	You friend of Sorrows, yes? Together we smash White Legs that defile holy places, yes?
DLC20000003	Outman! Kuna-man mad! He kill all White Legs! You talk! You stop!
DLC20000004	Foolish outman - You best White Legs, you think? By my spear you die!
DLC20000005	...
DLC20000006	Visions guide you. You listen? Heh. Maybe yes, maybe no.
DLC20000007	Hola, outsider. Welcome, child of omens. You come to receive visions of truth?
DLC20000008	You have root of Sacred Datura?
DLC20000009	These roots make sacred vision tea. You drink, you see path before you. Ready?
DLC20000010	Does Ghost of She lie quiet in grave?
DLC20000011	Daniel said that I was to travel with you until you have completed your scouting. Is this pleasing to you?
DLC20000012	Have you reconsidered allowing me to travel with you?
DLC20000013	You are the one Joshua Graham sent to us. Blessings of the Father in the Cave on you - Daniel is waiting for you.
DLC20000014	Greetings and blessings to you. Daniel still awaits you.
DLC20000015	Katu Veo. Blessings of the Father in the Cave on you.
DLC20000016	Katu Veo.
DLC20000017	We go. White Legs go back to Great Salt.
DLC20000018	Unless you and Joshua have any objections, I'd like to start evacuating the Sorrows. I'm going to need your help, so say your piece.
DLC20000019	Please, have you done everything you can for the Sorrows? Are they all accounted for?!
DLC20000020	Hoi! White Legs don't leave survivors often. You're some kind of lucky, let me tell you.
DLC20000021	You came from outside, didn't you? From the civilized lands? Wow... Joshua will want to hear about this.
DLC20000022	Hoi! What you doing? There's still White Legs back there!
DLC20000023	Wait - you came from outside, didn't you? From the civilized lands? Wow... Joshua will want to hear about this.
DLC20000024	Yah ah tahg! I saw you at the southern passage - you... um... you do know there were still White Legs alive when you ran off, right?
DLC20000025	Joshua says you need someone to guide you around the valley. He said I should go with you, if you want.
DLC20000026	Change your mind about bringing me along?
DLC20000027	Good job getting those supplies to Daniel. If you were a Dead Horse, you'd get a tattoo for that.
DLC20000028	You again? Talk to Joshua yet?
DLC20000029	What can I tell you?
DLC20000030	Come on, come on, no time to waste!
DLC20000031	Howdy, friend. Heard my little broadcast, did you? Yeah, you look the type.
DLC20000032	Howdy, friend. Heard my little broadcast, did you? Yeah, you look the type.
DLC20000033	Damn good thing you came along. Now that Ricky's skedaddled, yours is the only Pip-Boy we got.
