AAD00100001	GREETING
AAD00100002	Not now. Let's settle things here.
AAD00100003	If we're done here, let's leave the Divide behind. If we get separated, I'll meet you above Hopeville, near the Canyon Wreckage.
AAD00100004	<Grateful beeping>
AAD00100005	Full circle, walked your road - now back again.
AAD00100006	Something else in you needing an answer?
AAD00100007	< Debug: Ulysses high level topics, do not translate. >
AAD00100008	<Alarmed beeping> 
AAD00100009	<Music>... RALPHIE... fly far, fly fast! 
AAD00100010	<Excited beeping>
AAD00100011	<Happy beeping>
AAD00100012	 
AAD00100013	 
AAD00100014	PLAYER THROW GRENADE
AAD00100015	Watch the blast!
AAD00100016	Explosive!
AAD00100017	PLAYER FIRE WEAPON
AAD00100018	Clearing the chamber?
AAD00100019	Better off saving ammo.
AAD00100020	PLAYER LAY MINE
AAD00100021	A tactic of the Bear.
AAD00100022	Worthy of Hanlon.
AAD00100023	PLAYER IN IRON SITES
AAD00100024	Fire, and I won't take it lying down.
AAD00100025	Better be sure.
AAD00100026	Hello
AAD00100027	Courier.
AAD00100028	Goodbye.
AAD00100029	The Divide belongs to history now. The Mojave awaits.
AAD00100030	Nothing more to say. I'll be going.
AAD00100031	<Happy beeping>
AAD00100032	Attack
AAD00100033	<Violent music>
AAD00100034	
AAD00100035	Let's see what you stand for.
AAD00100036	The Divide'll be your grave.
AAD00100037	Let's have an ending to this.
AAD00100038	Hit
AAD00100039	<Combat beeping>
AAD00100040	<Grunt.>
AAD00100041	<Grunt.>
AAD00100042	Flee
AAD00100043	<Scared beeping>
AAD00100044	Need to get some distance.
AAD00100045	Stronger than I thought.
AAD00100046	Steal
AAD00100047	Scavenger.
AAD00100048	AcceptYield
AAD00100049	<Triumphant beeping>
AAD00100050	Watch yourself.
AAD00100051	Next time, you won't get mercy.
AAD00100052	Assault
AAD00100053	<Aggressive music>
AAD00100054	If that's what you wish.
AAD00100055	Then let's settle this.
AAD00100056	PowerAttack
AAD00100057	
AAD00100058	
AAD00100059	FireExplosive
AAD00100060	I'll answer fire with fire.
AAD00100061	Gift from the Divide.
AAD00100062	AvoidThreat
AAD00100063	<Warning beeping>
AAD00100064	Bombs won't save you.
AAD00100065	Explosive!
AAD00100066	StartCombat
AAD00100067	<Combat music>
AAD00100068	Got you.
AAD00100069	End you.
AAD00100070	Death
AAD00100071	
AAD00100072	
AAD00100073	So it's to be my ending, then.
AAD00100074	End of the road.
AAD00100075	My flag rests here.
AAD00100076	AlertToCombat
AAD00100077	<Alert music>
AAD00100078	Movement.
AAD00100079	Found you.
AAD00100080	There.
AAD00100081	NormalToAlert
AAD00100082	<Warning beeping>
AAD00100083	Something nearby.
AAD00100084	Hear something.
AAD00100085	AlertToNormal
AAD00100086	<Frustrated beeping>
AAD00100087	Comes back, I'll be ready.
AAD00100088	Courier'll show soon.
AAD00100089	CombatToNormal
AAD00100090	<Triumphant beeping>
AAD00100091	Gone.
AAD00100092	Must've took off. Won't leave - not yet.
AAD00100093	CombatToLost
AAD00100094	<Scanning beeping>
AAD00100095	Must've taken cover.
AAD00100096	Gone to ground.
AAD00100097	LostToNormal
AAD00100098	<Frustrated beeping>
AAD00100099	Whatever it was, gone now.
AAD00100100	Comes back, we'll deal with it then.
AAD00100101	LostToCombat
AAD00100102	<Alert music>
AAD00100103	Won't lose you again.
AAD00100104	Didn't walk through ash and hell to lose you now.
AAD00100105	AlertIdle
AAD00100106	<Curious beeping>
AAD00100107	Something's here.
AAD00100108	Checking for movement.
AAD00100109	LostIdle
AAD00100110	<Seeking beeping>
AAD00100111	Don't see anything.
AAD00100112	Can't be far.
AAD00100113	DeathResponse
AAD00100114	Wait here.
AAD00100115	<Confirmatory beeping> 
AAD00100116	<Follow Protocol::Wait>
AAD00100117	Let's trade equipment.
AAD00100118	<Confirmatory beeping> 
AAD00100119	<Storage::Open>
AAD00100120	Enough about tactics.
AAD00100121	<Confirmatory beeping> 
AAD00100122	<Tactics Interface::Close>
