AAD00100001	问好
AAD00100002	现在还不是时候。让我们先把这里的事情解决了。
AAD00100003	如果这儿的事结束了，我们就把大裂谷抛在脑后吧。如果我们走散了，我会在黎明镇上方的峡谷残骸附近与你见面。
AAD00100004	<感激的哗哗声>
AAD00100005	绕了一圈，走过你的路 - 现在又回来了。
AAD00100006	你还有什么需要答案的吗？
AAD00100007	
AAD00100008	<惊慌的哔哔声> 
AAD00100009	<音乐>...拉尔菲...飞得更远，飞得更快！
AAD00100010	<兴奋的哔哔声>
AAD00100011	<开心的哔哔声>
AAD00100012	
AAD00100013	
AAD00100014	玩家扔手雷
AAD00100015	小心爆炸！
AAD00100016	爆炸！
AAD00100017	
AAD00100018	清空房间？
AAD00100019	最好省点弹药。
AAD00100020	
AAD00100021	熊的战术。
AAD00100022	配得上汉隆。
AAD00100023	
AAD00100024	开枪啊，我可不会俯首帖耳的。
AAD00100025	最好是确定一下。
AAD00100026	你好。
AAD00100027	邮差。
AAD00100028	再见。
AAD00100029	大裂谷现在属于历史了，莫哈维在等待。
AAD00100030	没什么可说的了，我要走了。
AAD00100031	<高兴的哗哗声>
AAD00100032	攻击
AAD00100033	<狂暴的音乐>
AAD00100034	
AAD00100035	让我们看看你为谁而战。
AAD00100036	大裂谷将成为你的坟墓。
AAD00100037	让我们结束这一切吧。
AAD00100038	
AAD00100039	<战斗的哔哔声>
AAD00100040	<咕哝。>
AAD00100041	<咕哝。>
AAD00100042	逃跑
AAD00100043	<害怕的哔哔声>
AAD00100044	需要保持一定距离。
AAD00100045	比我想象的要强。
AAD00100046	偷窃
AAD00100047	清道夫。
AAD00100048	
AAD00100049	<欢呼的哔哔声>
AAD00100050	看好自己。
AAD00100051	下一次，你不会再得到怜悯。
AAD00100052	突击
AAD00100053	<激进的音乐>
AAD00100054	如果这是你希望的。
AAD00100055	那我们来解决这个问题吧。
AAD00100056	
AAD00100057	
AAD00100058	
AAD00100059	
AAD00100060	我要以牙还牙。
AAD00100061	来自大裂谷的礼物。
AAD00100062	
AAD00100063	<警告的哔哔声>
AAD00100064	炸弹救不了你。
AAD00100065	爆炸！
AAD00100066	战斗开始
AAD00100067	<战斗音乐>
AAD00100068	抓到你了。
AAD00100069	终结你。
AAD00100070	死亡
AAD00100071	
AAD00100072	
AAD00100073	那么，这就是我的结局了。
AAD00100074	路的尽头。
AAD00100075	我的旗帜在此安放。
AAD00100076	
AAD00100077	<警报音乐>
AAD00100078	转移。
AAD00100079	找到你了。
AAD00100080	那里。
AAD00100081	
AAD00100082	<警告的哔哔声>
AAD00100083	附近有东西。
AAD00100084	听到什么了。
AAD00100085	
AAD00100086	<受挫的哔哔声>
AAD00100087	回来，我会准备好。
AAD00100088	邮差很快就会出现。
AAD00100089	
AAD00100090	<得意的哔哔声>
AAD00100091	消失了。
AAD00100092	一定是离开了，不会离开 - 还不会。
AAD00100093	
AAD00100094	<扫描的哔哔声>
AAD00100095	一定是找好了掩护。
AAD00100096	销声匿迹了。
AAD00100097	
AAD00100098	<受挫的哔哔声>
AAD00100099	不管是什么，现在都消失了。
AAD00100100	回来后，我们再处理。
AAD00100101	
AAD00100102	<警报音乐>
AAD00100103	不会再让你跑掉。
AAD00100104	我不是为了现在跟丢你才经历地狱般的磨难的。
AAD00100105	
AAD00100106	<好奇的哔哔声>
