SEV00000001	Poncho
SEV00000002	Jumpsuit
SEV00000003	Jukebox
SEV00000004	Poster
SEV00000005	Read
SEV00000006	Skull of Big Nasty
SEV00000007	Read
SEV00000008	Rest
SEV00000009	Rest
SEV00000010	Poster
SEV00000011	Read
SEV00000012	Dog Pecker Fly
SEV00000013	Read
SEV00000014	Bugslayer
SEV00000015	Read
SEV00000016	Painting
SEV00000017	Read
SEV00000018	Jukebox
SEV00000019	Rest
SEV00000020	Poster
SEV00000021	Read
SEV00000022	Rest
SEV00000023	Wait
SEV00000024	Winchester '78
SEV00000025	Read
SEV00000026	Mercenary
SEV00000027	Read
SEV00000028	The Devil's Right Hand
SEV00000029	Read
SEV00000030	Bedroll
SEV00000031	Rest
SEV00000032	Enjoy freedom, slaves!
SEV00000033	The Message
SEV00000034	Read
SEV00000035	Rest
SEV00000036	Lost On The Desert
SEV00000037	Read
SEV00000038	Guns for San Salvador
SEV00000039	Read
SEV00000040	Manhunter
SEV00000041	Read
SEV00000042	Pathfinder
SEV00000043	Read
SEV00000044	Poster
SEV00000045	Read
SEV00000046	Don't Forget
SEV00000047	Read
SEV00000048	Corporal Courtesy
SEV00000049	Read
SEV00000050	Poster
SEV00000051	Read
SEV00000052	Poster
SEV00000053	Read
SEV00000054	Poster
SEV00000055	Read
SEV00000056	Poster
SEV00000057	Read
SEV00000058	Poster
SEV00000059	Read
SEV00000060	Poster
SEV00000061	Read
SEV00000062	Move your ass, courier!
SEV00000063	Poster
SEV00000064	Read
SEV00000065	Poster
SEV00000066	Read
SEV00000067	Painting
SEV00000068	Read
SEV00000069	Poster
SEV00000070	Read
SEV00000071	Poster
SEV00000072	Read
SEV00000073	Poster
SEV00000074	Read
SEV00000075	Enjoy freedom, slaves!
SEV00000076	Poster
SEV00000077	Read
SEV00000078	Poster
SEV00000079	Read
SEV00000080	Poster
SEV00000081	Read
SEV00000082	Poster
SEV00000083	Read
SEV00000084	Poster
SEV00000085	Read
SEV00000086	Poster
SEV00000087	Read
SEV00000088	Rest
SEV00000089	Poster
SEV00000090	Read
SEV00000091	Rest
SEV00000092	Steve's Terminal
SEV00000093	Kisses!
SEV00000094	Competition
SEV00000095	Loading...
SEV00000096	MURDER
SEV00000097	Loading...
SEV00000098	No Justice
SEV00000099	Loading...
SEV00000100	Oliver's Terminal
SEV00000101	"Individual Ambition Serves the Common Good."
SEV00000102	A New Beginning
