FO300000001	.32手枪
FO300000002	中式突击步枪
FO300000003	中式手枪
FO300000004	战斗霰弹枪
FO300000005	毒镖枪
FO300000006	改装猎枪
FO300000007	迷魂枪
FO300000008	核子手雷
FO300000009	射钉枪
FO300000010	捣蛋发射器
FO300000011	短管霰弹枪
FO300000012	.44马格南左轮手枪-带瞄准镜
FO300000013	10mm手枪-带消音器
FO300000014	加特林激光炮
FO300000015	10mm手枪
FO300000016	突击步枪
FO300000017	破片地雷
FO300000018	砍刀
FO300000019	擀面杖
FO300000020	中式军官佩剑
FO300000021	赶畜棒
FO300000022	“黑鹰”左轮手枪
FO300000023	蟹人猎手手榴弹
FO300000024	“自由”激光枪*
FO300000025	试作型分导集束迷你核弹发射器
FO300000026	战斗霰弹枪
FO300000027	战斗霰弹枪
FO300000028	林肯的杠杆枪
FO300000029	中式突击步枪
FO300000030	自由先锋炮弹
FO300000031	“祝融”v418型驳壳枪
FO300000032	“瓦兹”激光步枪
FO300000033	激光手枪
FO300000034	大锤
FO300000035	狼牙棒
FO300000036	弹簧刀
FO300000037	战斗匕首
FO300000038	中式军官佩剑
FO300000039	希妮的“激进派”冲锋枪*
FO300000040	“无痛杀手”猎枪
FO300000041	“清台”桌球杆
FO300000042	奥托姆上校的10毫米手枪
FO300000043	“执法者”左轮手枪
FO300000044	“旺达”突击步枪
FO300000045	“恐怖”霰弹枪
FO300000046	“黑男爵的克星”BB枪
FO300000047	“私贩终结者”激光手枪
FO300000048	“尤金”多管机枪
FO300000049	A3-21的电浆步枪
FO300000050	“碎膝”霰弹枪
FO300000051	希德妮的10mm“超级”冲锋枪
FO300000052	10mm手枪
FO300000053	激光步枪
FO300000054	老格雷迪的“调解者”警棍
FO300000055	福克斯的动力锤
FO300000056	“布奇的牙签”弹簧刀
FO300000057	血族之刃
FO300000058	劫道撬棍
FO300000059	火焰喷射器
FO300000060	RL-3的电浆枪*
FO300000061	蟹人王超声波
FO300000062	“民兵”狙击步枪
FO300000063	“嫩肉”铁锤
FO300000064	奥托姆上校的激光手枪
FO300000065	短管霰弹枪
FO300000066	超级动力锤
FO300000067	“倒弹”发射器
FO300000068	激光手枪
FO300000069	迷魂枪
FO300000070	“震慑者”手套
FO300000071	训诫棍
FO300000072	蚁颚刀
FO300000073	自动护卫的激光凝视枪*
FO300000074	开膛手“杰克”
FO300000075	“玄龙”突击步枪
FO300000076	可萝尔的菜刀*
FO300000077	“爱之击”指虎
FO300000078	灼烧射线枪
FO300000079	“破咒”棒球棍
FO300000080	亚瑟王的魔法棒球棍
FO300000081	“炎王”火焰喷射器
FO300000082	“刺刺乐”战斗匕首
FO300000083	“普朗基特”逼供指虎
FO300000084	爆裂狼牙棒
FO300000085	“复仇者”多管激光机枪
FO300000086	“凯旋”狙击步枪
FO300000087	“铁拳”动力拳套
FO300000088	奥卡姆剃刀
FO300000089	玩家上锁的物品
