FO300000001	.32 Pistol
FO300000002	Chinese Assault Rifle
FO300000003	Chinese Pistol
FO300000004	Combat Shotgun
FO300000005	Dart Gun
FO300000006	Hunting Rifle
FO300000007	Mesmetron
FO300000008	Nuka-Grenade
FO300000009	Railway Rifle
FO300000010	Rock-It Launcher
FO300000011	Sawed-Off Shotgun
FO300000012	Scoped .44 Magnum
FO300000013	Silenced 10mm Pistol
FO300000014	Gatling Laser
FO300000015	10mm Pistol
FO300000016	Assault Rifle
FO300000017	Frag Mine
FO300000018	Slasher Knife
FO300000019	Rolling Pin
FO300000020	Chinese Officer's Sword
FO300000021	Repellent Stick
FO300000022	Blackhawk
FO300000023	Mirelurk Bait Grenade
FO300000024	Liberty Laser
FO300000025	Experimental MIRV
FO300000026	Combat Shotgun
FO300000027	Combat Shotgun
FO300000028	Lincoln's Repeater
FO300000029	Chinese Assault Rifle
FO300000030	LibertyPrimeWeapBomb
FO300000031	Zhu-Rong v418 Chinese Pistol
FO300000032	Wazer Wifle
FO300000033	Laser Pistol
FO300000034	Sledgehammer
FO300000035	Nail Board
FO300000036	Switchblade
FO300000037	Combat Knife
FO300000038	Chinese Officer's Sword
FO300000039	Sydney's 10mm "Ultra" SMG
FO300000040	Ol' Painless
FO300000041	The Break
FO300000042	Col. Autumn's 10mm Pistol
FO300000043	Law Dog
FO300000044	Wanda
FO300000045	The Terrible Shotgun
FO300000046	Black Bart's Bane
FO300000047	Smuggler's End
FO300000048	Eugene
FO300000049	A3-21's Plasma Rifle
FO300000050	The Kneecapper
FO300000051	Sydney's 10mm "Ultra" SMG
FO300000052	10mm Pistol
FO300000053	Laser Rifle
FO300000054	O'Grady's Peacemaker
FO300000055	Fawkes' Super Sledge
FO300000056	Butch's Toothpick
FO300000057	Vampire's Edge
FO300000058	Highwayman's Friend
FO300000059	Flamer
FO300000060	Plasma Gun
FO300000061	Shriek
FO300000062	Reservist's Rifle
FO300000063	The Tenderizer
FO300000064	Col. Autumn's Laser Pistol
FO300000065	Sawed-Off Shotgun
FO300000066	Super Sledge
FO300000067	Miss Launcher
FO300000068	Laser Pistol
FO300000069	Mesmetron
FO300000070	The Shocker
FO300000071	Board of Education
FO300000072	Ant's Sting
FO300000073	Protectron's Gaze
FO300000074	Jack
FO300000075	Xuanlong Assault Rifle
FO300000076	Clover's Cleaver
FO300000077	Love Tap
FO300000078	Firelance
FO300000079	Curse Breaker
FO300000080	Excalibat
FO300000081	Burnmaster
FO300000082	Stabhappy
FO300000083	Plunkett's Valid Points
FO300000084	Breaker
FO300000085	Vengeance
FO300000086	Victory Rifle
FO300000087	Fisto!
FO300000088	Occam's Razor
FO300000089	PLAYER LOCKED OBJECT
FO300000090	Tamper with that, and we're going to have a problem.
FO300000091	I really hope you're not thinking of breaking into there.
FO300000092	It's locked for a reason. Don't get any ideas.
FO300000093	Don't even think of breaking into that.
FO300000094	That's secure for a reason.
FO300000095	Hands off.
FO300000096	Leave that alone.
FO300000097	That's not yours.
FO300000098	I don't think that belongs to you.
FO300000099	Is that yours?
FO300000100	I don't think you should mess with that.
FO300000101	PLAYER PICKPOCKET
FO300000102	Keep your hands to yourself.
FO300000103	Not a good idea.
FO300000104	What do you think you're doing?
FO300000105	I can see what you're doing, you know.
FO300000106	I don't think I have anything you'd want.
FO300000107	Don't touch me.
FO300000108	Don't even think about it.
FO300000109	What do you think you're doing?
FO300000110	I'm watching you.
FO300000111	Keep your hands to yourself.
FO300000112	You won't get away with that.
FO300000113	Not a good idea.
FO300000114	PLAYER STAND ON FURNITURE
FO300000115	GREETING
FO300000116	You there. Hold it. Who the hell are you?
FO300000117	Ho chum! What's the word?
FO300000118	You're brave to keep bothering me. Or stupid.
FO300000119	I hope you know what you're doing. You could get in a lot of trouble by coming around uninvited.
FO300000120	What are you doing here? It's not safe for your kind around here.
FO300000121	Hello. What is it?
FO300000122	What the hell do you want?
FO300000123	Pleased to meet you. I'm Knight Dillon. If there's anything you need here, I'll try and help.
FO300000124	Hello again.
FO300000125	Knight Finley at your service. What can I do for you?
FO300000126	What is it you needed?
FO300000127	Welcome to the Galaxy News Radio Outpost. I'm Sergeant Wilks, and I'm in charge here. What brings you into the D.C. area?
FO300000128	What else can I help you with?
FO300000129	Sorry, I'm on guard duty. Wouldn't want this place to get overrun with Super Mutants.
FO300000130	Sentinel Lyons calls the shots around here. If you need anything, she can probably help you.
FO300000131	Bring on some more Super Mutants! I'm not finished with them yet!
FO300000132	Babysitting this place is no picnic, I can tell you that.
FO300000133	Thanks for your help. We'll take any we can get.
FO300000134	If you need something, talk to one of the Knights. They can help you.
FO300000135	What's up?
FO300000136	Hey, all right! The Hero of the Wasteland returns!
FO300000137	You got the dish! I knew the Good Fight could count on you!
FO300000138	Now, get that sucker over to the Washington Monument pronto and I'll get to singing your praises!
FO300000139	No use hanging around the station. Get the dish to the top of the Washington Monument as soon as possible.
FO300000140	You look like someone with about a million questions. Lay 'em on me.
FO300000141	What else can Three Dog do for you?
FO300000142	I've told you the score, all you need to do is play the game. You in?
FO300000143	So, you ready to make a deal? Or are you just trying to get another look at my strikingly handsome face?
FO300000144	The look on your face says it all. You're wondering who the heck this guy is and why you should care. Well, prepare to be enlightened.
FO300000145	So, you came back. That's good. The Good Fight can always use another soldier.
FO300000146	You're new. And you're too big to be a resident. Who are you?
FO300000147	Who are you? What are you doing in here?
FO300000148	Got yourself a boo-boo?
FO300000149	What sort of scrape did you get yourself into, this time?
FO300000150	Got yourself another few scrapes?
FO300000151	Yes?
FO300000152	Well, here's something I don't see every day. A new face in Little Lamplight!
FO300000153	A bit big for one of our kids, but you seem all right. What's your story down here?
FO300000154	Well, now here's something new. What's a grown-up like you doing in Little Lamplight?
FO300000155	Don't tell me MacCready's going soft on us!
FO300000156	Is there something you'd like to learn?
FO300000157	What's happening?
FO300000158	Great, RJ let in another pair of choppers to eat up all our food.
FO300000159	Well, as long as you don't give me any crap about how I prepare your grub, I guess you'll be okay.
FO300000160	So, tell me: what do you think of cave fungus in watery mushroom sauce?
FO300000161	Okay, RJ had better have had a good reason to let you in.
FO300000162	Because right now, all I'm seeing is a mungo who's here to take our food and screw us over.
FO300000163	Come on and get your grub!
FO300000164	Ready for some fine roast beast served in a creamy ginger sauce?
FO300000165	Yeah, I'll bet you are! Too bad it's still fungus chunks for us all!
FO300000166	Hey, what's up?
FO300000167	Hewwo, I'm Biwwy. Wewcome to Wittwe Wampwight!
FO300000168	Hey, you wook wike you'we handy with a weapon. I got kicked off the scav team, so I guess I don't need mine anymowe.
FO300000169	Wanna buy my wazer wifle? Five hundwed caps, and it's aww youws!
FO300000170	Hewwo, mistaw.
FO300000171	Hewwo, miss.
FO300000172	I'm going on an adventure!
FO300000173	Whoa. You're big. You must be the biggest kid here!
FO300000174	I'm the littlest kid. My real name's Betty. But mostly, I get called Bumble.
FO300000175	What're you called, big kid?
FO300000176	Whoa. I've never seen a mungo so close.
FO300000177	Are you a Raider? Or a Slaver? Or a Mutant?
FO300000178	'Cause if you are, I'm supposed to go hide 'cause I'm too young to use a gun yet.
FO300000179	Uh oh. Now what?
