OWB00000001	问好
OWB00000002	泰迪熊无脑人回来了...我的泰迪熊.我能帮着做什么来减轻你的好奇心?
OWB00000003	-是救了我们的那只无脑人！  你好.-
OWB00000004	*莫比乌斯是否真的有他看上去的那么邪异？ 我简直不敢相信你进入了禁区而且还活着。我们之中没人做得到。*
OWB00000005	*有任何新的研究么?*
OWB00000006	我们为你所做的一切表示感谢。你的帮助，我们对此感到非常欣慰。
OWB00000007	我感受到一种奇怪的情感...单调？态度？不，等等。是感谢，对，就是它。
OWB00000008	由你代理节省了不少人力.  我们现在都有些清闲了。工作。工作。我们需要更多的工作。
OWB00000009	无脑人回来了.我们的无脑人.莫比乌斯博士是否已经如我所愿的分解成废金属和语音模组了呢？
OWB00000010	-克莱因，正等着！ 所有人都在。-
OWB00000011	-我前面的脑残动物！还有什么其它的恐怖行径会来找我们的麻烦？共产主义者？共产主义动物？-
OWB00000012	-小心，别试图向我宣传什么，我将会像个惊恐的婴儿那样哭叫，呼叫忠诚的生化狗来帮助我。明白了么，共产主义动物？-
OWB00000013	-非常感谢你饶了加布 - 我知道他真的非常 致命， 这就是我为什么必须得改进他。-
OWB00000014	-但是你不需要任何那东西。你真的非常难琢磨 - 或者说跑的非常快。甚至比我们的老邮差还快 - 他在加布抓到他之前并没能跑多远。-
OWB00000015	-那么 - 你放倒了加布。谢谢你 - 一个小混蛋，但是真的，他那高度增强的战斗程序已经证明是个相当大的麻烦。-
OWB00000016	-不管怎么说……感谢你搞定他。这样就少了一个要去编目和归类的实验项目 - 显而易见，一项犬类生化工程失败了。-
OWB00000017	-无脑人回来了！他可怕的脑袋里在酝酿着什么阴险的计划呢？又准备放出什么反美的共产宣传？-
OWB00000018	哦，我发现你和你的头脑达成一致了,这真好。
OWB00000019	我假设我的接收器在经受了这么多令人恼怒的噪声频率之后……，面对这样一个建立在搭档关系基础上的结论……也会跌价到“大概”这样的程度上。
OWB00000020	哈？呀……哦……你好。呃……你……在那里，是不是？原谅我的混乱，往事一言难尽啊。
OWB00000021	你看起来很眼熟，怎么说呢。我猜……呃……你来这，大概是为了你的大脑，是吗？它就在那边。多么棒的大脑，既年轻，又非常聪明。
OWB00000022	想看到你有点难，能不能走到我的左边……呃，视场的右方？啊，就是那里，你的像这下很清晰了。
OWB00000023	继续，继续！你已经浪费我很多宝贵的时间了。
OWB00000024	好吧？你在等什么呢？赶快走，让我一个人静一静。
OWB00000025	没有时间给你浪费了！快去处理那些思想体！
OWB00000026	哦！不要担心我。当我们都回到汇聚节点的时候我们可以谈更多的事情。
OWB00000027	现在我有种非常奇怪的似曾相识的感觉。那是法语……呃……啊……Déjà Vu(法语：似曾相识)，我相信。我们以前遇到过么？
OWB00000028	总是非常高兴见到你，宝贝儿。从外边给我带来什么新的植物了么?
OWB00000029	>哦……哦耶，宝贝儿，再次联线的感觉真好！耶，所有电路开始工作了……准备接受你的种子。
OWB00000030	你真应该去见见克莱因博士。我们都在等着你的试验结果。
OWB00000031	你是个特例，如此大胆……居然敢到……强大的思想体面前。像泰迪熊一般的无畏和自豪。
OWB00000032	大多数无脑人，不管是具有高逻辑能力的还是那些害怕到吓尿的，连接近我们都不敢，更别说来独自与我们谈话了。
OWB00000033	然后你并没有害怕，而是选择面对我，你的表皮沾满鲜血，皮下血浆如熔岩般奔流，你的脸被强烈的情绪所扭曲。
OWB00000034	你会……满足我吗？说……说句话啊？面向那些监视器吧，求你了……那样我才能把它记下来……为了进一步的检查。
OWB00000035	你还是回来了，和泰迪熊一样好奇。你陷入了一个问候手势的死循环之中？
OWB00000036	*克莱因可是个没耐心的人，不要让他久等。*
OWB00000037	*爆炸性新闻:会讲话的无脑人抵达智库. 它的目的？不清楚. 目前尚不明确. 它会呆在这里？ 不可能. *
OWB00000038	你回来做什么？莫比乌斯的威胁仍然存在！更糟糕的是，他正要将我们的通信存储磁盘全部装满！
OWB00000039	我听着像是有人进入了平静场... 没错，嘘。没人。散了吧。让我来处理。
OWB00000040	警告，入侵者！你正面对着强大的大山脉思想体,智慧的集合……我们……
OWB00000041	...以奥本海默的名义！你们中哪个装天才的家伙扭了我的音量旋钮？是谁？是你吗，8？
OWB00000042	我会在汇聚节点与你见面。好运。
OWB00000043	呸！你对我的侮辱已经够过分了，你还要继续对我胡说八道么？
OWB00000044	很高兴看到你回来。我相信探险非常顺利。
OWB00000045	莫比乌斯。总是同样的广播。显而易见，他疯了，被他自己那漏洞百出的的幼稚园级的研究方法论给整疯了。
OWB00000046	你把那些技术回收了吗？我需要它们，就如我之前表明的。
OWB00000047	无脑人。你能听懂我说什么吗？你能说话吗？
OWB00000048	看它的嘴里那舌头的卷曲，像某种……粘稠的有肌肉组织的蠕虫。
OWB00000049	哦，又是你。你需要什么？
OWB00000050	好吧，好吧，看来有人终于把自己从废土之外拉回到这里了。我们去过哪儿，嗯？屈身爬过那充满辐射物的维修区？
OWB00000051	啊，肉肉回来了，好可爱。
OWB00000052	你。能明白我们的话那只无脑人。我是克莱因博士。不要害怕。我们非常善良……呃，我是说不会伤害你。
OWB00000053	-这是报应！ 我们妄图扮演上帝，最终制造了一头怪兽！-
OWB00000054	也许我们用我们的刀无情地切下它的脑白质，我们赋予这个皮壳子...意识。一个用新材料填充的泰迪熊诞生了。
OWB00000055	停. 就是说你认为这只无脑人能理解咱们...可以跟咱们理论...*
OWB00000056	那么这可能就是我们要找的答案。终于，机会到了……
OWB00000057	哦，"O博士"，是你？不大可能，O在生物凝胶构成的点阵里怎么能同时触发两个神经元呢.
OWB00000058	*什么？我？真是爆炸性新闻，克莱因，那不是我 - 你懂么？我是个机器人工程师，8是搞声波的，那是他的“专长”。
OWB00000059	*你总在做这样的事，你总是在客人面前掉我面子！而且不是“O”，好吧，它是……！*
OWB00000060	够了！我不管你俩谁做的，记住没有下次了. 现在...现在...
OWB00000061	...很好. 我记不起要说什么话了...我刚才说什么来着？
OWB00000062	-是只无脑人。这儿！在圆顶！-
OWB00000063	哦，还能更最糟吗，和一只无脑人共处一室. 达拉，在它到处排泄前把它处理掉.
OWB00000064	-克莱因博士！ 禁区的传讯！冲咱们来的！-
OWB00000065	这只可能是……
OWB00000066	克莱因博士...没猜错的话，这无脑人脑内储存着我们发出的信号 - 确切说是它曾包含的脑子里.
OWB00000067	如果这样，环形坑外面就的确存在某些事物.
OWB00000068	看着它……看它眨眼的方式。就像个无毛的大泰迪熊。
OWB00000069	我知道它是什么，达拉，我想知道它为何会在这。而且……它的肢体到处都是。
OWB00000070	还有.....那些在它脚上扭曲蠕动的.....生殖器？好恶心....
OWB00000071	我相信那是脚趾，克莱因博士。小泰迪熊脚趾。生殖器要比那些小玩意大很多……呃……不是，这些我什么都不知道。
OWB00000072	*我可不记得人类的生殖器有那么大。*
OWB00000073	这决定于每个人自己的身体标准，O博士。看它那有两个吸氧口的小鼻子。
OWB00000074	鼻子？我的大静电啊，这些无脑人用他们那一堆堆的的无用肢体彻底挫败我了。
OWB00000075	-克莱因博士！看，它头部的动作，最原始的胶状肉眼监视器！
OWB00000076	我同意包若斯那戏剧性的看法. 这只无脑人作为一个大脑被移除的生物，注意力集中的不寻常.
OWB00000077	胡说八道。无脑人不可能理解我们。
OWB00000078	＠＠[=$+<_--*]?
OWB00000079	* 8，你又在嗑曼他特？知不知道咱们要是放慢高贵的进程接收器认真听它乱喷，别人看来是何等无知啊！*
OWB00000080	所有人，关闭电源，闭嘴，让我彻底的证明你们错的多么严重。如以往一样。
OWB00000081	这些不是我的老同事吗，大山脉万能的思想体们. 大笨蛋,你们所有人都是.
OWB00000082	你给我带来了一些植物是吗？嗯，你身上有植物的香味。
OWB00000083	好吧，你好！我还在等着种子哪。
OWB00000084	你回来了！而且那些大脑们并没有让你脑残！呃， 至少没有更坏，呼哈！
OWB00000085	这里没有你，很寂寞。虽然会比较整洁，呃，但是很寂寞。
OWB00000086	哦上帝，看看你！你……太脏了。我想你要……想清洗一下么？
