OWB00000001	GREETING
OWB00000002	The teddy bear Lobotomite returns... my teddy bear. How can I assist in relieving your curiosity?
OWB00000003	-The Lobotomite who SAVED us! Hello.-
OWB00000004	*So was Mobius as twisted as he looked in person? Can't believe you entered the Forbidden Zone and lived. None of us can.*
OWB00000005	*Any new research?*
OWB00000006	THANK YOU FOR WHAT YOU HAVE DONE. THE HELPING, THAT IS. WE LIKE THAT.
OWB00000007	I FEEL AN ODD EMOTION... PLATITUDE? ATTITUDE? NO, WAIT. GRATITUDE, THAT'S IT.
OWB00000008	WE ARE LABORING AWAY SCIENTIFICALLY ON YOUR BEHALF. TOILLESS RESEARCHERS THAT IS WHAT WE ARE. TOIL. TOIL. TOIL.
OWB00000009	THE LOBOTOMITE RETURNS. OUR LOBOTOMITE. HAS DR. MOBIUS BEEN DENOMINATORED INTO SCRAP METAL AND VOICE MODULE PARTS AS WE HOPED?
OWB00000010	-Klein AWAITS! As do we all.-
OWB00000011	-The LOBOTOMITE animal before me! What other terrifying terrors will plague us in our quest for knowledge? Communists? Communist ANIMALS, perhaps?-
OWB00000012	-Be warned, attempt to propaganda ME, I will shriek as a frightened babe, calling loyal Cyberdogs to my aid. Do you comprehend, Commie animal?-
OWB00000013	-Thanks SO much for sparing Gabe - I know he's really QUITE killable, which is why I had to AUGMENT him.-
OWB00000014	-But you needed NONE of that. You're QUITE elusive - or fleet-footed. More so than our old mailman - HE didn't get far before Gabe caught him.-
OWB00000015	-SO - you put down Gabe. Thank you - a scamp, but really, his highly-augmented combat programming could have proved meddlesome.-
OWB00000016	-In any event... thank you for putting him down. One LESS test subject to catalogue and sort - clearly a FAILURE of doggie cybo-engineering.-
OWB00000017	-The LOBOTOMITE returns! What insidious plan can it have brewing in its horrid mind? What Commie anti-American propaganda will it spew?-
OWB00000018	Oh, I see you and your Brain reached a compromise. How pleasant.
OWB00000019	I hypothesize after the indignant frequencies my receptors had... recepted, such a partnership-based conclusion would be... low on the "likely" scale.
OWB00000020	Mmm? Y... oh... hello there. Eh... you... are there, aren't you? Forgive my confusion, so hard to tell these days.
OWB00000021	You seem familiar, somehow. I'm guessing... eh... you're here for your brain, perhaps? It's just up there. Such a nice brain, young, very bright.
OWB00000022	A little hard to see you, can you walk into my left... er, right FOV cone? Ah, that's it, you're coming into focus nicely.
OWB00000023	Go on, go on! You've wasted enough of my valuable time.
OWB00000024	Well? What are you waiting for? Get moving and leave me in peace.
OWB00000025	No time to waste! Go deal with the Think Tank!
