WIL00000001	维儿
WIL00000002	&PCName; 的东西
WIL00000003	凯尔
WIL00000004	凯尼
WIL00000005	斯坦
WIL00000006	温迪
WIL00000007	大个子
WIL00000008	维儿的内衣袋
WIL00000009	杰茜卡
WIL00000010	维儿的收藏品
WIL00000011	维儿的清理项目
WIL00000012	问好
WIL00000013	你好
WIL00000014	你们好吗？
WIL00000015	当然
WIL00000016	是啊，怎么了？
WIL00000017	你们好吗？
WIL00000018	我们走
WIL00000019	这么说你一定要反对NCR？
WIL00000020	你为NCR工作是为了和他们结盟吗？
WIL00000021	要端掉整个兄弟会，豪斯先生是不是要求太多？我觉得这么久他早已遗忘做人什么是感觉，变的麻木不仁了。
WIL00000022	我知道你仰慕凯撒，但是你真的要帮他修复榴弹炮吗？
WIL00000023	我不觉得炸掉单轨列车就能把NCR赶回加州，你呢？
WIL00000024	我希望自己你玩的开心。几天前我就在生你的气，现在依旧在生气。
WIL00000025	布恩妻子的事是那么令人悲痛，很高兴你能为他做点什么。
WIL00000026	我们要去喝一杯吗?
WIL00000027	你有我想喝的东西吗?
WIL00000028	这里实在太闷了,不是吗?
WIL00000029	我希望我们为这里做点什么。
WIL00000030	我很高兴我们能帮助这些人。
WIL00000031	嘿。
WIL00000032	这些家伙看上去没那么糟,不是吗?他们的变异程度并不高而且没有打算吃了我们，我觉得挺庆幸。
WIL00000033	这个地方真够大。
WIL00000034	怎么了？
WIL00000035	军团经常骚扰这里，对吗？
WIL00000036	卧槽！辐射！你吃了抗辐X了吗？我的意思是如果你缺这玩意我可能正好有几包。
WIL00000037	辐射。一如既往的让人郁闷，是吧？
WIL00000038	你能搞定吗？觉得在这里的辐射严重吗？这地方真够受的。
WIL00000039	NCR就驻扎在这附近，这让我觉得安心。
WIL00000040	怎么了？
WIL00000041	我简直不敢相信他们对这个小镇所做的事。
WIL00000042	真是残忍，整个镇子都被夷为平地。
WIL00000043	嘿。
WIL00000044	我喜欢这地方，给人家的感觉。
WIL00000045	漂亮极了,不是吗?
WIL00000046	怎么了？
WIL00000047	能早点离开吗？我巴不得早点离开这里。
WIL00000048	嘿。
WIL00000049	咱们呆在一起,行吗？这些人让我觉得不怎么自在。
WIL00000050	嘿。
