WIL00000001	Willow
WIL00000002	&PCName;'s Items
WIL00000003	Kyle
WIL00000004	Kenny
WIL00000005	Stan
WIL00000006	Wendy
WIL00000007	The Big Guy
WIL00000008	Willow's Lingerie Bag
WIL00000009	Jessica
WIL00000010	Willow's Collectibles
WIL00000011	Willow's Scavenged Items
WIL00000012	GREETING
WIL00000013	Hi there.
WIL00000014	How ya doin'?
WIL00000015	Yeah.
WIL00000016	Yeah, what is it?
WIL00000017	How ya doin?
WIL00000018	Let's go.
WIL00000019	So you're definitely going to work against the NCR?
WIL00000020	Are you planning to ally with the NCR, is that why you're running these errands for them?
WIL00000021	Mr. House isn't asking for much is he?  Just kill the entire BOS.  I think he's been a machine for so long he's forgotten what it's like to be human.
WIL00000022	I know you like Caesar, but did you have to fix his howitzer for him?
WIL00000023	I don't think bombing the monorail is going to send the NCR running back to California, do you?
WIL00000024	I hope you had fun.  I'm still mad at you.  And it'll be a couple of days before I'm done being mad at you.
WIL00000025	Boone's story about his wife is so sad.  I'm glad you're helping him.
WIL00000026	Are we going to have a drink?
WIL00000027	Do you have my drink?
WIL00000028	It's depressing here, isn't it?
WIL00000029	I wish there was something we could do to help out around here.
WIL00000030	I'm glad we're helping these guys out.
WIL00000031	Hey there.
WIL00000032	These guys don't seem so bad, huh?  They aren't high on chems. They aren't  trying to eat us. It could be a lot worse.
WIL00000033	This place is so big.
WIL00000034	What's up?
WIL00000035	The legion made quite a mess here, didn't they?
WIL00000036	Ugh! Radiation!  Are you set for chems?  I might have some extras in my scavenged stuff.
WIL00000037	Radiation. Always good for a few laughs, huh?
WIL00000038	This place is a mess.  You doin' okay? Think there's enough radiation around here?
WIL00000039	NCR as far as the eye can see.  You know, I feel right at home here.
WIL00000040	What's up?
WIL00000041	I can't believe what they did to this town.
WIL00000042	It's such a waste.  The whole town just gone.
WIL00000043	Hey there.
WIL00000044	I like it up here. It reminds me of home.
WIL00000045	It's beautiful up here, isn't it?
WIL00000046	What's up?
WIL00000047	Can we leave soon? I'll be a lot happier when we get out of here.
WIL00000048	Hey there.
WIL00000049	These guys make me nervous.  Stay close, okay?
WIL00000050	Hey there.
WIL00000051	The Nightkin are amazing!  The way they sneak...it gives them such an advantage.
WIL00000052	This place is kind of weird.
WIL00000053	So, we're back here again.
WIL00000054	So, how's Lucy today?
WIL00000055	Hey there.
WIL00000056	Hey, we got a lead on the guy in the checkered coat!  That was a good break, huh?
WIL00000057	Good job killing that Nipton-destroying Legion scum. I hope you took his stupid hat.
WIL00000058	Hi! Can I do something for you...or to you?
WIL00000059	My brother, Chuck, wanted to fight for the NCR.
WIL00000060	I feel like we're walking around inside a tin can in here.
WIL00000061	You're wearing the suit.  He's dead isn't he?  Good.  He deserved it.
WIL00000062	So Benny's dead.  I'm glad. He deserved it.
WIL00000063	You did it!  You killed Caesar!
WIL00000064	Whatever you did for Boone at Bitter Springs, it was good.  He seems much better now.
WIL00000065	I'm not sure what you did to Boone at Bitter Springs, but he seems worse than ever.  Weren't we trying to help him?
WIL00000066	What do you want?
WIL00000067	Hi, have you been missing me?
WIL00000068	You've never said anything about it. Do you like the presents I've been giving you in the mailbox?
WIL00000069	Hey! How's it going?
WIL00000070	<Yawn>
WIL00000071	I am so hungry!  Can we make that meal now?
WIL00000072	Hope you didn't mind the big kiss.
WIL00000073	Wow, that was wonderful. You were wonderful. I hope we can do that again sometime.
WIL00000074	Do you have a minute? I have something I want to talk to you about.
WIL00000075	Hi! Can I do something for you...or to you?
WIL00000076	Hey there.
WIL00000077	What's up?
WIL00000078	What's up?
WIL00000079	Sorry!
WIL00000080	What do you want?
WIL00000081	What's up?
WIL00000082	Are you ready?
WIL00000083	Hey there.
WIL00000084	Hey, you've got a plan, don't you?
WIL00000085	Tell me what you want and I'll do it.
WIL00000086	What's next?  A little gambling?  A little drinking?
WIL00000087	What's next?  Gambling? A show? A drink?
WIL00000088	I wouldn't mind leaving soon.  It's kind of quiet up here.
WIL00000089	This is quite a show isn't it?
WIL00000090	Pfft!  It's hot!
WIL00000091	What's up?
WIL00000092	Do you need something?
WIL00000093	Hi there, handsome!
WIL00000094	Don't you look gorgeous?
WIL00000095	Hey, Bud. What's up?
WIL00000096	Hey, Hon. What's up?
WIL00000097	Did you see that?
WIL00000098	Hi lover, need something?
WIL00000099	Hi! Can I do something for you...or to you?
WIL00000100	You bastards.
WIL00000101	I don't know if you know, but since Jeannie May passed, I've been keeping an eye on her properties for her.
WIL00000102	Bark
WIL00000103	Hi, Sarah.  I'm crashing the party.  I think we'll have a lot of fun.
WIL00000104	Veronica, we have to do something about your outfit.  It's tragic. You look like a potato with a face.
WIL00000105	I haven't been doing it very long, but I like to punch stuff too.  Maybe not as much as you do, but it is fun.
WIL00000106	Veronica, I've heard you guys can shoot lasers from your eyes, is it true?
WIL00000107	You haven't answered me about the eye lasers.  Can you? Can you shoot things with your eyes?
WIL00000108	Veronica, about the eye lasers. Come on, tell me about them.  Please?
WIL00000109	Veronica! I've got it! The eye lasers are weapons you carry or wear like helmets! They aren't IN your eyes; that was just dumb.
WIL00000110	Hi, my name's Willow. What do you do around here?
WIL00000111	Hi, I'm Willow. It looks like we're going to be spending a lot of time together.  I hope we can be friends.
WIL00000112	I was very sorry to hear about your wife, Boone.  If you ever feel like talking to someone or ever need anything I'd love to help.
WIL00000113	Boone, I was born and raised in the NCR; in Klamath.  I'm guessing you're going to keep quiet and not tell me anything about yourself. Right?
WIL00000114	You're awful good, Boone. I can see why they wanted you in the 1st Recon. Maybe if we get a chance sometime you could give me some tips?
WIL00000115	Okay, Boone, you are just too quiet.  If I confess to you that I hate Caesar and his legion will you talk to me?  Because it's true. I do hate him.
WIL00000116	Boone, tell me about Carla.  Where did you meet her?
WIL00000117	Hi!
WIL00000118	You doin okay?
WIL00000119	Um, I like you a lot, Boone.  I was hoping that maybe after we're out of this mess we could get to know each other a lot better.  What do you say?
WIL00000120	Boone, you can't blame yourself for Bitter Springs. You aren't responsible for what happened there. You're only one man and you're a good man.
WIL00000121	Boone, have you figured out yet how I feel about you?
WIL00000122	Boone, you were very brave to do what you did for Carla.  I admire you for it. Not every man could have done that. You're a true hero.
WIL00000123	Hey there.
WIL00000124	Nng. Hi.
WIL00000125	How's it goin?
WIL00000126	Careful! They got spies all over!
WIL00000127	Hi, there.
WIL00000128	Hi, there.
WIL00000129	Hi, there.
WIL00000130	Hi, there.
WIL00000131	Hi, there.
WIL00000132	What's up?
WIL00000133	What's up?
WIL00000134	What's up?
WIL00000135	What's up?
WIL00000136	Hi there, miss.
WIL00000137	How's it goin?
WIL00000138	What's up?
WIL00000139	Hey.
WIL00000140	The new Slave girls are quite beautiful.
WIL00000141	Degenerates like you belong on a cross.
WIL00000142	You aren't trusted here profligate.
WIL00000143	Keep barking and I'll feed you to a dog.
WIL00000144	What's up?
WIL00000145	Ooh, got any juicy gossip?
WIL00000146	Am I punching too much? I get carried away.
WIL00000147	I want...a dress.
WIL00000148	Where'd you come from?
WIL00000149	Silliest dressed band of raping, slaving marauders you'll see east of California.
WIL00000150	Hey.
WIL00000151	Hey.
WIL00000152	Hey.
WIL00000153	Hey.
WIL00000154	Hey.
WIL00000155	What is it?
WIL00000156	Goodbye.
WIL00000157	See ya, later.
WIL00000158	Those ferals are tough!
WIL00000159	Radiation!  Great.
WIL00000160	You doing okay?  Radiation!  What a pain.
WIL00000161	Okay, I have a question.  Am I starting to glow?
WIL00000162	I always wondered what it would feel like to be a ghoul...I think we might find out soon.
WIL00000163	I hate Deathclaws.  I peed my pants!
WIL00000164	Hmm....Deathclaws.
WIL00000165	It's okay, you can do this.
WIL00000166	*nervous humming*
WIL00000167	It's kinda dreary up here.
WIL00000168	Hey, does that robot cook for us?
WIL00000169	We should be ready for anything in here, you know?
WIL00000170	*nervous humming*
WIL00000171	You are going to think I'm such a coward right now, but I am very scared. This place is so spooky.
WIL00000172	*Screams* What was that?  Did you hear that?  Sorry, I am so jumpy. I do not like it in here.
WIL00000173	I am so glad you're with me.  I'd hate to be in here alone.
WIL00000174	I am so glad you're with me.  I'd hate to be in here alone.
WIL00000175	I hate vaults.  They are so creepy.
WIL00000176	Of all the places you've taken me, this, well, not my favorite.
WIL00000177	This place seems kind of cruel if you ask me.  Well, I'll make an exception for geckos and Deathclaws.
WIL00000178	How could any woman run a place like this? It's so barbaric?
WIL00000179	Have you noticed Lucy's voice?  It's so deep. I wonder if maybe she's really a boy dressed as a girl? That'd be a big surprise for someone, huh?
WIL00000180	How old do you think Lucy is?  Doesn't she seem old to you?  She seems old to me.
WIL00000181	Lucy's hair is a funny color. It doesn't look real to me. I wonder if she puts color on it somehow. I bet she has gray hair because she's so old.
WIL00000182	I will be so happy when we're done running these errands for Lucy.
WIL00000183	Deathclaw eggs!  She doesn't want much, does she?
WIL00000184	I used to hate ferals until one day I found one with a teddy bear.  Now I feel sorry for them. Although, I still hate to get into a fight with them.
WIL00000185	There are a lot of dead ghouls in here.  Hey, you don't think the ferals killed them, do you?
WIL00000186	This place hasn't been totally picked over. There's still some good stuff left to take out of here.
WIL00000187	I hope our mystery man turns out to be worth all of this.
WIL00000188	*nervous humming*
WIL00000189	That Haversham is crazy.  Who'd want to be a ghoul?
WIL00000190	That Haversham is crazy.  Who'd want to be a ghoul? Ah!  Oh, Raul, I'm so sorry!
WIL00000191	Bright is nuts too.  It's like we've stumbled into crazy town and he's the mayor.
WIL00000192	Remember those guys that took my stuff?  This is the place Stan talked about in his note.
WIL00000193	Maybe it's just me, but don't you want to walk right up to the Nightkin and stare right at them to see what they'll do?
WIL00000194	I hope Dr. Henry can fix Rex.
WIL00000195	Dr. Henry is an interesting guy, isn't he?
WIL00000196	Do you ever wonder what it was like to come to a place like this before The Great War?
WIL00000197	Invisible Nightstalkers. I wonder if that could ever happen to a human?
WIL00000198	I've got nothing against the girls.  But I think, if someone has a girl of their own, they don't belong with a prostitute.
WIL00000199	I like these guys.
WIL00000200	This is not a gift shop.
WIL00000201	Worst gift shop ever.
WIL00000202	Hmpf.  Who does she think she's impressing with this place? I'm not impressed.  You're not, are you?
WIL00000203	Hmpf.
WIL00000204	I always imagined a vault would be a terrible place to live. You know, cuz deserted vaults are so creepy.
WIL00000205	It's really nice in here.  Way better than I'd imagined a vault could be.
WIL00000206	This place is enormous.
WIL00000207	I know I shouldn't scavenge here, but I'm not promising anything.  If I see something good I might have to sneak it out with me.
WIL00000208	It's great to be among NCR folks again.  I feel right at home.
WIL00000209	This is a twitchy bunch. I don't trust them.
WIL00000210	Looks like everyone of these guys uses chems. Look at their eyes, their really messed up.
WIL00000211	Fiends, ugh.  I thought they smelled bad outside.
WIL00000212	I don't like vaults.  Even when they're crowded like this one.
WIL00000213	I've got nothing against the girls.  But I think, if someone has a girl of their own, they don't belong with a prostitute.
WIL00000214	I've got nothing against the girls.  But I think, if someone has a girl of their own, they don't belong with a prostitute.
WIL00000215	So this is home, huh? I can see why you like to get out.
