GID00086201	RobcOS v.85
GID00086202	(C)2076 Robco 
GID00086203	========================
GID00086204	| User Log:
GID00086205	| >> Administrator (RobcoID 2398-H)  
GID00086206	| >> Default Targeting_Param:
GID00086207	| >>> VaultTec_userGroup
GID00086208	========================
GID00086209	Note
GID00086210	We are out of here, you're not turning us into one of your experimental zombies. Did you actually think we would buy into that biological warfare shit? We will take our chances outside.
GID00086211	PS Thank the overseer for all of his survival gear
GID00086212	Burgess's Black Board Notes
GID00086213	Ground House Entrance
GID00086214	1. Down the Train Tunnel - couldn't find it before, maybe they cleared away some of the debris, they have had plenty of time
GID00086215	2. Transformer Station? There was a destroyed building above the tunnel entrance, maybe it was underneath that
GID00086216	3. The utility shaft in the train tunnel? I thought that was just ventilation
GID00086217	4. Maybe another entrance, the lake water was flowing somewhere, an underwater cave?
GID00086218	Trail Log 17 of 43: Dr Fent's Work Notes
GID00086219	One of the prisoners has offered some of his friends as part of a deal. I thought this was very good, so as I seem to keep losing things, I have decided to keep him in a box in case he comes up with another good deal.
GID00086220	As a gesture of goodwill I will also give his friend his arm back. Well, another arm as I eaten the first one. Fortunately I have plenty of spare parts.
GID00086221	Attaching an arm requires delicate micro surgery so I used my best blow torch, although the patient seemed to object. On considering his objections I agreed that we should go for the full upgrade complete with an extra arm and power steering and I also have a spare combustion engine. I think he agreed judging by the look on his face when I showed it to him. He simply asked where I was going to put it, so I told him.
GID00086222	The procedure did not start well as I couldn't find his gear box, despite having a good rummage around. After this I decided to give the patient a local anaesthetic. I knew that battery acid would come in useful.
GID00086223	I wonder if I can find any white wall tyres? That would really cheer him up.
GID00086224	Note Name
GID00086225	Text
GID00086226	Warning Note
GID00086227	Tell Jerry he can store his precious robots in the cistern if he wants to. Just make sure no one shuts off the waterfall, cause with the high water that place will fill up in seconds and I don't think they are amphibious.
GID00086228	Note
GID00086229	Don't worry about the robots.
GID00086230	I've locked out the sluice gate controls so they can't be operated accidentally and set the gates, outflow open, cistern closed. The only way the cistern can be flooded is if someone was to operate the emergency override valves so it was the other way around and what idiot would do that? I've locked the door anyway.
GID00086231	Note
GID00086232	Business seems to be picking up. I use to just get a few raiders and the odd prospector, but recently I've had some NCR, quite a few Vipers and it looks like there is another group up at the diner.
GID00086233	I'll pick out a tasty looking one, I'm going to start to put on weight if I'm not careful!
GID00086234	I'll go at dawn to wait for this lot, I couldn't make them all out last night and I need to check they are not with Angel, but I did see a man and a women shooting up and they look like Raiders to me. Should be easy. I'll leave the oven on.
GID00086235	Supplies
GID00086236	Need to cook up some more of my special meat pies. Angel should be coming past before long and I need to trade for some ammo. Evidently there is a raider crowd down the road who are quite partial to my cooking. Just as well some more ingredients have turned up.
GID00086237	V616 Security Chief Personal Log Entry 04
GID00086238	2101
GID00086239	We have a plan. We have a way out and have dug out information on some government facility called 'Ground House', which might just suit our needs.
GID00086240	Burgess Diary 1 - Deja vu
GID00086241	Never thought I would be back here again. 
GID00086242	I've done some scouting for an NCR big cheese, they pay well for someone who gets results and can keep their mouths shut. But when they mentioned a VaultTec vault up in the mountains north of Vegas... it would have made my hair stand on end if I had any.
GID00086243	Burgess Diary 2 - Vegas Research
GID00086244	I needed to bring my own knowledge up to date and I've got some information from a hobo in Westside. Most thought he was just another bum with a treasure map but I recognised some of the info as solid. He was quite forthcoming once I had slapped him around a bit. 
GID00086245	I need to head back that way, gather more information, do some research. There is another loose end I would like to tie up as well.
GID00086246	Burgess Diary 4 - Ground House
GID00086247	Ground House Access Code:
GID00086248	SD45-889G-00IU-323X
GID00086249	---------------------------------
GID00086250	Its been 6 years since I sent Bennet and his three stooges up to check on 'Ground House'. I know they got there as they sent a message back saying there was now a place called Rita's Cafe built on it. Then nothing. I would of known if they had returned, I would have picked them up in Vegas.
GID00086251	Fucking amateurs. I knew I shouldn't have given them the access codes.
GID00086252	Burgess Diary 3 - Payday
GID00086253	I've passed on what I've acquired to some NCR drone called Kelly. His merry band are off to make their fortune and have no idea what is waiting for them. Not sure myself to be honest.
GID00086254	I'm really tempted to go and watch how this all pans out as it would be quite entertaining, but I need to keep my distance. I'll pick up the pieces later when they have all knocked themselves out.
GID00086255	Burgess's Instructions
GID00086256	Bennet
GID00086257	Listen you idiot, check out the local area and find out if anyone ever managed to find or access this 'Ground House'. I've told you where its likely to be if it does exist.
GID00086258	I know this is difficult for you but try and be discreet. If its still a possibility let me know, I'll deal with it personally. DO NOT GO IN.
GID00086259	Burgess
