GID00086809	Trail Log 9 of 43: Spider - Day 3
GID00086810	Jesus, my head hurts. Not sure what the fuck hit me, I think it was one of those two assholes, Jack or Bernie, probably Bernie. Didn't think they would actually try to kill me though.
GID00086811	I was just looking at that waterfall when the next thing I knew I was in the water trying not to drown. I managed to clamber onto a rock, I think they were still up there but I wasn't going to show myself or they would have finished me with a bullet. They soon went away as they probably thought I had drowned. Bernie thinks I can't swim cause I wouldn't go for a dip in Lake Mead when he did. I didn't bother telling him it was because of the Lakelurks.
GID00086812	Couldn't get back up the cliff to the others so I floated down steam until I found somewhere where I could pull myself out. There is a bridge up ahead, I'll get to there and work out what to do tomorrow, but I need rest first and sort out what kit I have. I've lost my rifle, but I think I can salvage my stealth boys.
GID00086813	Trail Log 10 of 43: Suzy - Day 4
GID00086814	The fucking Spider thing blew up again this morning. It was gonna happen.
GID00086815	After a lot of shouting and bullshit threats Jack and Bernie gave JD a mouthful and took off, said they knew a shorter route than the one we were following and would see us there, and get this; as long as we had the caps to pay their toll! Assholes!
GID00086816	I thought for a moment JD was gonna frag the pair of them, then Pinky said something to him and he just let them go. What the fuck is Pinky seeing that we're not? Fuck it, I don't care and I seriously doubt we will be paying any fucking toll to Jack and Bernie.
GID00086817	Trail Log 11 of 43: Nathan - Day 4
GID00086818	Spencer finally came clean about what Spider and him were up to.
GID00086819	They believed they knew the whereabouts of an unopened Vault and were considering about taking it on themselves, but Spencer has come to his senses. Just as well as JD already seemed to know about it, or at least know that Spencer knew about it. The fools should know better to keep such information to themselves and besides, not much stays secret around here.
GID00086820	Seems Zion is postponed for the moment.
GID00086821	Trail Log 12 of 43: Bernie - Day 4
GID00086822	Fuck those losers, we'll get to Zion before them anyway. Jack reckons this route by-passes a whole load of shit. I can trust Jack, not those other fuckers.
GID00086823	I don't know why they were all whinging about Spider anyway. That was so funny, Jack is still laughing about it. He dared me to do him, so I did. Rifle butted him so hard he never made a sound, then just chucked his sorry ass over the cliff. I was aiming for the rocks, but I think he went into the water. Doesn't matter, the dick couldn't swim anyway.
