SI000001	DEFAULT
SI000002	Reduced Sneak
SI000003	Reduced Survival
SI000004	Compact Frame Stealth
SI000005	Meltdown
SI000006	Reduced Damage Threshold
SI000007	Reduced Speech
SI000008	Reduced Barter
SI000009	Reduced Science
SI000010	You've gained the Educated perk!
SI000011	"scn SCPTChallengeAddPerkEducated

begin ScriptEffectStart

if player.hasperk Educated == 0
	player.addperk Educated 
	MessageBoxEx ""You've gained the Educated perk!""
endif

end"
SI000012	You've gained the Infiltrator perk!
SI000013	"scn SCPTChallengeAddPerkInfiltrator

begin ScriptEffectStart

if player.hasperk Infiltrator == 0
	player.addperk Infiltrator
	MessageBoxEx ""You've gained the Infiltrator perk!""
endif

end"
SI000014	You've gained the Paralyzing Palm perk!
SI000015	"scn SCPTChallengeAddPerkParalyzingPalm

begin ScriptEffectStart

if player.hasperk ParalyzingPalm == 0
	player.addperk ParalyzingPalm
	MessageBoxEx ""You've gained the Paralyzing Palm perk!""
endif
if player.hasperk UnarmedChallengePerk == 0
	Player.AddPerk UnarmedChallengePerk
endif

end"
SI000016	You've gained the Explorer perk!
SI000017	"scn SCPTChallengeAddPerkExplorer

begin ScriptEffectStart

if eval player.hasperk Explorer == 0 && GetINIFltOrCreateC ""Base Game Perk Redux Settings:bAutoExplorer"" ""Perk Redux Config.ini""
	player.addperk Explorer
	MessageBoxEx ""You've gained the Explorer perk!""
endif

end"
SI000018	You are not looking at a valid target to drink blood from.
SI000019	You've already drank blood from this body.
SI000020	"scn	HematophageUDFS6S

ref rTarget

begin Function {}

	rTarget = GetCrosshairRef
	if isformvalid rTarget == 0
		MessageEx ""You are not looking at a valid target to drink blood from.""
		return
	endif
	if rTarget.getitemcount HematophageTokenS6S
		MessageEx ""You've already drank blood from this body.""
		return
	endif
	player.restoreav health (player.getav endurance + player.getav agility)
	if player.ishardcore
		player.restoreav dehydration (player.getav endurance + player.getav agility)
		player.restoreav sleepdeprevation (player.getav endurance + player.getav agility)
	endif
	rTarget.additem HematophageTokenS6S 1
	Player.DamageAv RadiationRads 18
	RewardKarma -25
	Imod BloodISFXd
	playsound NPCHumanDrinkingSodaLoudS6S 1
	rTarget.DonnerReedKuruParty 1
end"
SI000021	You must select a trait.
SI000022	Extracurricular Knowledge x
SI000023	$sNameStringEK
SI000024	Extracurricular Knowledge
SI000025	Extracurricular Knowledge x
SI000026	$sNameStringEK
SI000027	Extracurricular Knowledge
SI000028	qualifying %z items?|Yes|Nos
SI000029	$sNoteString
SI000030	$sNoteString
SI000031	$sNoteString
SI000032	$sNoteString
SI000033	Extracurricular Knowledge x
SI000034	$sNameStringEK
SI000035	Extracurricular Knowledge
SI000036	$sNoteString
SI000037	$sNoteString
SI000038	$sNoteString
SI000039	$sNoteString
