AID00098043	灰烬堆
AID00098044	黏液堆
AID00098045	马桶
AID00098046	水塔阀门
AID00098047	饮水机
AID00098048	水槽
AID00098049	马桶
AID00098050	水槽
AID00098051	消防栓
AID00098052	消防栓
AID00098053	手雷束
AID00098054	吃到饱3000
AID00098055	捕熊夹
AID00098056	绊索
AID00098057	自制电台
AID00098058	联动霰弹枪
AID00098059	后盖
AID00098060	水槽
AID00098061	马桶
AID00098062	小便池
AID00098063	饮水机
AID00098064	终端机
AID00098065	埋好的地雷
AID00098066	点唱机
AID00098067	婴儿车
AID00098068	电闸
AID00098069	气阀
AID00098070	小便池
AID00098071	压力板
AID00098072	气阀
AID00098073	避难所大门控制板
AID00098074	投球机
AID00098075	信箱
AID00098076	喇叭
AID00098077	工作台
AID00098078	收音机
AID00098079	我的第一个实验室
AID00098080	我的第一个医疗站
AID00098081	HarlandTrigger
AID00098082	马桶
AID00098083	电台讯号KB
AID00098084	Ranger Station Charlie Quest Trigger
AID00098085	发射按钮
AID00098086	发电机
AID00098087	Ghoul Exit Trigger
AID00098088	REPCON Speech Listening Trigger
AID00098089	Ranger Station Charlie Interior Enter Trigger
AID00098090	Harland Reset Trigger
AID00098091	激光绊索
AID00098092	马桶
AID00098093	水槽
AID00098094	水槽
AID00098095	马桶
AID00098096	气阀
AID00098097	气阀
AID00098098	气阀
AID00098099	气阀
AID00098100	控制台
AID00098101	电闸
AID00098102	饮水机
AID00098103	自制电台
AID00098104	气阀
AID00098105	气阀
AID00098106	激光绊索发射器
AID00098107	气阀
AID00098108	气阀
AID00098109	水槽
AID00098110	Headshot Activator
AID00098111	Left Leg Dismember Activator
AID00098112	捕熊夹
AID00098113	气阀
AID00098114	水塔阀门
AID00098115	Jeannie May Intro Trigger
AID00098116	Sniper Nest Trigger
AID00098117	气阀
AID00098118	气阀
AID00098119	气阀
AID00098120	气阀
AID00098121	狙击手火力范围
AID00098122	喇叭
AID00098123	收音机
AID00098124	气阀
AID00098125	气阀
AID00098126	气阀
AID00098127	气阀
AID00098128	气阀
AID00098129	气阀
AID00098130	气阀
AID00098131	气阀
AID00098132	气阀
AID00098133	气阀
AID00098134	气阀
AID00098135	导航控制台
AID00098136	水阀
AID00098137	爆炸标记
AID00098138	反光板控制台
AID00098139	气阀
AID00098140	万斯本人的机枪
AID00098141	辅助发电机
AID00098142	气阀
AID00098143	气阀
AID00098144	气阀
AID00098145	气阀
AID00098146	气阀
AID00098147	万斯的外套
AID00098148	维姬的外套
AID00098149	气阀
AID00098150	气阀
AID00098151	气阀
AID00098152	电梯按钮
AID00098153	气阀
