AID00098043	PLAYER LOCKED OBJECT
AID00098044	PLAYER PICKPOCKET
AID00098045	PLAYER STAND ON FURNITURE
AID00098046	GREETING
AID00098047	Welcome to Novac. It's not very exciting here, but the people are friendly enough.
AID00098048	You saw the rockets explode, right? It turns out I was lucky they couldn't take me on the Great Journey.
AID00098049	Do you have any idea what went wrong?
AID00098050	I'm going to make my way to that little town we talked about.
AID00098051	Welcome to Novac. It's not very exciting here, but the people are friendly enough.
AID00098052	My engineering skills have been coming in handy, too. I've got plenty to do. Thanks for telling me about this place.
AID00098053	Hey! Over here! Are you listening?
AID00098054	Go to the big room on the east side of this building and take the metal staircase all the way up. And hurry.
AID00098055	The cleaners will knock twice. Make sure they're thorough.
AID00098056	Baby, this little reunion of ours? Chalk me up as a no-show.
AID00098057	I'm surprised you fell for it, not that I'm complaining. You caused plenty enough trouble, turning Swank against me.
AID00098058	You've forced my hand. Hell, I gotta skip town because of you. A real pain in the caboose...
AID00098059	Since you haven't pissed yourself I'll assume that you don't know who we are - next time I'll bring my sickle and wear my black cloak.
AID00098060	See, the NCR sends us when they want terrible things done to terrible people...
AID00098061	You need to be careful, it's dangerous out here!
AID00098062	Heard some more people got attacked last night.
AID00098063	Excuse me, but... are you the courier who caused all of that trouble in The Tops?
AID00098064	Hey, have you been able to bug Mr. House's network yet?
AID00098065	If it isn't the courier who's done everything he can to defy the will of mighty Caesar!
AID00098066	Why don't you wait in the other room while I chat with Silus here?
AID00098067	You want to buy Wind-Brahmin?
AID00098068	Anders showed up here not too long ago. I'm told you're the one who got him out of the vault.
AID00098069	I can't tell you how relieved I am. Sending him on that mission was a mistake.
AID00098070	We're all impressed with the work you've done for us. I thought you might be able to make use of this.
AID00098071	It's a key to a little hideaway south of here. We've used it as a place for Rangers to rest and resupply. I thought you might get good use out of it.
AID00098072	Peace, traveler.
AID00098073	You again? What 'cha need, champ?
AID00098074	Unless you wanna slap leather with me you'll put that gun down, friend.
AID00098075	Who the fuck are you?
AID00098076	Shut up and keep going.
AID00098077	I don't know where the hell you're going but it's not the right way. Are you still in this?
AID00098078	What do you want now?
AID00098079	<Questions>
AID00098080	<Radiation Suit Location Found>
AID00098081	<Returned with Radiation Suits>
AID00098082	<Police Station Dialogue>
AID00098083	<Fire Station Dialogue>
AID00098084	Hello again. Remember to stop by one of these nights. Northwest, by the old train station.
AID00098085	Man, I'm sick of this place. Can't wait to get back to Red Rock.
AID00098086	The NCR sure did a number on this place.
AID00098087	Hope the NCR doesn't send reinforcements from the Dam.
AID00098088	Hard to believe this place used to be a luxury resort, huh?
AID00098089	Haven't had any reports from Station Charlie in a while - hope everything's okay.
AID00098090	Don't tell the troopers, but the grub up here is way better than the mess tent.
AID00098091	We can monitor ranger activity all through the region with the systems here.
AID00098092	I just can't believe Chief Hanlon would do that.
AID00098093	Jesus, the Chief's dead. Who's going to take over now?
AID00098094	You should talk to Chief Hanlon if you have any questions. He's usually up on the balcony.
AID00098095	A tribe called the Great Khans has joined us. They'd better be good fighters.
AID00098096	They say a doctor killed Caesar. Why would Caesar need a doctor?
AID00098097	Is Benny taken care of yet?
AID00098098	You're back. Find anything?
AID00098099	I hope they don't close the quarry. I need the money.
AID00098100	With Chomps in jail, who's going to run things at the quarry? He was our most experienced guy!
AID00098101	Maybe I was just seeing things, but I could've sworn I saw some people up on the ridge by the quarry.
AID00098102	I keep an eye out for Rangers in black armor. I haven't killed one yet.
AID00098103	Had the Legionaries at Nelson been more seasoned, we'd still hold the settlement.
AID00098104	Ave.
AID00098105	You ready to deal with Benny yet?
AID00098106	So that's it then. Benny's dead, and I'm the boss now. What can I do for you?
AID00098107	Hi there. I'm Old Lady Gibson, or so they tell me. I've got odds and ends for sale, and I'm pretty good at fixing things, too.
AID00098108	You might have noticed the very large building just north of here. That's HELIOS One. The NCR runs the place, so it's off-limits to prospectors.
AID00098109	We can't sit idly while the Legion prepares their own elite forces.
AID00098110	The time to assert our rule over the territories has come.
AID00098111	Primm's got some new sheriff watching over the town now.
AID00098112	The Lucky 38's all lit up because someone infiltrated the El Dorado and flipped a switch. I'd shoot those lights out if I could.
AID00098113	I waited months to get in here, but the place isn't nearly full. You think the waiting list is just for hype?
AID00098114	The food here is to die for. No one cooks Brahmin like Philippe.
AID00098115	NCR military transmissions say the robots on the Strip have been upgraded. Wish we had eyes-on intel...
AID00098116	Mr. House is out of the picture. Probably killed by his own robots.
AID00098117	I heard you took out Caesar by yourself. Proves the Legion is just a bunch of savages, like we thought.
AID00098118	With their leader gone, the Legion will likely tear itself apart. It's what most violent tribal societies do.
AID00098119	NCR military radio keeps talking about Mr. House agreeing to join the NCR. What changed his mind?
AID00098120	Someone blew up the monorail the NCR uses to travel to the Strip and back. We should use this time to strike!
AID00098121	Seems the destruction of the monorail didn't slow the NCR down much. How many troops do they have?
AID00098122	There's a rumor going around that you saved the NCR president's life. I'm surprised you have the stones to show your face around here.
AID00098123	There was an attempt on the NCR president's life recently. Too bad it didn't succeed.
