GID99999990	Energy Rifle
GID99999991	Friend of the People
GID99999992	Resolution
GID99999993	Caps
GID00030430	Live
GID00030432	Champion of Justice
GID00030434	Your Hunger level has increased
GID00030435	Play Audio
GID00030436	QTY
GID00030438	Weapon
GID00030439	Symbol of Order
GID00030440	Self
GID00030441	Version Info
GID00030442	Male
GID00030443	Herald of Tranquility
GID00030444	Save game deleted.
GID00030445	You are overencumbered and cannot run!
GID00030447	Eye Sockets
GID00030449	Cheekbones thin/wide
GID00030450	RAD/SEC
GID00030451	Back
GID00030452	You cannot hack this computer.
GID00030453	Last, Best Hope of Humanity
GID00030454	Voice
GID00030455	Savior of the Damned
GID00030456	Quicksave
GID00030458	Win/Loss Totals:
GID00030459	December
GID00030461	Light Fade
GID00030462	Cinematic
GID00030464	Chin small/large
GID00030467	Hit
GID00030468	You cannot change armor while attacking.
GID00030469	Bet Max
GID00030471	QUICK
GID00030472	hours
GID00030474	Ingredient had no effect.
GID00030475	A storage device which contains downloadable content has been removed. Returning to the title screen.
GID00030476	NO STATUS EFFECTS
GID00030478	Remove It
GID00030479	secs
GID00030489	Even though you've done some good for the community, people still think you're a punk.
GID00030490	Beard
GID00030492	Req
GID00030493	the Left Stick Right
GID00030494	Cancel transaction?
GID00030501	Are you sure you want to load this game?
GID00030502	Skin tint purple/yellow
GID00030503	ITEMS
GID00030505	[HIDDEN]
GID00030507	You are already at full health.
GID00030508	WARNING: Any unsaved progress will be lost.
GID00030509	How long would you like to
GID00030512	Mouth lips deflated/inflated
GID00030514	Reload
GID00030516	World Map
GID00030517	Soft-Hearted Devil
GID00030519	Frenzied
GID00030520	the Right Stick Up
GID00030521	You are now sick with [%]
GID00030522	You have been banned from gambling at this casino.
GID00030524	Bet
GID00030528	Eyebrows upper dark/light
GID00030529	the Left Stick Up
GID00030530	The lock has been broken.
GID00030532	Level
GID00030533	Hlth
GID00030534	Added Effects
GID00030536	Misc
GID00030537	Health
GID00030538	AP
GID00030541	Disarm Mine
GID00030542	Activate
GID00030543	You have contracted [%]
GID00030544	DPS
GID00030545	Return
GID00030547	Start
GID00030548	the Right Stick Right
GID00030549	Auto Move
GID00030550	The save game is corrupt and cannot be loaded.
GID00030553	This NPC cannot help you train any higher.
GID00030554	Jaw wide/thin
GID00030556	Music
GID00030557	Settings
GID00030558	You cannot repair items when enemies are nearby.
GID00030561	Easy
GID00030562	D-pad Down
GID00030563	Forfeit Game
GID00030565	View Available Content
GID00030566	the Right Stick Left
GID00030567	EFF
GID00030568	Randomize your head?
GID00030569	Messiah
GID00030570	File does not exist
GID00030571	Skin shade dark/light
GID00030572	[%] TRAITS LEFT
GID00030573	You don't have enough caps.
GID00030574	Gun Spread
GID00030575	Sunday
GID00030576	You win!
GID00030577	Downloadable Content
GID00030578	Talk
GID00030579	You can't fast travel while taking health damage
GID00030580	Jawline concave/convex
GID00030581	&OK
GID00030582	sec
GID00030583	Target Fatigue
GID00030584	ROBCO INDUSTRIES UNIFIED OPERATING SYSTEM
GID00030586	Enter character name.
GID00030587	Chin retracted/jutting
GID00030588	DATA
GID00030589	HP
