DLC20000001	问好
DLC20000002	你是悲恸部落的朋友？让我们一起击溃白腿部落，恢复这片圣土怎么样？
DLC20000003	外来者！火烧人！他杀了所有白腿部落的人！你说！你站住！
DLC20000004	愚蠢的外来者。你以为可以击败白腿部落的人？在我的长矛下，你只有死！
DLC20000005	...
DLC20000006	幻境指引着你。你听？嘿。或许是，或许不是。
DLC20000007	你好，外来者。欢迎你，预兆之子。你想来获取“真理之界”？
DLC20000008	你拿到神圣曼陀罗了吗？
DLC20000009	这些根用来配“神圣幻境”茶。把它喝了，你会看见你面前的路径。准备好了么？
DLC20000010	“她的幽灵”是否安息在坟墓里？
DLC20000011	丹尼尔说，一旦等你执行完侦察任务，我就可以与你同行。听我这么说你高不高兴？
DLC20000012	你能不能重新考虑一下让我与你一起同行？
DLC20000013	你就是那个约书亚.格拉汉姆派来的。愿先父保佑你。丹尼尔正在等你。
DLC20000014	你好，祝福你。丹尼尔在等你。
DLC20000015	我能感觉得到你。愿先父保佑你。
DLC20000016	我能感觉得到你。
DLC20000017	我们走。白腿部落会回到大盐湖。
DLC20000018	除非你和约书亚有任何反对意见，否则我要开始带着悲恸部落撤离了。我将会需要你的帮助，你有什么话想说就说吧。
DLC20000019	你有没有为悲恸部落倾尽全力？你有没有为他们尽职尽责？
DLC20000020	哦！白腿部落通常不会留下任何幸存者。我得跟你说，你很幸运。
DLC20000021	你来自外面的世界，是不是？来自其他文明领地？喔……约书亚一定对此很感兴趣。
DLC20000022	喔！你在干什么？白腿部落的人还会回去的！
DLC20000023	你来自外面的世界，是不是？来自其他文明领地？喔……约书亚一定对此很感兴趣。
DLC20000024	你好！我之前在南部通道那儿看见你了。你……你该知道当你跑掉时那里还有很多白腿部落的人，对吗？
DLC20000025	约书亚说，你需要一个人帮你做这个山谷的向导。他说我可以胜任，如果你同意的话。
DLC20000026	你改变主意了？不想带我一起走了？
DLC20000027	干得好，那些补给品太有用了。如果你是死马部落的人，你一定会被赐予一个纹身，标记你的贡献。
DLC20000028	又是你？还没和约书亚交谈？
DLC20000029	你想知道什么？
DLC20000030	快点，快点，没时间浪费了！
DLC20000031	你好，朋友。听到我的小广播了？哈，你看起来正是我要找的类型。
DLC20000032	你好，朋友。听到我的小广播了？哈，你看起来正是我要找的类型。
DLC20000033	你能跟我们来真他妈的太棒了。鉴于那个里基跑了，我们现在只有你一个人有哔哔小子了。
DLC20000034	你是在这继续跟我唠叨呢，还是我们把这场戏延续到路上呢？
DLC20000035	我们现在要痛击白腿部落，是不是？
DLC20000036	好了，我们在这儿要分开了。我须要回到死马部落营地了。或许晚些我们有机会再见面。
DLC20000037	我们浪费太多时间了，绝不能让“伤口撒盐”逃跑。我去寻找另一条路。上帝保佑我们尽快结束这一切。
DLC20000038	聊天的时间已经过去了。该开始行动了。
DLC20000039	丹尼尔一定已经抵达隧道了，但在这山谷里悲恸部落的人到处都是！我们需要帮助他们尽快离开这里！
DLC20000040	我们本应该热烈欢迎你第一次光临锡安，但可惜的是，白腿部落彻底破坏了我们的计划。
DLC20000041	白腿部落似乎是近一段时间内我们唯一的造访者。不过我还从来没有期待能有任何人从莫哈维来到这个地方。
DLC20000042	而你还是个邮差。虽然不是我预期的客人，但至少我也不会希望是一整支商队。
DLC20000043	我不知道你和商队里其他成员关系怎么样，但我还是要对你表示同情。
DLC20000044	我为每一位来到锡安的善良平民祈祷他们一切平安，即使他们是异教徒我也不会区别对待。但我们不能期待上帝也能抱同样的观点。
DLC20000045	欢迎你回来。我能为你做什么？
DLC20000046	你身上有些地方重伤了，我的朋友。破损的头盖骨和两条损坏的肋骨，如果我没看错的的话，你的大脑没了。
DLC20000047	就你还想加入这个商队？要我看，你还嫩着呢。
DLC20000048	嗯，看着遍体鳞伤的，但离人散架还远着呢. 这我随时都能搞妥.
DLC20000049	在大坑洞游荡的人中，你毫无疑问是我见过的最健康的家伙。不像我这一把老骨头一样没用。
DLC20000050	好了。就如新生一样健康。你只要注意保持你的腿远离那些有辐射的垃圾，并每天揉两次。
DLC20000051	我说得或许有点太夸张了。事实真相就是，这件外套和哔哔小子是我从一个早就死了的从锡安来的探险者身上扒下来的。
DLC20000052	等我发现那家伙的时候他已经死了，ok？他身上装满了各种废物垃圾。这也就是为什么我知道锡安有很多不错的东西，你明白了吧？
DLC20000053	滚开，我忙得很！
DLC20000054	想加入这支商队？看起来你自己可以搞定。
DLC20000055	你在想什么？
DLC20000056	别烦我。忙呢。
DLC20000057	欢迎你回来。我能帮你做什么？
DLC20000058	我确实希望你一到赌城区就能来“幸运38”赌场和我见个面。班尼跑了之后就更有必要了。
