CTC00000001	Name your Faction:
CTC00000002	the Swampfolk
CTC00000003	Followers Guard
CTC00000004	Followers Doctor
CTC00000005	Followers Technician
CTC00000006	Followers Commune Member
CTC00000007	Mojave Settler
CTC00000008	Name your Brotherhood Expedition:
CTC00000009	Outcast Defender
CTC00000010	Name your Outcast Expedition:
CTC00000011	Rivet City Security
CTC00000012	Talon Company Merc
CTC00000013	the Zetans
CTC00000014	You did not sell any Scrap Metal.
CTC00000015	Sold [%] Scrap Metal for [%] Caps
CTC00000016	Would you like to sell Scrap Metal for [%] caps?
CTC00000017	You have no Scrap Metal to sell.
CTC00000018	Not Enough Caps!
CTC00000019	Caravanner's Respite
CTC00000020	Would you like to pay 750 caps to purchase this room at the Inn?
CTC00000021	Claim this Vault for [%]?
CTC00000022	"Are you sure you want to claim this Vault for [%]?[CRLF][CRLF]		This decision is permanent."
CTC00000023	"[CRLF][CRLF]		Note that the Enclave under your command are not in the same faction as the Enclave you have encountered in the Capital Wasteland. The two factions will come to blows if they encounter one another."
CTC00000024	 This also means the Brotherhood of Steel and the Enclave's other enemies will not attack your Enclave faction.
CTC00000025	"[CRLF][CRLF]		Note that the Talon Company under your command are not in the same faction as the Talon Company you have encountered in the Capital Wasteland. The two factions will come to blows if they encounter one another."
CTC00000026	 This also means the Brotherhood of Steel and the Talon Company's other enemies will not attack your Talon Company faction.
CTC00000027	Assign a Vault Number (0 - 999)
CTC00000028	Vault [%] - Entrance
CTC00000029	Vault [%] - Lower Level
CTC00000030	Vault [%] - Upper Level
CTC00000031	Vault [%] - Overseer's Room
CTC00000032	The Vault's all clear signal has been sent.[CRLF][CRLF]Vault [%] will serve as your command hub for future operations.[CRLF][CRLF]As you continue to explore the wasteland, you might discover new locations that could be taken over by [%]. You can use either this terminal or the terminal in the Overseer's Office to invest in those locations and send troops to occupy.[CRLF][CRLF]Are you ready to help [%] secure its hold over the Capital Wasteland?
CTC00000033	The generator is functional!
CTC00000034	Plant Generator
CTC00000035	The generator for the water treatment plant is need of repairs.
CTC00000036	A new steam gauge assembly could repair the generator.
CTC00000037	Replace Steam Gauge Assembly
CTC00000038	Jury Rig a Fix[CRLF](Req. 65+ Repair)
CTC00000039	You don't have a Steam Gauge Assembly!
CTC00000040	Your Repair skill is not high enough!
CTC00000041	The generator is repaired! The water treatment plant can now be activated.
CTC00000042	The water treatment plant is operational.
CTC00000043	With power restored to the plant's generator, the water treatment plant is now operational!
CTC00000044	ERROR![CRLF][CRLF]The water treatment plant generator must be repaired before this facility can be activated!
CTC00000045	Rebuild the Capital is not compatible with Claim the Capital.
CTC00000046	Cafeteria
CTC00000047	Would you like to pay [%] caps to unlock the cafeteria?
CTC00000048	Claim this Vault?
CTC00000049	"	You can claim this Vault for the faction of your choosing."
CTC00000050	"[CRLF][CRLF]	Once this Vault has been claimed, it will serve as your command hub for your future plans in the Capital Wasteland."
CTC00000051	Lyons' Brotherhood Chapter
CTC00000052	You will need to join the Brotherhood before you can claim this Vault for them.
CTC00000053	Lyons' Brotherhood Chapter[CRLF](Rebuild the Capital)
CTC00000054	Rivet City can claim this bunker once Project Purity is operational.
CTC00000055	the Brotherhood Outcasts
CTC00000056	You will need to earn the Outcasts trust before you can join them.
CTC00000057	the Regulators
CTC00000058	You are not a member of the Regulators.
CTC00000059	Mister House
CTC00000060	Because of your actions against Mister House, you cannot claim the Vault for him.
CTC00000061	You must help Mister House upgrade his Securitron army before you can claim this Vault is his name.
CTC00000062	You must be [%]Liked[%] by the NCR before you can claim this bunker on their behalf.
CTC00000063	the NCR Rangers
