BI000001	Minor Rad Poison.
BI000002	Impartial Mediation
BI000003	Superior Defender
BI000004	Second Skin
BI000005	No Weaknesses
BI000006	Thief
BI000009	Hematophage
BI000010	You've gained a taste... for human blood! When you're in Sneak mode, you gain the option to drink blood from a corpse to regain Health and restore dehydration and sleep deprivation equal to the sum of your Endurance and Agility. But every time you drink blood, you will you lose a small amount of Karma and suffer radiation damage.
BI000011	Drink Blood
BI000013	Dream Crusher
BI000014	Something about your presence dampens others' desires to exceed. Your enemy's chance of getting critical hits on you is multiplied by .1 for each point your Charisma is below 10based on how low your Charisma is below 10.
BI000015	Sneering Imperialist
BI000016	You don't take kindly to raiders, junkies, or tribals trying to "settle" or "stay alive" in civilized lands. Against dirty raider, slaver and junkie types, as well as tribals, you do +15% damage and have a bonus to hit in V.A.T.S. (Requires Evil Karma).
BI000017	Roughin' It
BI000018	You're more at home under the open stars than under a roof. Any time you sleep outside, you gain the benefits of being Well Rested, even if you don't own the bed.
BI000019	Little Leaguer
BI000020	Years as the Vault little league MVP have honed your hitting and throwing. With each rank, you gain 10% damage when using bats and nail boards, and you throw grenades 10% harder and farther.
BI000021	Master Trader
BI000022	When you take the Master Trader perk, you gain a 3% discount per 10 points in Speech.
BI000023	Thief
BI000024	With each rank of the Thief perk, you gain +5 Sneak and +5% pickpocket chance.
BI000025	Iron Fist
BI000026	With each rank of the Iron Fist perk, you deal +1 Unarmed damage per rank of Endurance.
BI000027	Daddy's Boy
BI000028	Just like dear old Dad, you've devoted your time to intellectual pursuits. With each rank, hacking gets easier and you use chems 10% more effectively.
BI000029	Gun Nut
BI000030	You're obsessed with using and maintaining a wide variety of conventional firearms. With each rank of the Gun Nut perk, when using a gun, spread and item condition damage are reduced by 5%.
BI000031	Scoundrel
BI000032	Take the Scoundrel perk, and you can use your wily charms to influence people. With each rank, vendors give an 8% discount, and you gain and extra XP for passing speech checks.
BI000033	Contract Killer
BI000034	Once you have the Contract Killer perk, any good character you kill will have an ear on their corpse. This ear can then be sold to a certain person (whose identity is disclosed when you take the perk) for caps and negative Karma  (Requires Evil Karma).
BI000035	Cyborg
BI000036	You've made permanent enhancements to your body! The Cyborg perk instantly adds +10% to your Poison, Radiation, Energy and Fire Resistances.
BI000037	Lawbringer
BI000038	Once you have the Lawbringer perk, any evil character you kill will have a finger on their corpse. This finger can then be sold to a certain person (whose identity is disclosed when you take the perk) for caps and positive Karma (Requires Good Karma).
BI000039	Impartial Mediation
BI000040	With the Impartial Mediation trait, you gain +10 points to Speech while you maintain a neutral karma level, but you suffer -1 Charisma and -5 Speech while Good, Very Good, Evil, or Very Evil.
BI000041	Size Matters
BI000042	You're obsessed with really big weapons. With each rank of this perk, you gain 10% better accuracy, reload and equip speed when using Big Guns.
BI000043	Auto Axpert
BI000044	You've become an expert with the Auto Axe. It's Strength requirement has been reduced by 1, and you deal +15% damage with all automatic melee weapons.
BI000045	No Weakness
BI000046	When you take the No Weakness perk, all S.P.E.C.I.A.L. stats that are less than 5 are instantly increased to 5.
BI000047	Party Boy
BI000048	You are such a Party Boy that you no longer suffer the withdrawal effect from alcohol addiction.
BI000049	Party Girl
BI000050	You are such a Party Girl that you no longer suffer the withdrawal effect from alcohol addiction.
BI000051	Rad Tolerance
BI000052	Although you are still notified when you get Minor Radiation Poisoning, you do not suffer any ill effects from it.
BI000053	Puppies!
BI000054	With the Puppies! perk, if Dogmeat dies, you'll be able to get a new canine companion from his litter of puppies. Just wait a bit, and you'll find your new furry friend waiting outside Vault 101.
BI000055	Deep Sleep
BI000056	You sleep deeply no matter where you are. You get the Well Rested benefit no matter what bed you sleep in.
BI000057	Almost Perfect
BI000058	Take the Almost Perfect perk, and all S.P.E.C.I.A.L. stats are instantly raised to 9.
BI000059	Nuclear Anomaly
