ZIO00000001	针孔
ZIO00000002	66号避难所居民
ZIO00000003	测试人种
ZIO00000004	畏光效应
ZIO00000005	快乐帽
ZIO00000006	帆布腰带
ZIO00000007	迷彩套装
ZIO00000008	狙击手头巾
ZIO00000009	搬运袋
ZIO00000010	搬运袋
ZIO00000011	十字架
ZIO00000012	导航
ZIO00000013	畏光
ZIO00000014	机器人打击
ZIO00000015	皮粗肉厚
ZIO00000016	随机遭遇1
ZIO00000017	俘虏的笔记
ZIO00000018	阅读笔记
ZIO00000019	杂志自动贩卖机
ZIO00000020	Mk I 自动文档
ZIO00000021	大门压力阀
ZIO00000022	开关
ZIO00000023	激光绊线
ZIO00000024	开关
ZIO00000025	激活门
ZIO00000026	电子开关
ZIO00000027	Activator
ZIO00000028	激光绊线发射器
ZIO00000029	激光绊线
ZIO00000030	实验室装置
ZIO00000031	笔记
ZIO00000032	阅读笔记
ZIO00000033	电台
ZIO00000034	激光绊线
ZIO00000035	电梯控制器
ZIO00000036	消灭箱
ZIO00000037	电子开关
ZIO00000038	电子开关
ZIO00000039	避难所大门控制盒
ZIO00000040	开关
ZIO00000041	激活门
ZIO00000042	阅读笔记
ZIO00000043	控制面板
ZIO00000044	纸条
ZIO00000045	阅读笔记
ZIO00000046	纸条
ZIO00000047	阅读笔记
ZIO00000048	纸条
ZIO00000049	阅读笔记
ZIO00000050	净化单元缓冲区
ZIO00000051	交叉点开关
ZIO00000052	随机遭遇2
ZIO00000053	随机遭遇3
ZIO00000054	开关
ZIO00000055	激活门
ZIO00000056	电子开关
ZIO00000057	笔记
ZIO00000058	阅读笔记
ZIO00000059	纸条
ZIO00000060	阅读笔记
ZIO00000061	纸条
ZIO00000062	阅读笔记
ZIO00000063	大门压力阀
ZIO00000064	逝者纪念碑
ZIO00000065	大门压力阀
ZIO00000066	开关
ZIO00000067	激活门
ZIO00000068	电子开关
ZIO00000069	打火匣
ZIO00000070	使用火种箱
ZIO00000071	畏光催化剂
ZIO00000072	Level 1 Enemy Activator
ZIO00000073	White Leg Ambush 01
ZIO00000074	随机遭遇4
ZIO00000075	围巾 - 棕色
ZIO00000076	围巾 - 红色
ZIO00000077	小径铠甲套装
ZIO00000078	小径佣兵套装
ZIO00000079	快乐帽
ZIO00000080	避难所管理员帽子
ZIO00000081	避难所科技工作服
ZIO00000082	围巾 - 佣兵
ZIO00000083	小径基础套装
ZIO00000084	截短风衣
ZIO00000085	狙击手头巾
ZIO00000086	十字架
ZIO00000087	小径头目套装
ZIO00000088	小径农场工人套装
ZIO00000089	小径居民套装
ZIO00000090	呼吸器
ZIO00000091	勤务带
ZIO00000092	染血的衣服
ZIO00000093	66号避难所实用连体衣
ZIO00000094	迷彩鸭舌帽
ZIO00000095	小径迷彩套装
ZIO00000096	66号避难所连体衣
ZIO00000097	小径防尘套装
ZIO00000098	搬运袋 - 大
ZIO00000099	改良避难所科技头盔
ZIO00000100	搬运袋 - 小
ZIO00000101	66号避难所安全装甲
ZIO00000102	《猎人指南：如何勒死灰熊》
ZIO00000103	《猎人指南：如何勒死灰熊》
ZIO00000104	《猎人指南：如何电死鹿》
ZIO00000105	《猎人指南：如何电死鹿》
ZIO00000106	《猎人指南：用炸药钓鱼》
ZIO00000107	《猎人指南：用炸药钓鱼》
ZIO00000108	《猎人指南：用机枪打麻雀》
ZIO00000109	《猎人指南：用机枪打麻雀》
ZIO00000110	《美发师点评：发夹特辑》
ZIO00000111	《美发师点评：发夹特辑》
ZIO00000112	《傻瓜式手术指南》
ZIO00000113	《傻瓜式手术指南》
ZIO00000114	《疯狂的木偶戏》
ZIO00000115	《疯狂的木偶戏》
ZIO00000116	《蓝彼得年鉴：粘性塑料的101种用途》
ZIO00000117	《蓝彼得年鉴：粘性塑料的101种用途》
ZIO00000118	《全息性爱 - 如何爱光》
ZIO00000119	《全息性爱 - 如何爱光》
ZIO00000120	《猎人指南：接近那个可怜的射手》
ZIO00000121	《猎人指南：接近那个可怜的射手》
ZIO00000122	《心理学期刊：如何嗅出废话》
ZIO00000123	《心理学期刊：如何嗅出废话》
ZIO00000124	《避难所居民生存指南》
ZIO00000125	《避难所居民生存指南》
ZIO00000126	《电脑商：如何在线卸载你的垃圾》
ZIO00000127	《电脑商：如何在线卸载你的垃圾》
ZIO00000128	纳森斯之墓
ZIO00000129	灰堆
ZIO00000130	储物柜
ZIO00000131	金属箱
ZIO00000132	冰箱
ZIO00000133	苏济之墓
ZIO00000134	行李袋
ZIO00000135	行李袋
ZIO00000136	壁挂式保险箱
ZIO00000137	主教的库存
ZIO00000138	文件柜
ZIO00000139	行李袋
ZIO00000140	橱柜
ZIO00000141	主教的库存
ZIO00000142	班戟的行李箱
ZIO00000143	保险箱
ZIO00000144	弹药箱
ZIO00000145	手提箱
ZIO00000146	冰箱
ZIO00000147	冰箱
ZIO00000148	蚕豆袋
ZIO00000149	木箱
ZIO00000150	保险箱
ZIO00000151	琳达之墓
ZIO00000152	测试行李袋
ZIO00000153	芬特博士的储备箱
ZIO00000154	弹药箱
ZIO00000155	安琪儿的库存
ZIO00000156	马克斯之墓
ZIO00000157	JD之墓
ZIO00000158	蓝光的物资
ZIO00000159	因斯医生的库存
ZIO00000160	约翰·豪伊的库存
ZIO00000161	测试行李箱
ZIO00000162	行李袋
ZIO00000163	金属箱
ZIO00000164	行李袋
ZIO00000165	弹药箱
ZIO00000166	行李袋
ZIO00000167	金属箱
ZIO00000168	弹药箱
ZIO00000169	海福德酒吧库存
ZIO00000170	行李箱
ZIO00000171	储物柜
ZIO00000172	橱柜
ZIO00000173	壁挂式保险箱
ZIO00000174	储物柜
ZIO00000175	行李箱
ZIO00000176	橱柜
ZIO00000177	医用橱
ZIO00000178	医用橱
ZIO00000179	金属箱
ZIO00000180	装满的橱柜
ZIO00000181	橱柜
ZIO00000182	储物柜
ZIO00000183	陶罐
ZIO00000184	灰堆
ZIO00000185	金属箱
ZIO00000186	行李袋
ZIO00000187	门
ZIO00000188	大门
ZIO00000189	门
ZIO00000190	门
ZIO00000191	门
ZIO00000192	门
ZIO00000193	门
ZIO00000194	梯子
ZIO00000195	梯子
ZIO00000196	门
ZIO00000197	门
ZIO00000198	水闸
ZIO00000199	升降机
ZIO00000200	梯子
ZIO00000201	门
ZIO00000202	亚伯拉罕·杰斐逊三世伯爵
ZIO00000203	小提琴
ZIO00000204	铁路工作包
ZIO00000205	旧文档
ZIO00000206	《疯狂的木偶戏》
ZIO00000207	棱镜式罗盘
ZIO00000208	《电脑商：如何在线卸载你的垃圾》
ZIO00000209	《猎人指南：如何电死鹿》
ZIO00000210	《猎人指南：用炸药钓鱼》
ZIO00000211	《猎人指南：用机枪打麻雀》
ZIO00000212	《美发师点评：发夹特辑》
ZIO00000213	《傻瓜式手术指南》
ZIO00000214	《蓝彼得年鉴：粘性塑料的100种用途》
ZIO00000215	《全息性爱 - 如何爱光》
ZIO00000216	《猎人指南：接近那个可怜的射手》
ZIO00000217	《心理学期刊：如何嗅出废话》
ZIO00000218	《避难所居民生存指南》
ZIO00000219	《猎人指南：如何勒死灰熊》
ZIO00000220	锡安小径地图
ZIO00000221	床
ZIO00000222	强权外交
ZIO00000223	内维尔的切割工具
ZIO00000224	切得漂亮
ZIO00000225	求生刀
ZIO00000226	外交官
ZIO00000227	轰鸣盒
ZIO00000228	专用12.7mm冲锋枪
ZIO00000229	天使粉
ZIO00000230	丽斯
ZIO00000231	二等兵多兹
ZIO00000232	66号避难所保安
ZIO00000233	芬格尔
ZIO00000234	露易丝·因斯医生
ZIO00000235	杰克·奥唐纳
ZIO00000236	66号避难所居民
ZIO00000237	66号避难所居民
ZIO00000238	捕蝇器
ZIO00000239	“两双鞋”比利
ZIO00000240	朱迪思·多兰
ZIO00000241	玛丽·多兰
ZIO00000242	萨拉·多兰
ZIO00000243	娜奥米·多兰
ZIO00000244	瑞贝卡·多兰
ZIO00000245	艾萨克·多兰
ZIO00000246	阿布纳·多兰
ZIO00000247	雅各布·多兰
ZIO00000248	诺阿·多兰
ZIO00000249	毒蛇帮枪手
ZIO00000250	毒蛇帮枪手
ZIO00000251	毒蛇帮枪手
ZIO00000252	毒蛇帮枪手
ZIO00000253	毒蛇帮枪手
ZIO00000254	毒蛇帮枪手
ZIO00000255	NCR私掠者
ZIO00000256	NCR私掠者
ZIO00000257	凯利上校
ZIO00000258	NCR私掠者
ZIO00000259	皮尔森·本特治安官
ZIO00000260	杰森·麦基
ZIO00000261	约翰·豪伊
ZIO00000262	NCR私掠者
ZIO00000263	NCR私掠者
ZIO00000264	罗伯特·迈尔斯
ZIO00000265	安琪儿·刘易斯
ZIO00000266	艾玛·邓恩
ZIO00000267	克洛艾·迈尔斯
ZIO00000268	约书亚·多兰
ZIO00000269	伊斯特尔·西姆斯
ZIO00000270	迪伦·西姆斯
ZIO00000271	毒蛇帮枪手
ZIO00000272	毒蛇帮枪手
ZIO00000273	NCR私掠者
