ABOX00000001	9x39毫米全金属被甲弹药盒
ABOX00000002	9x39毫米弹药盒
ABOX00000003	9x18毫米全金属被甲弹药盒
ABOX00000004	9x18毫米弹药盒
ABOX00000005	9x18毫米高压弹药盒
ABOX00000006	9x18毫米高压弹药盒
ABOX00000007	9x18毫米空尖弹药盒
ABOX00000008	9x18毫米空尖弹药盒
ABOX00000009	9x39毫米空尖弹药盒
ABOX00000010	9x39毫米空尖弹药盒
ABOX00000011	9x39毫米软尖手装弹药盒
ABOX00000012	9x39毫米软尖弹药盒
ABOX00000013	9x39毫米穿甲弹药盒
ABOX00000014	9x39毫米穿甲弹药盒
ABOX00000015	7.62x54R全金属被甲弹药盒
ABOX00000016	7.62x54R弹药盒
ABOX00000017	7.62x54R穿甲弹药盒
ABOX00000018	7.62x54R穿甲弹药盒
ABOX00000019	7.62x54R空尖弹药盒
ABOX00000020	7.62x54R空尖弹药盒
ABOX00000021	7.62x54R软尖手装弹药盒
ABOX00000022	7.62x54R软尖弹药盒
ABOX00000023	12.7x42毫米全金属被甲弹药盒
ABOX00000024	12.7x42毫米弹药盒
ABOX00000025	12.7x42毫米空尖弹药盒
ABOX00000026	12.7x42毫米空尖弹药盒
ABOX00000027	9x18毫米空尖手装弹药盒
ABOX00000028	9x18毫米空尖弹药盒
ABOX00000029	12.7x42毫米空尖手装弹药盒
ABOX00000030	12.7x42毫米空尖弹药盒
ABOX00000031	9x18毫米劣质全金属被甲弹药盒
ABOX00000032	9x18毫米劣质弹药盒
ABOX00000033	9x39毫米劣质全金属被甲弹药盒
ABOX00000034	9x39毫米劣质弹药盒
ABOX00000035	7.62x54R劣质全金属被甲弹药盒
ABOX00000036	7.62x54R劣质弹药盒
ABOX00000037	12.7x42毫米劣质全金属被甲弹药盒
ABOX00000038	12.7x42毫米劣质弹药盒
ABOX00000039	5.7x28毫米全金属被甲弹药盒
ABOX00000040	5.7x28毫米弹药盒
ABOX00000041	5.7x28毫米穿甲弹药盒
ABOX00000042	5.7x28毫米穿甲弹药盒
ABOX00000043	5.7x28毫米空尖弹药盒
ABOX00000044	5.7x28毫米空尖弹药盒
