ABOX00000001	9x39mm, FMJ Box
ABOX00000002	9x39mm Box
ABOX00000003	9x18mm, FMJ Box
ABOX00000004	9x18mm Box
ABOX00000005	9x18mm Round, +P Box
ABOX00000006	9x18mm +P Box
ABOX00000007	9x18mm, Hollow Point Box
ABOX00000008	9x18mm HP Box
ABOX00000009	9x39mm, Hollow Point Box
ABOX00000010	9x39mm HP Box
ABOX00000011	9x39mm, JSP (Hand Load) Box
ABOX00000012	9x39mm JSP Box
ABOX00000013	9x39mm, Armor Piercing Box
ABOX00000014	9x39mm AP Box
ABOX00000015	7.62x54R, FMJ Box
ABOX00000016	7.62x54R Box
ABOX00000017	7.62x54R, Armor Piercing Box
ABOX00000018	7.62x54R AP Box
ABOX00000019	7.62x54R, Hollow Point Box
ABOX00000020	7.62x54R HP Box
ABOX00000021	7.62x54R, JSP Hand Load Box
ABOX00000022	7.62x54R JSP Box
ABOX00000023	12.7x42mm, FMJ Box
ABOX00000024	12.7x42mm Box
ABOX00000025	12.7x42mm, Hollow Point Box
ABOX00000026	12.7x42mm HP Box
ABOX00000027	9x18mm, JHP (Hand Load) Box
ABOX00000028	9x18mm JHP Box
ABOX00000029	12.7x42mm JHP (Hand Load) Box
ABOX00000030	12.7x42mm JHP Box
ABOX00000031	9x18mm, FMJ (Junk) Box
ABOX00000032	9x18mm JNK Box
ABOX00000033	9x39mm, FMJ (Junk) Box
ABOX00000034	9x39mm JNK Box
ABOX00000035	7.62x54R, FMJ (Junk) Box
ABOX00000036	7.62x54R JNK Box
ABOX00000037	12.7x42mm, FMJ (Junk) Box
ABOX00000038	12.7x42mm JNK Box
ABOX00000039	5.7x28mm, FMJ Box
ABOX00000040	5.7x28mm Box
ABOX00000041	5.7x28mm, Armor Piercing Box
ABOX00000042	5.7x28mm AP Box
ABOX00000043	5.7x28mm, Hollow Point Box
ABOX00000044	5.7x28mm HP Box
ABOX00000045	5.7x28mm, JSP (Hand Load) Box
ABOX00000046	5.7x28mm JSP Box
ABOX00000047	5.7x28mm, FMJ (Junk) Box
ABOX00000048	5.7x28mm JNK Box
ABOX00000049	7.62x39mm, FMJ Box
ABOX00000050	7.62x39mm Box
ABOX00000051	7.62x39mm, Armor Piercing Box
ABOX00000052	7.62x39mm AP Box
ABOX00000053	7.62x39mm, Hollow Point Box
ABOX00000054	7.62x39mm HP Box
ABOX00000055	7.62x39mm, Match (Hand Load) Box
ABOX00000056	7.62x39mm M Box
