TIH00000001	Chess Bobblehead
TIH00000002	Slave Collar
TIH00000003	Enclave Gold Bar
TIH00000004	Hastings' Finger
TIH00000005	Sealed Letter
TIH00000006	Slave Sales Log
TIH00000007	Sales Log
TIH00000008	Chess Gnome
TIH00000009	Joe Sellers
TIH00000010	Bradley
TIH00000011	Fiend
TIH00000012	Fiend
TIH00000013	Astro
TIH00000014	Martino
TIH00000015	Smokey
TIH00000016	Fiend
TIH00000017	Fiend
TIH00000018	Shulgin
TIH00000019	Fiend
TIH00000020	Fiend
TIH00000021	Fiend
TIH00000022	Joe Sellers
TIH00000023	Hawkins
TIH00000024	Mercenary
TIH00000025	Zimmer
TIH00000026	Fiend Hacker
TIH00000027	Hastings
TIH00000028	Tony Chase
TIH00000029	Vaughn
TIH00000030	Syndicate Thug
TIH00000031	Syndicate Thug
TIH00000032	Syndicate Thug
TIH00000033	Syndicate Thug
TIH00000034	Syndicate Thug
TIH00000035	Big Pete
TIH00000036	Fiend
TIH00000037	Fiend
TIH00000038	Fiend Chieftain
TIH00000039	Courier
TIH00000040	Mercenary
TIH00000041	Raider
TIH00000042	Drifter
TIH00000043	Bounty Hunter
TIH00000044	Freeside Thug Ringleader
TIH00000045	Freeside Thug
TIH00000046	Felix Cortez
TIH00000047	Syndicate Thug
TIH00000048	Syndicate Thug
TIH00000049	Heinz
TIH00000050	Chris Burke
TIH00000051	Courier
TIH00000052	Chester
TIH00000053	Fiend
TIH00000054	Chris Burke
TIH00000055	Paulie Almonds
TIH00000056	Syndicate Thug
TIH00000057	Courier
TIH00000058	Esther
TIH00000059	Mercenary
TIH00000060	Viper Auctioneer
TIH00000061	Slave Trader
TIH00000062	Chubbs
TIH00000063	Viper
TIH00000064	Viper
TIH00000065	Viper Chieftain
TIH00000066	Child Slave
TIH00000067	Child Slave
TIH00000068	Severus
TIH00000069	Legion Explorer
TIH00000070	Fiend
TIH00000071	Chester
TIH00000072	Fiend
TIH00000073	Westside Citizen
TIH00000074	Fiend
TIH00000075	Fiend Chieftain
TIH00000076	James Anderson
TIH00000077	Jane Anderson
TIH00000078	Billy Anderson
TIH00000079	Betty Anderson
TIH00000080	Robert Anderson
TIH00000081	Caravaneer
TIH00000082	Caravaneer
TIH00000083	Wastelander
TIH00000084	Fiend
TIH00000085	Slave
TIH00000086	Viper Leader
TIH00000087	Ronnie
TIH00000088	Caravaneer
TIH00000089	Caravaneer
TIH00000090	Caravaneer
TIH00000091	Caravaneer
TIH00000092	Caravaneer
TIH00000093	Betty Anderson
TIH00000094	James Anderson
TIH00000095	Jane Anderson
TIH00000096	Wastelander
TIH00000097	Viper Captain
TIH00000098	Courier
TIH00000099	Grant
TIH00000100	Cady
TIH00000101	Bucky
TIH00000102	Nowak the Wanderer
TIH00000103	Followers Doctor
TIH00000104	Bucky
TIH00000105	Bucky
TIH00000106	Doctor Rockstein
TIH00000107	NCR Doctor
TIH00000108	Ranger Beaumont
TIH00000109	Courier
TIH00000110	Koestler
TIH00000111	NCR Ranger
TIH00000112	Recruit Legionary
TIH00000113	NCR Trooper
TIH00000114	NCR Trooper
TIH00000115	NCR Trooper
TIH00000116	Legionary Blacksmith
TIH00000117	Legionary Blacksmith
TIH00000118	Veteran Legionary
TIH00000119	Prime Legionary
TIH00000120	Prime Legionary
TIH00000121	Castor
TIH00000122	Pollux
TIH00000123	Legion Explorer
TIH00000124	Dead Slave
TIH00000125	NCR Trooper
TIH00000126	Recruit Legionary
TIH00000127	Prime Legionary
TIH00000128	Veteran Legionary
TIH00000129	Legion Vexillarius
TIH00000130	Centurion
TIH00000131	Slave
TIH00000132	Slave
TIH00000133	NCR Veteran Ranger
TIH00000134	NCR Ranger
TIH00000135	NCR Trooper
TIH00000136	Ranger Rubin
TIH00000137	Centurion
TIH00000138	Sam Dixon
TIH00000139	Dan Harris
TIH00000140	Veteran Legionary
TIH00000141	Jackal Chieftain
TIH00000142	NCR Trooper
TIH00000143	Patient
TIH00000144	Fiend
TIH00000145	Ex-Fiend
TIH00000146	Westside Citizen
TIH00000147	GREETING
TIH00000148	<The Courier hastily passes you a crumpled letter>
TIH00000149	Yes?
TIH00000150	...
TIH00000151	...
TIH00000152	I heard ya'll had quite a fight down there at the station. What's the report on Beaumont?
TIH00000153	What do you need?
TIH00000154	...
TIH00000155	What can I do for you?
TIH00000156	Ugh... I'm hurting for a fix.
TIH00000157	What do you need?
TIH00000158	...
TIH00000159	What is it?
TIH00000160	Yeah?
TIH00000161	What is it?
TIH00000162	Yeah?
TIH00000163	I got something for you.
TIH00000164	...
TIH00000165	Yes?
TIH00000166	...
TIH00000167	Good to see you! What do you think of the place? We've already found homes for over a dozen children.
TIH00000168	Yes?
TIH00000169	Salve, barbarus. Quaero servis meis?
TIH00000170	Me adiuvare potes?
TIH00000171	Es stultus? Ubi sunt servis meis?
TIH00000172	Excuse me, I have an urgent delivery from Westside.
TIH00000173	...
TIH00000174	Thank you for coming. We've got a situation that we can't handle ourselves.
TIH00000175	Since you kicked the Syndicate out of town, it seems the Fiends are running low on chems and weapons.
TIH00000176	Normally they're just like a pack of dumb dogs, content when they're doped up, easy to kill or scare off.
TIH00000177	But now... they're rabid. They're getting bolder and bolder, desperate to get caps for chems. The Khans are more than happy to profit from this.
TIH00000178	A few days ago a group of them ambushed the Burke family. They were good people. Everybody knew them. Only their boy is alive now.
TIH00000179	Fucking Fiends are holding him ransom. They said they want 50,000 caps or the kid dies. See the letter for yourself.
TIH00000180	They mentioned you specifically, said something about outfit gold. I didn't know what to make of it.
TIH00000181	All I know is they will only negotiate with you. They're in an abandoned house not far from the west entrance.
TIH00000182	...
TIH00000183	Hold it right the fuck there! No sudden movements, dickshit!
TIH00000184	You're that Courier who got rich, right? Good, I knew you'd come. You hand over the caps, and we'll let the boy live.
TIH00000185	I got nothing to say to you.
TIH00000186	<The child looks up at you silently; he is clearly traumatized by his recent captivity>
TIH00000187	Hello, Courier. Ironic, isn't it? I'm bringing a message to the messenger.
TIH00000188	Excuse me, I have an urgent delivery for you. Here, it's just this letter.
TIH00000189	What is it?
TIH00000190	Have you reconsidered my offer?
TIH00000191	Please deliver the package. Leave me be.
TIH00000192	Look, I'm on duty. If you've got something to say, make it quick.
TIH00000193	Shut your suck and kill some Fiends!
TIH00000194	C'mon, do it!
TIH00000195	Goddamn, I haven't seen that many raiders since I guarded a caravan passing through 80's territory.
TIH00000196	You're a courier, right? After that little fracas, you can color me surprised. You moved like a merc. Glad you were here.
TIH00000197	Now that we've got a little breathing room, I'd like to check out that package.
TIH00000198	You reconsidered the deal?
TIH00000199	I gotta stand guard. We'll talk when you've taken care of the Fiends.
TIH00000200	Ah, the intrepid explorers! Let me just say, it's been a pleasure tracking your adventures.
TIH00000201	Some close calls... you even found places we didn't know about. Truly commendable.
TIH00000202	...
TIH00000203	...
TIH00000204	Yeah?
TIH00000205	You know, I wasn't sure if I'd actually get to meet you. I guess it's something of an honor, you know, all things considered.
TIH00000206	Most of the outfit calls me Tony... well, Mr. Chase. I know you're "The Courier" or whatever. What's your real name, pal?
TIH00000207	...
TIH00000208	...
TIH00000209	Easy, Courier. No ambuscades down here. Have a seat if you like. We have a lot to talk about.
TIH00000210	I'm curious as to what brought you here. I've heard so many stories... please forgive my fascination. I seldom get to meet a legend.
TIH00000211	Paulie, you need to cut out the smoke break...
TIH00000212	Fuck! Fuck me, it's you!
TIH00000213	What?
TIH00000214	No bullshit - is this some kind of con? Come clean or I'll buttstroke your fucking skull!
TIH00000215	What is it?
