STE00000001	内联纯函数
STE00000002	战斗中不使用 PipBoy
STE00000003	针对不同场景优化最频繁/最昂贵的函数，以减少保存/加载时间并提高整体性能。如果你使用了 'New Vegas Tick Fix' 确保已更新到 v9.6 及以上版本。
STE00000004	修复
STE00000005	取消截图时弹出提示
STE00000006	战斗中AP不足，无法使用 PipBoy
STE00000007	文件...已创建”的弹出提示
STE00000008	生活质量改进
STE00000009	打印到控制台
STE00000010	截图弹出提示
STE00000011	将截图创建消息打印到控制台
STE00000012	取消善恶值提示
STE00000013	阻止善恶值相关的音效和消息
STE00000014	移除恶行提示
STE00000015	善行提示
STE00000016	移除恶行音效
STE00000017	移除善行消息
STE00000018	移除善行音效
STE00000019	数字输入
STE00000020	重复音效忽略间隔
STE00000021	在指定时间内（毫秒）阻止恶行音效的重复播放。
STE00000022	消息/音效的最小增长值
STE00000023	如果善恶值增长低于此值，则忽略善恶消息和音效。
STE00000024	消息/音效的最小减少值
STE00000025	如果善恶值减少低于此值，忽略善恶消息和音效。
STE00000026	无残废/致命消息
STE00000027	阻止目标显示残废/致命击中弹出框。
STE00000028	移除致命
STE00000029	移除残废-致命消息
STE00000030	移除致命击中消息
STE00000031	移除残废
STE00000032	移除残废目标肢体消息
STE00000033	瞄准时奔跑
STE00000034	移除瞄准时关联的移动惩罚。
STE00000035	游戏玩法
STE00000036	近战格挡时
STE00000037	瞄准速度
STE00000038	移除近战格挡的惩罚。
STE00000039	瞄准时（铁瞄）
STE00000040	移除铁瞄时的惩罚。
STE00000041	无音频失真
STE00000042	移除面具和对讲机角色的音频失真效果。
STE00000043	杂项
STE00000044	油炸
STE00000045	音频失真
STE00000046	将失真效果应用到所有声音，而不仅仅是戴面具的NPC。
STE00000047	滚轮操作不改变视角
STE00000048	缩放（滚轮操作）时停止视角切换。
STE00000049	第一/第三人称视角
STE00000050	滚轮视角切换
STE00000051	阻止滚轮操作时从第一人称切换到第三人称视角。
STE00000052	第三人称/第一人称视角
STE00000053	阻止滚轮操作时从第三人称切换到第一人称视角。
STE00000054	更快的睡眠等待时间
STE00000055	自定义睡眠/等待菜单中小时之间的延迟时间。
STE00000056	等待时间
STE00000057	睡眠/等待
STE00000058	每小时之间的间隔时间，以毫秒为单位。
STE00000059	不随时间比例缩放
STE00000060	使等待时间不受当前时间比例（如sgtm命令）影响。
STE00000061	战斗中禁用PipBoy
STE00000062	在战斗中禁用PipBoy的使用。
STE00000063	战斗
STE00000064	显示角落消息
STE00000065	启用角落消息，如“战斗中禁用PipBoy”或“没有足够的AP在战斗中使用PipBoy”。
STE00000066	允许使用行动点数使用PipBoy
STE00000067	允许使用PipBoy消耗“AP成本”行动点数。
STE00000068	AP消耗
STE00000069	消耗的行动点数。
STE00000070	行动点不足信息
STE00000071	不允许信息
STE00000072	跳跃消耗AP
STE00000073	使跳跃消耗行动点。
STE00000074	消耗的行动点数。
STE00000075	AP不足时跳跃
STE00000076	如果禁用，只有在拥有足够AP时才能跳跃。
STE00000077	合并战斗后经验条
STE00000078	战斗结束后再显示经验条弹窗
STE00000079	战斗后延迟时间
STE00000080	战斗经验
STE00000081	战斗结束后显示经验信息的延迟时间
STE00000082	无技能标签
STE00000083	隐藏对话选项中的[技能]、[对话]、[交易]等标签
STE00000084	移除红色高亮
STE00000085	移除技能检查失败时对话选项的红色边框
STE00000086	添加百分比符号
STE00000087	在TTW基于百分比的对话检查（如[对话20%] -> [对话%]）中显示百分比符号
STE00000088	移除[成功]和[失败]
STE00000089	移除响应中的[成功]和[失败]
STE00000090	对话中隐藏经验条弹窗
STE00000091	隐藏对话中获得的经验条弹窗
STE00000092	隐藏杂项统计和挑战弹窗
STE00000093	隐藏统计菜单和挑战更新角落消息中的“对话成功”和“对话失败”。
STE00000094	标签移除模式
STE00000095	不要移除技能标签
STE00000096	保留技能标签，例如“[对话24/50] 无论什么。”
STE00000097	移除整个技能标签
STE00000098	移除整个标签，例如“无论什么。”
STE00000099	保留技能但移除数字
STE00000100	移除数字但保留技能可见，例如“[对话] 无论什么。”
STE00000101	移动惩罚
STE00000102	为玩家向后移动或瞄准时增加可配置的移动惩罚。
STE00000103	更慢的后退
STE00000104	左后方
STE00000105	右后方
STE00000106	左前方
STE00000107	右前方
STE00000108	近战格挡
STE00000109	武器瞄准
STE00000110	单人硬核特性
STE00000111	启用单独的硬核特性开关，与游戏的硬核设置分开。
STE00000112	弹药重量
STE00000113	硬核调整
STE00000114	必要同伴
STE00000115	当同伴生命值归零时，使他们昏迷而非死亡。
STE00000116	睡眠治疗
STE00000117	不会影响玩家自己的床铺睡眠，因为这是脚本效果。
STE00000118	《辐射76》负重
STE00000119	在负重过重时，允许消耗动作点数奔跑和跳跃。
STE00000120	动作点消耗
STE00000121	负重过重
STE00000122	每间隔消耗的动作点数量。
STE00000123	动作点消耗间隔
STE00000124	动作点消耗速率（毫秒为单位）。
STE00000125	跳跃动作点消耗
STE00000126	跳跃所需的动作点数。
STE00000127	在负重过重时，允许使用0动作点跳跃。
STE00000128	移除负重提示消息
STE00000129	移除“你负重过重，无法奔跑！”的提示信息。
STE00000130	允许在动作点不足时奔跑。
STE00000131	在负重过重时，允许使用0动作点奔跑。
STE00000132	基于重量的动作点消耗。
STE00000133	根据负重程度调整动作点消耗，即 iAPDrainCost * 当前重量/最大重量，所以携带两倍最大重量会使动作点消耗翻倍。
STE00000134	负重过重时的奔跑速度倍数。
STE00000135	负重奔跑时的速度倍数。
STE00000136	进入VATS消耗动作点。
STE00000137	进入VATS增加动作点惩罚。
STE00000138	进入VATS的动作点消耗。
STE00000139	进入VATS所需的动作点数量。
STE00000140	没有足够的动作点无法进入VATS。
STE00000141	如果没有足够的动作点来开火当前武器，会阻止进入VATS。
STE00000142	只失败
STE00000143	只有在找不到目标时才扣除动作点。
STE00000144	只有没有目标
STE00000145	进入VATS时不扣除动作点，如果在没有选择目标时退出VATS时才扣除。
STE00000146	保存管理器
STE00000147	使用增量保存槽进行自动保存，可选每轮进行完整保存。
STE00000148	快捷键
STE00000149	加载当前保存键
STE00000150	快捷键，用于加载已加载的保存（就像玩家死亡一样）。
STE00000151	创建保存键
STE00000152	快捷键，用于创建命名的保存。
STE00000153	增量保存键
STE00000154	信使 - 保存1，信使 - 保存2...
STE00000155	最大增量保存数
STE00000156	增量保存槽的数量，当达到最大槽位时，将从槽位0开始重写。
STE00000157	自动保存计时器
STE00000158	定时自动保存之间的延迟，以秒为单位。
STE00000159	最大自动保存
STE00000160	自动保存槽的数量，当达到最大槽位时，将从槽位0开始重写。
STE00000161	定期全保存
STE00000162	每当达到最大槽位时，创建一个命名的保存。
STE00000163	无自动保存提示
STE00000164	隐藏模组和原版的自动保存提示。
STE00000165	在“位置发现”时保存
STE00000166	发现位置时自动保存。
STE00000167	在“任务完成”时保存。
STE00000168	任务完成后自动保存。
STE00000169	游戏退出时保存。
STE00000170	游戏退出时自动保存。
STE00000171	扒手成功逃脱时保存
STE00000172	扒窃后关闭容器菜单未被抓时自动保存
STE00000173	制作物品时保存
STE00000174	制作完物品后关闭配方菜单时自动保存
STE00000175	升级前保存
