STE00000001	Inline Vanilla Functions 
STE00000002	No Pip-Boy in combat 
STE00000003	Optimizes the most frequent/expensive functions for various scenarios to decrease save/loading times and improve general performance. If you're using 'New Vegas Tick Fix' make sure it's updated (v9.6+).
STE00000004	Fixes 
STE00000005	No Screenshot Taken Popup 
STE00000006	Not enough AP to use PipBoy in combat 
STE00000007	 File ... created' pop-up appearing at the top right corner of the screen. 
STE00000008	Quality-of-life 
STE00000009	Print To Console 
STE00000010	Screenshot Popup
STE00000011	Print the screenshot created message to console.
STE00000012	No Karma Messages
STE00000013	Stops the sounds and messages for good and bad karma.
STE00000014	Remove Evil Messages
STE00000015	Karma Messages
STE00000016	Remove Evil Sounds
STE00000017	Remove Good Messages
STE00000018	Remove Good Sounds
STE00000019	number input
STE00000020	Repeated Sound Ignore Interval
STE00000021	Stops the bad karma sound repeating within the provided time (in milliseconds).
STE00000022	Minimum Increase For Messages/Sounds
STE00000023	Ignore karma messages and sounds if the increase in karma is below this value.
STE00000024	Minimum Decrease For Messages/Sounds
STE00000025	Ignore karma messages and sounds if the decrease in karma is below this value.
STE00000026	No Cripple/Critical Messages
STE00000027	Prevents the target crippled/critical hit popups.
STE00000028	Remove Critical
STE00000029	Cripple-Critical Messages
STE00000030	Remove critical hit messages.
STE00000031	Remove Crippled
STE00000032	Remove crippled target limb messages.
STE00000033	Run While Aiming
STE00000034	Remove the movement penalty associated with aiming.
STE00000035	Gameplay
STE00000036	While Melee Blocking
STE00000037	Aiming Speed
STE00000038	Remove the penalty for melee blocking.
STE00000039	While Iron-Sighting
STE00000040	Remove the penalty for iron sighting.
STE00000041	No Audio Distortion
STE00000042	Remove the audio distortion effect applied to actors wearing masks and intercoms.
STE00000043	Misc
STE00000044	Deep Fried
STE00000045	Audio Distortion
STE00000046	Apply the distortion to all sounds, not just NPCs wearing masks.
STE00000047	Scroll-wheeling Doesn't Change POV
STE00000048	Stops the point of view changing when zooming in/out (scrolling).
STE00000049	First-Third Person
STE00000050	Scrollwheel POV
STE00000051	Prevent scrolling changing view from first to third person.
STE00000052	Third-First Person
STE00000053	Prevent scrolling changing view from third to first person.
STE00000054	Faster Sleep Wait
STE00000055	Customize the delay between hours in the sleep/wait menu.
STE00000056	Wait Time
STE00000057	Sleep Wait
STE00000058	Time between hours in milliseconds.
STE00000059	Don't Scale With Timescale
STE00000060	Makes the wait time unaffected by the current timescale (e.g. sgtm command).
STE00000061	No PipBoy In Combat
STE00000062	Disallows use of the PipBoy during combat.
STE00000063	Combat
STE00000064	Show Corner Message
STE00000065	Enable corner messages 'No PipBoy in combat' or 'Not enough AP to use PipBoy in combat'.
STE00000066	Allow Pipboy Using Action Points
STE00000067	Allow the use of PipBoy for 'AP Cost' action points.
STE00000068	AP Cost
STE00000069	Number of action points used.
STE00000070	Not Enough AP Message
STE00000071	Not Allowed Message
STE00000072	Jumping Costs AP
STE00000073	Makes jumping cost Action Points.
STE00000074	Number of action pints used.
STE00000075	Jump without enough AP
STE00000076	If disabled, you will only be able to jump if you have enough AP.
STE00000077	Combined Post-Combat XP Bar
STE00000078	Delay XP pop-ups till the end of combat.
STE00000079	Post-Combat Delay Time
STE00000080	Combat XP
STE00000081	The amount of time after combat till the XP message will be shown.
STE00000082	No Skill Tags
STE00000083	Hides the [Perk], [Speech], [Barter], etc. tags from dialogue options.
STE00000084	Remove Red Highlight
STE00000085	Removes the red outline on dialogue options where the skill check would fail.
STE00000086	Add Percent Symbol
STE00000087	Show the % symbol on TTW percentage based speech checks (e.g. [Speech 20%] -> [Speech%]).
STE00000088	Remove [Success] And [FAILED]
STE00000089	Removes the [SUCCESS] and [FAILED] from responses.
STE00000090	Hide XP Popups In Dialogue
STE00000091	Hides XP pop-ups if earned during dialogue.
STE00000092	Hide Misc Stats and Challenge Popups
STE00000093	Hides the 'Speech Successes' and 'Speech Failures' in stats menu and challenge update corner messages.
STE00000094	Tag Removal Mode
STE00000095	Don't Remove Skill Tags
STE00000096	Keep skill tags, e.g. '[Speech 24/50] Whatever.'
STE00000097	Remove Entire Skill Tag
STE00000098	Remove entire tag, e.g. 'Whatever.'
STE00000099	Keep Skill But Remove Number
STE00000100	Remove the number but keep the skill visible, e.g. '[Speech] Whatever.'
STE00000101	Movement Penalties
STE00000102	Adds a configurable movement penalty for when the player is moving backwards or aiming.
STE00000103	Slower Backpedaling
STE00000104	Back Left
STE00000105	Back Right
STE00000106	Front Left
STE00000107	Front Right
STE00000108	Melee Blocking
STE00000109	Weapon Aiming
STE00000110	Individual Hardcore Features
STE00000111	Enable toggling of individual hardcore features, separately from the game's hardcore setting.
STE00000112	Ammo Weight
STE00000113	Hardcore Tweaks
STE00000114	Essential Companions
STE00000115	Makes companions unconscious instead of dying when losing all their health.
STE00000116	Sleep Healing
STE00000117	 does not affect sleeping in player-owned beds as this is a scripted effect.
STE00000118	Fallout 76 Encumbrance
STE00000119	Enables running and jumping for Action Points while over-encumbered.
STE00000120	AP drain cost
STE00000121	Over Encumbered
STE00000122	Amount of AP drained every interval.
STE00000123	AP drain interval
STE00000124	Rate at which AP is drained (in ms).
STE00000125	Jump AP cost
STE00000126	Action points used to jump.
STE00000127	Allows jumping while over-encumbered with 0 AP.
