AAD00100001	问好
AAD00100002	你好啊伙计！欢迎来到“维姬与万斯”赌场及博物馆。
AAD00100003	一个叫做大汗帮的部落加入了我们。他们最好都是些优秀的战士。
AAD00100004	感谢上帝你来了。我的小队需要帮助。
AAD00100005	清泉镇又送了些新鲜的吃食过来。
AAD00100006	你不该和炸药帮结梁子！现在你得付出代价！
AAD00100007	我带来了炸药帮给你的礼物……希望你喜欢炸药！
AAD00100008	你对炸药帮如此残暴，你会付出代价的！
AAD00100009	敢惹炸药帮的人必死无疑！
AAD00100010	他在这儿，小伙子们！让他看看招惹炸药帮是什么下场！
AAD00100011	很高兴见到你！我是托马斯·希尔丹博士，东部科工部的项目总管。我想你来这是为了22号避难所的事吧？
AAD00100012	这是禁区。请马上离开。
AAD00100013	<呻吟>
AAD00100014	<咕噜声>
AAD00100015	恶魔帮……脑子进水的垃圾。恰恰就是他们嗑的这些药，让他们变得特别难对付。.
AAD00100016	你是来讨钱的吧。我跟黑手党说了，钱没有问题！只要再给我点时间就行了！
AAD00100017	你不是我们的人……不，你是来讨钱的！我跟黑手党说过了，钱没有问题！
AAD00100018	我想知道一个平民在这做什么。
AAD00100019	你从哪来？高尔夫还是麦卡伦？算了，反正我也不是真的在乎。
AAD00100020	该死的变种佬。简直是废土毒瘤。
AAD00100021	我等不及要领剩下的报酬了。
AAD00100022	但愿那些变种佬赶紧滚蛋。我已经等恶心了。
AAD00100023	这上面凉快多了。我喜欢。
AAD00100024	如果你火力强大，那些变种佬也不算个事。
AAD00100025	我真不敢相信。凯撒军团发动了猛攻，而我居然活下来了！
AAD00100026	你有零钱吗，老兄？我有五个孩子要养活。
AAD00100027	你是个疯杂种，疯杂种！九重天！？哈！彻底疯了。
AAD00100028	你有零钱吗，老兄？我有五个孩子要养活。
AAD00100029	没错，我看见本尼跑过去了！像是被鬼追一样！
AAD00100030	你杀了老干酪！？他们说他是神！哈，谁听说过干酪之神？
AAD00100031	老干酪死了！？他们说他是神！哈，谁听说过干酪之神？
AAD00100032	生命中美好的事很多，撒尿绝对是其中最美好的。
AAD00100033	嘿！别戳我！
AAD00100034	哎呦！干嘛老戳我！
AAD00100035	管好你的那些婊子！
AAD00100036	管好你的那些婊子！
AAD00100037	去烦别人去。
AAD00100038	只要没人扶还能在地板上躺稳，就不算醉。
AAD00100039	呜——！
AAD00100040	猫王帮去哪了？
AAD00100041	嘿，医生！你那儿还有瘾头解吗？我想到了一个整蛊流浪汉的好方法。
AAD00100042	我觉得你朋友想要吃我！求你管好他！
AAD00100043	有比丰满的双头牛骑着商队成员消失在落日里更美的景象吗……等等，好像哪有点不对。
AAD00100044	我愿意出5个瓶盖买那个机器人！
AAD00100045	你的尸鬼朋友看起来鬼鬼祟祟的。看好你的口袋，伙计！
AAD00100046	你朋友的脸怎么了？
AAD00100047	我不是酒鬼，先生。我是喝醉了！这是两码事！
AAD00100048	我不是酒鬼，女士。我是喝醉了！这是两码事！
AAD00100049	有些人最大的问题就是，没醉的时候太清醒了。
AAD00100050	有人问我要喝多少才会醉。我不知道。我通常都记不住数字，更别说第二天早晨起来在哪了。
AAD00100051	嘿！当心点！附近有一群老太太在乱窜！别被她们偷袭了！
AAD00100052	他妈的发生了什么事？
AAD00100053	凯撒已经对你下了格杀令……而军团永远服从他的命令。准备战斗吧。
AAD00100054	我们要杀了你，让那些胆敢和凯撒军团作对的人知道他们的下场！拿起武器吧！
AAD00100055	你居然敢和凯撒作对！受死吧！
AAD00100056	噢，谢天谢地！没想到我居然还能在这儿见到活人。
AAD00100057	求你了，伙计，你得救救我。我腿都这样了，不知道还能撑多久。
AAD00100058	拜托，老兄，我的腿疼死了。
AAD00100059	现在可以安全离开了么？
AAD00100060	你来错地方了，旅行者。普瑞姆现在已经是个死城了。如果你够聪明，就快点走吧。
AAD00100061	瞧瞧我们这小镇。警长死了，副警长比格尔也被拖进野牛史蒂夫旅店做了人质。这副光景说不定还真能招揽到一些游客呢。
AAD00100062	如果你不介意的话，我想一个人静静。
AAD00100063	在炸药帮进城以前，约翰逊·纳什负责运营本地商店和莫哈维快递中转站。
AAD00100064	嚯！白腿部落通常不会留下任何幸存者。我得跟你说，你很幸运。
AAD00100065	你来自外面的世界，对吧？来自文明的土地？哇哦...约书亚一定对此很感兴趣。
AAD00100066	嚯！你在干什么？白腿部落的人还在后面！
