AAD00100001	GREETING
AAD00100002	Howdy pardner! Welcome to the Vikki and Vance Casino and Museum.
AAD00100003	A tribe called the Great Khans has joined us. They'd better be good fighters.
AAD00100004	Thank goodness you're here. My squad needs help.
AAD00100005	Got some fresh grub coming in from Goodsprings.
AAD00100006	You shouldn't have crossed the Powder Gangers! Now you're going to pay!
AAD00100007	I have a present for you from the Powder Gangers... I hope you like dynamite!
AAD00100008	You'll pay for what you did to the Powder Gangers!
AAD00100009	Nobody screws with the Powder Gangers and lives!
AAD00100010	Here he is, boys! Let's show him what happens when you cross the Powder Gangers!
AAD00100011	A pleasure to meet you! I'm Dr. Thomas Hildern, Director of Operations, OSI East. I presume you're here about Vault 22?
AAD00100012	This is a restricted area. Step away immediately.
AAD00100013	<groan>
AAD00100014	<grunt>
AAD00100015	Fiends... cracked-out junkies. All those chems make them a real bitch to take down.
AAD00100016	You're here for the money. I told the Omertas I was good for it! I just need more time!
AAD00100017	You're not part of my unit... no, you're here for the money! I told the Omertas I was good for it!
AAD00100018	Gotta wonder what the hell a civilian is doing here.
AAD00100019	You from Camp Golf or McCarran? Never mind. Don't really care.
AAD00100020	Damn muties. Wasteland is better off without 'em.
AAD00100021	Can't wait to get the rest of our pay for this job.
AAD00100022	Wish the muties would make a move. Getting sick of waiting.
AAD00100023	It's much cooler up here. I love it.
AAD00100024	Muties aren't so tough if you've got the firepower.
AAD00100025	I can't believe it. Caesar's Legion attacks in force, and I actually survived!
AAD00100026	Ya got any change, man? I've got five kids to feed.
AAD00100027	You're a crazy son of a bitch, you hear me! The Tops!? Ha! Crazy.
AAD00100028	Ya got any change, man? I've got five kids to feed.
AAD00100029	Yeah I saw Benny running through here! He had the fear of the devil in him!
AAD00100030	You killed ol' cheeser!? They said he was a God! Ha, who ever heard of a God of cheese?
AAD00100031	Cheeser's dead!? They said he was a God! Ha, who ever heard of a God of cheese?
AAD00100032	There are many good things in life, but peeing is definitely the best.
AAD00100033	Hey! Don't poke me!
AAD00100034	Ow! Why are you poking me!
AAD00100035	You've got to keep your bitches in line!
AAD00100036	You've got to keep your bitches in line!
AAD00100037	Go bother someone else.
AAD00100038	A man is never drunk if he can lie on the floor without holding on.
AAD00100039	Woooooo!
AAD00100040	Where'd The Kings go?
AAD00100041	Hey doc! You got any Fixer?! I've got a bender planned that would make a hobo cry.
AAD00100042	I think your friend wants to eat me! Please don't let him!
AAD00100043	Is there anything more beautiful than a beautiful busty brahmin riding a caravaneer off into the sunset... Wait I don't think that came out right.
AAD00100044	I'll give you five caps for the robot!
AAD00100045	Your ghoul friend looks shifty. Watch your pockets, buddy!
AAD00100046	What happened to your buddy's face?
AAD00100047	I am not an alcoholic, sir. I'm a drunk! There's a difference!
AAD00100048	I am not an alcoholic, ma'am. I'm a drunk! There's a difference!
AAD00100049	The problem with some people is when they're not drunk, they're sober.
AAD00100050	People ask me how much it takes me to get drunk. I don't know. I usually can't remember numbers, let alone where I am the next morning.
AAD00100051	Hey! Watch your back! There be a pack of ol' ladies runnin' round here somewhere! Don't let them catch you unawares!
AAD00100052	What the fuck just happened?
AAD00100053	The Caesar has marked you for death... and the Legion obeys. Ready yourself for battle.
AAD00100054	Now you will serve as an example to all who dare oppose Caesar's Legion. Defend yourself!
AAD00100055	You have defied Caesar for the last time! Your life ends now!
AAD00100056	Oh, thank God! I didn't think I'd ever see another human face down here.
AAD00100057	Please, buddy, you've got to help me. I don't know how much longer I'm going to last with my leg like this.
AAD00100058	Come on man, my leg is killing me.
AAD00100059	Is it safe to leave yet?
AAD00100060	You come to the wrong place, traveler. Primm's dying. If you got any sense, you'll be moving on.
AAD00100061	Quite a town we got here. Sheriff gets murdered, and Deputy Beagle dragged off for ransom to the Bison Steve. That should bring back the tourists.
AAD00100062	Rather be left alone to my misery, if you don't mind.
AAD00100063	Before the Powder Gangers came to town, Johnson Nash ran the local store and the Mojave Express station.
AAD00100064	Hoi! White Legs don't leave survivors often. You're some kind of lucky, let me tell you.
AAD00100065	You came from outside, didn't you? From the civilized lands? Wow... Joshua will want to hear about this.
AAD00100066	Hoi! What you doing? There's still White Legs back there!
AAD00100067	Wait - you came from outside, didn't you? From the civilized lands? Wow... Joshua will want to hear about this.
AAD00100068	Yah ah tahg! I saw you at the southern passage - you... um... you do know there were still White Legs alive when you ran off, right?
AAD00100069	Hello. I'm Rose of Sharon Cassidy.
AAD00100070	Any word on Station Charlie?
AAD00100071	Well howdy, pardner! Good to see you again. Boss is waiting for ya upstairs, so get a move on!
AAD00100072	Die, NCR filth!
AAD00100073	Thank you for your advice. You've helped me see more clearly.
AAD00100074	If it isn't the courier who's done everything he can to defy the will of mighty Caesar!
AAD00100075	If it isn't the courier who's done everything she can to defy the will of mighty Caesar!
AAD00100076	The Legion holds Nelson, Profligate! This is where you'll die. Brothers, attack!
AAD00100077	Dammit, I didn't want you to kill him, just find me some evidence!
AAD00100078	Sorry, friend, you've crossed the NCR one too many times - you've been marked for death... and we're here to take care of that.
AAD00100079	Nothing personal - orders - you know how it is. Well, let's get to it.
AAD00100080	We should have given you a better welcome on your first visit to Zion, but from what I hear, the White Legs beat us to it.
AAD00100081	White Legs seem to be the only visitors we have these days, and I wouldn't have expected anyone from the Mojave to come looking for us.
AAD00100082	And you're a courier, no less. Not the one I was expecting, but I suppose he wouldn't have come with a caravan.
AAD00100083	I don't know if you were close to the other members of your group, but you have my sympathy.
AAD00100084	I pray for the safety of all good people who come to Zion, even Gentiles, but we can't expect God to do all the work.
AAD00100085	You made it. Good. I'm getting tired of waiting for you - and Elijah. Surprised? Yeah... I made it here, just like you did.
AAD00100086	You made it. Good... <Coughs> ugh... Hurts to talk. I'll keep this quick in case my... voice goes out.
AAD00100087	Well, now, if it isn't my ball, chain, and dog collar rolled all into one.
AAD00100088	You have that sad, questioning look in your eye. Not sure talking to me's going to make it any better.
AAD00100089	Can you hear me...? Damn transceivers... let me link the collars to the speaker in the tower... then... there.
AAD00100090	I hear you took care of Motor-Runner. I could have handled that on my own.
AAD00100091	Thanks for the help back at Vault 3. I couldn't have gotten out of there without the assist.
AAD00100092	What do you need? I have a job to do.
AAD00100093	I'm ready to take out Motor-Runner when you are.
AAD00100094	How the hell did you get in here? And who the hell are you?
AAD00100095	What are you doing here, soldier? I didn't call for any support.
AAD00100096	Rick is dead, but I'd still welcome my freedom!
AAD00100097	Are you going to free me or what?
AAD00100098	What the fuck are you doing here?
AAD00100099	Man, are you turned around. Motor-Runner is on the other side of the complex.
AAD00100100	Sorry, but I don't have time to talk right now. I'm going back to the ranch.
AAD00100101	Stupid Bighorners were making noise all night again.
AAD00100102	I like it up here. Nice and cool.
AAD00100103	Better watch out. Lily's been babbling about her grandkids again.
AAD00100104	Some days, I miss being in the Master's army.
AAD00100105	Can't grow crops if they don't give us the water.
AAD00100106	Howdy. Something I could help you with?
AAD00100107	You showed up just in time to say goodbye. Me and a couple of the others are packing it in and heading back to California.
AAD00100108	The water ration's still a problem, and the NCR doesn't look like it's going to do anything about it anytime soon.
AAD00100109	Something else you need before I go?
AAD00100110	There's too much light. Why is there always too much light?
AAD00100111	Have you heard the news? Caesar's agents assassinated President Kimball - it'll be war for sure, now.
AAD00100112	Have you found out what happened to those missing refugees?
AAD00100113	Good to see you - something else I can do for you?
AAD00100114	Back again? What can I do for you?
AAD00100115	You're back. Have you changed your mind about helping out?
AAD00100116	First Recon is a top-notch unit. They're always buying sniper rifles from us.
AAD00100117	That Eyebot looks like it's gone through hell.
AAD00100118	I had no idea there was such a thing as a friendly Nightkin. Look at that thing.
AAD00100119	I've never seen a dog like that. Who thinks up these things?
AAD00100120	Have you seen what one of those anti-materiel rifles can do to a Deathclaw?
AAD00100121	Demand for Gun Runner weapons is high, so don't expect them to stay in stock for very long.
AAD00100122	Well, well, it looks like we've cleared them out, damn inbred mutant freaks. Think I'll start heading back to California now.
AAD00100123	There have been way too many catastrophic NCR foul-ups around here for me to risk my life by sticking around.
AAD00100124	You'll get the hang of that takedown. I had trouble learning it at first, too.
AAD00100125	What's new?
AAD00100126	Find anything?
AAD00100127	Good thing none of those rockets crashed into Novac.
AAD00100128	I don't remember getting informed about any new transfers to this post.
AAD00100129	This is a military post. You sure you're in the right place?
AAD00100130	Is there something you need from me?
AAD00100131	You hear some crumb tried to kill the president of the NCR? Gutsy, baby. Real gutsy.
AAD00100132	Don't get too close to Mr. Benny.
AAD00100133	No sudden moves around the boss, got it?
AAD00100134	I got my eye on you, so no funny business.
AAD00100135	Keep those hands where I can see 'em.
AAD00100136	I thought Benny was a stand up guy - hard to believe he was a fink all along.
AAD00100137	You hear some crazy crumb killed the president of the NCR? Gutsy, baby. Real gutsy.
AAD00100138	Baby, you couldn't pay me enough to step off the Strip these days. Legion cats are out there thick as fleas on a dog, and they ain't no bums, neither.
AAD00100139	House selling out to the NCR? Who woulda figured him for a fink?
AAD00100140	No run-ins with the Great Khans, I hope? They've been more restless than usual.
AAD00100141	This area isn't safe for civilians. You don't want to get caught by the Great Khans.
AAD00100142	Player wipes out Legion at Nelson
AAD00100143	Player wipes out NCR at Forlorn Hope
AAD00100144	Player wipes out both locations
AAD00100145	1st Recon transferred to Forlorn Hope
AAD00100146	Ranger Station Charlie
AAD00100147	Boulder City Khans killed by NCR
AAD00100148	Player killed Boulder City Khans
AAD00100149	The Khans escaped alive
AAD00100150	Primm led by new Sheriff
AAD00100151	Primm accepts NCR rule
AAD00100152	Legion's dogs killed
AAD00100153	Rumors of Black Armor Rangers coming
AAD00100154	Black Armor Rangers arrive
AAD00100155	Legion Veterans arrive
AAD00100156	Player has made a splash on the Strip
AAD00100157	Middle Game has begun
AAD00100158	Late game has begun
AAD00100159	Battle for Hoover dam available
AAD00100160	Player won Battle for Hoover Dam
AAD00100161	Player won Battle for Hoover Dam, for the NCR
AAD00100162	Player won Battle for Hoover Dam, for Caesar's Legion
AAD00100163	Player won Battle for Hoover Dam, for Mr. House
AAD00100164	Player won Battle for Hoover Dam, for Independent Vegas with Securitrons
AAD00100165	Player assaulted The Tops Casino.
AAD00100166	Player killed Benny at The Tops.
AAD00100167	Player caused Benny to flee the Strip.
AAD00100168	Player survived Benny's ambush.
AAD00100169	Player foiled RACKET.
AAD00100170	Player enters Lucky 38.
AAD00100171	Securitrons on the Strip upgraded.
AAD00100172	Mr. House unplugged.
AAD00100173	Mr. House killed.
AAD00100174	Player has Mark of Caesar.
AAD00100175	Caesar cured.
AAD00100176	Player known to have killed Caesar.
AAD00100177	Caesar dies during operation.
AAD00100178	Caesar killed by lieutenants.
AAD00100179	Player upgraded Securitron Army.
AAD00100180	Player destroyed Securitron Army.
AAD00100181	Monorail at McCarran destroyed, no NCR troops on Strip for 3 days
AAD00100182	Monorail at McCarran destroyed, NCR troops start visiting again
AAD00100183	Player frees Silas from McCarran
AAD00100184	Player saves President Kimball
AAD00100185	Player fails to kill President Kimball
AAD00100186	Player kills President Kimball
AAD00100187	President Kimball assassinated (player not a suspect)
AAD00100188	Chief Hanlon dead, treason unexposed
AAD00100189	Chief Hanlon dead, treason exposed
AAD00100190	Motor-Runner killed
AAD00100191	Fiend bosses killed
AAD00100192	Legion attacks Bitter Springs camp
AAD00100193	Great Khans join Caesar
AAD00100194	Great Khans sign treaty with NCR
AAD00100195	Great Khans leave the Mojave
AAD00100196	Great Khans wiped out
AAD00100197	Kings wiped out (probably by NCR)
AAD00100198	Kings resolve differences with NCR
AAD00100199	You're not a part of this post as far as I know. What do you want?
AAD00100200	You looking to join the Kings?
AAD00100201	Word on the street is that the leader of the Legion bought it. Too bad, someone was finally going to do something about all the NCR around here.
AAD00100202	You hear how Mr. House said "uncle?" Vegas is gonna join the NCR. So much for Freeside.
AAD00100203	Great, just when you think the NCR can't possibly sink their claws deeper, the town of Primm signs up to join the Republic.
AAD00100204	Hey, isn't that the King's dog?
AAD00100205	Heya Rex, how you doing boy?
AAD00100206	I see you've hired a Follower doctor. Smart move, Freeside being what it is.
AAD00100207	That friend of yours NCR? He looks like he's NCR.
AAD00100208	Hellooo, cowgirl! You mind if I talk to your lady friend a bit instead of you?
AAD00100209	Huh. Nice robot. You with the Followers or something?
