﻿HNVSASecuritronMk2Buff_0100C585#SPEL:FULL#8ef658fc2a174efdc5cb9f62ea7548e4,Securitron Mk 2,电子保安 Mk 2
HNVSAMonorailPassMISC_01003049#MISC:FULL#016ab19be7b6bf3f0e531d01572b6eb2,Monorail VIP Pass,单轨电车VIP通行证
Lucky38CasinoFloor01_0010D512#CELL:FULL#374bf9dbc1715c1376da2ed15dff8660,Lucky 38 Casino,幸运38赌场
FreesideWorld_0010BEEA#WRLD:FULL#0673adbfdfed4650ae97a321a30ec640,Freeside,自由之城
TheStripWorldNew_0013B308#WRLD:FULL#c243a7753521da7719cd77b75a3d6ee6,The Strip,长街
Lucky38World_0016D714#WRLD:FULL#cc1ad2269895d13790adcb7b0215b2cd,Lucky 38,幸运38
GREETING_000000C8#DIAL:FULL#c28968f70af835e9836ce6924af17984,GREETING,问好
GREETING_00165102#INFO:NAM1#a93536bbe01a913c00f5a0ab3122939f,"Congratulations, pardner! The boss has instructed me to comp you to the High-Roller Suite!",祝贺你，伙计！老板已经跟我打过招呼了，你可以免费入住高档套房！
GREETING_00165102#INFO:NAM1#47526656533a89533eaf38991e056b8a,"You can bring your friends, too! Be like a little clubhouse for the gang you put together!",你也可以带你的朋友来！就把它当成你们的小型聚会场所吧！
GREETING_00165102#INFO:NAM1#8f8232f21aff7ea6bd45397450446c2d,"Just bear in mind, you're the only one gets to see the boss! Any friends you got, they can wait in the suite.",但是记住，只有你可以见老板！如果你带朋友来，可以让他们先在房间里等。
GREETING_00165102#INFO:NAM1#dc657828e6f7ca0d054cc91b60b4d35b,"Enjoy the digs, pardner! They're plenty fancy!",好好享受吧，伙计！这套房绝对够梦幻！
GREETING_0016510D#INFO:NAM1#150dc708b47e0abdc0217bc06c5e17e9,{attacking player who has betrayed House}You low-down snake! I wish {Ida}I'd have left you in the ground to rot!,{attacking player who has betrayed House}你这条卑鄙的毒蛇！我当初就该让你烂在土里！
GREETING_0016510D#INFO:NAM1#ee4a8a1e61ad7fd979a9ae198b5c0f8b,{starting attack}Draw!,{starting attack}掏枪吧！
GREETING_00119777#INFO:NAM1#5bb9ee4978098d6b49cf0c8c54d672da,Submit to a credit check or present your passport before proceeding to the gate. Trespassers will be shot.,请缴纳保证金，或出示通行证，非法闯入者将被击毙。
VMS08ColonelHsuTopic022_000EFB6A#DIAL:FULL#d7143f9917ddd73a30842cabadb638e6,It was Curtis. He's in the Legion. I can prove he tried to blow up the monorail.,是柯蒂斯干的。他是军团的人。我能证明他企图炸毁列车。
VMS08ColonelHsuTopic022_000EFB6C#INFO:NAM1#5334af19f2b19a3b9afbd2fa265fedcf,Curtis? He's been in the NCR long before our conflict with the Legion. There's just no way...,柯蒂斯？他在我们和军团发生冲突以前就加入NCR了呀。这不可能……
VMS08ColonelHsuTopic022_000EFB6C#INFO:NAM1#df1ac3d81ceb4d2f40b86d195c9ff353,"I hope you're mistaken, but somehow I don't think so. It'd explain a lot. This is much worse than anyone expected. There could be others, too.",希望是你搞错了，但我又总觉得不是。因为这样很多事情就说得通了。看来情况比料想的还糟。我们之中可能还有更多像柯蒂斯这样的人。
VMS08ColonelHsuTopic022_000EFB6C#INFO:NAM1#9bbd97984a1b3f6597c2350da2c09603,"You've done everything that was asked of you. You have my personal thanks for this, and I'll make sure you receive the credit you deserve.",你完成了我交给你的所有任务。我代表自己由衷地向你表示感谢，我也保证你一定会得到相应的奖励。
FSRotfaceGiveCap_0010E028#DIAL:FULL#203c9a6f13d6882aad993f62df95f5fe,"Sure, here you go.",当然，给你。
FSRotfaceGiveCap_00154792#INFO:NAM1#4c59be08590e8c24b8fc50595d002b06,"Have you been to Mick & Ralph's yet? They run a store just down the street, and sell some things you might not expect.",你去过米克与拉尔夫的杂货店吗？他们在街那边经营一家商店，卖一些你想都想不到的东西。
VFreeformFreesideVFSRalphTopic013_00115CBB#DIAL:FULL#0d775bc29cd0707935d180d9d43bca69,No way your materials and expenses require that. How about half?,材料和成本不可能要这么多钱。一半怎么样？
