CTM00000001	$1的控制者是$2
CTM00000002	军需官
CTM00000003	购买装备
CTM00000004	修理装备
CTM00000005	离开
CTM00000006	[%]塔台
CTM00000007	[%]办公室
CTM00000008	[%]仓库
CTM00000009	[%]驻站，一楼
CTM00000010	[%]驻站，二楼
CTM00000011	重命名尼尔的棚屋
CTM00000012	尼尔的棚屋
CTM00000013	[%]营房
CTM00000014	[%]酒吧
CTM00000015	[%]杂货店
CTM00000016	[%]房屋
CTM00000017	[%]居民
CTM00000018	[%]农夫
CTM00000019	地堡的这一区域正在封锁中。[CRLF][CRLF]指挥官终端发出危机解除的信号后这道门就会打开。
CTM00000020	厨房
CTM00000021	是否花费[%]解锁厨房？
CTM00000022	NCR元
CTM00000023	军团银币
CTM00000024	地堡大门已解锁！
CTM00000025	这道门被封锁得很严。
CTM00000026	地堡大门控制面板
CTM00000027	要进入地堡，你必须拥有陆军部通行证。[CRLF][CRLF]如果你的科学技能足够高，你可以尝试绕过面板的安全程序。
CTM00000028	尝试绕过安全锁[CRLF]（需要70以上的科学）
CTM00000029	你的科学技能不够。
CTM00000030	什么也不做
CTM00000031	让维罗妮卡帮忙解锁
CTM00000032	[%] - 入口
CTM00000033	地堡的危机解除信号已经发出。[CRLF][CRLF][%] 将作为你未来行动的指挥部。[CRLF][CRLF]探索废土，你将发现各种可以由[%]宣称的新地点。你可以使用这个终端投资地点、派遣占领部队。[CRLF][CRLF]你准备好帮助[%]确立在莫哈维的地位了吗？
CTM00000034	医生
CTM00000035	= 体征 =
CTM00000036	[CRLF]生命： [%]
CTM00000037	[CRLF]残疾的肢体： [%]
CTM00000038	[CRLF]辐射：[%]
CTM00000039	[CRLF]有成瘾
CTM00000040	[CRLF]没有成瘾
CTM00000041	[CRLF][CRLF]体征一切正常。
CTM00000042	治疗伤口
CTM00000043	治疗辐射
CTM00000044	治疗成瘾
CTM00000045	治疗疾病
CTM00000046	治疗小队成员
CTM00000047	购买医疗补给
CTM00000048	[%] - 访客中心
CTM00000049	[%] - 管理处
CTM00000050	[%] - 监狱
CTM00000051	[%] - 营房
CTM00000052	[%]NCR元已移除。
CTM00000053	[%]军团银币已移除。
CTM00000054	宣称地堡
CTM00000055	"	你可以将这个地堡交给任何争夺莫哈维控制权的派系。[CRLF][CRLF]"
CTM00000056	" 	当然，主要的三方势力是：新加州共和国、凯撒军团和豪斯先生。"
CTM00000057	 你也可以宣称一个独立的新维加斯。如果你选择这样，你可以将地堡留给自己，或者交给莫哈维的某个较小派系（钢铁兄弟会、天启追随者等）。
CTM00000058	"[CRLF]	宣称这座地堡后，它就将成为你在莫哈维未来计划的指挥中心。"
CTM00000059	新加州共和国
CTM00000060	你必须被新加州共和国[%]喜爱[%]才能代表他们宣称地堡。 
CTM00000061	凯撒军团
CTM00000062	你必须被凯撒军团[%]喜爱[%]才能代表他们宣称地堡。 
CTM00000063	豪斯先生
CTM00000064	你已和豪斯先生为敌，不能为他宣称地堡。
CTM00000065	你必须先为豪斯先生升级他的电子保安军队，才能以他之名宣称地堡。
CTM00000066	一个独立的维加斯
CTM00000067	你需要先掌控幸运38才能开始打造一个独立的维加斯。
CTM00000068	宣称地堡：NCR
CTM00000069	你可以选择是为NCR陆军部还是游骑兵部宣称地堡。[CRLF][CRLF]如果你为陆军部宣称地堡，地堡以及今后占领的地点将有陆军和游骑兵的混合部队驻守。
CTM00000070	[CRLF][CRLF]如果你选择为游骑兵部宣称地堡，那驻守部队将是纯游骑兵。
CTM00000071	陆军部
CTM00000072	游骑兵部
CTM00000073	返回
CTM00000074	为[%]宣称地堡？
CTM00000075	"你确定要为[%]宣称地堡吗？[CRLF][CRLF]		这个决定是永久性的。"
CTM00000076	 （如果你之后改变主意要选择其它的派系，不要直接读档，务必先完全退出游戏，否则将发生脚本错误。)
CTM00000077	确认
CTM00000078	为地堡命名
CTM00000079	为你的死亡爪氏族命名：
CTM00000080	为你的沙漠游骑兵派系命名：
CTM00000081	为你的英克雷派系命名：
CTM00000082	为你的派系命名：
CTM00000083	新维加斯自由经济区
CTM00000084	为独立的维加斯命名：
CTM00000085	猫王帮机械师
CTM00000086	为你的鼹鼠派系命名：
CTM00000087	主脑之子
CTM00000088	为你的机器人派系命名：
CTM00000089	超级变种人仆役
CTM00000090	为你的超级变种人派系命名：
CTM00000091	为你的研究机构命名：
CTM00000092	派系关系
CTM00000093	你可以从这个菜单决定[%]如何与其他派系互动，是敌对还是帮助其战斗。[CRLF][CRLF]
CTM00000094	这不会影响这些阵营对你个人的态度。
CTM00000095	[CRLF]（敌对）
CTM00000096	[CRLF]（盟友）
CTM00000097	[CRLF]（中立）
CTM00000098	莫哈维兄弟会
CTM00000099	莫哈维兄弟会
CTM00000100	钢铁兄弟会
CTM00000101	天启追随者
CTM00000102	天启追随者
CTM00000103	大汗帮
CTM00000104	猫王帮
CTM00000105	与[%]的关系
CTM00000106	[%]与[%]当前的关系：
CTM00000107	[CRLF][CRLF]要改变现状吗？
CTM00000108	改为敌对
CTM00000109	[%]和[%]现在是敌人了
CTM00000110	改为盟友
CTM00000111	[%]和[%]现在是盟友了
CTM00000112	改为中立
CTM00000113	[%]和[%]现在互不侵犯了
CTM00000114	地图标记选项
CTM00000115	你可以从这个菜单设置当你快速旅行到[%]时的落点。
CTM00000116	[CRLF][CRLF]（在指挥官区内也可以快速旅行。）
CTM00000117	地堡外
CTM00000118	快速旅行到[%]将到达地堡外。
CTM00000119	地堡内
CTM00000120	快速旅行到[%]将到达地堡内。
CTM00000121	指挥官区
CTM00000122	快速旅行到[%]将到达指挥官区。
CTM00000123	===== 指挥终端 =====
CTM00000124	欢迎， [CRLF] [%]
CTM00000125	[CRLF][CRLF]日期：[%]/[%]/[%]
CTM00000126	[%]当前·时间：
CTM00000127	[CRLF][CRLF]NCR元：
CTM00000128	[CRLF][CRLF]军团银币：
CTM00000129	[CRLF][CRLF]瓶盖：
CTM00000130	[CRLF]周收入： [%] [%]
CTM00000131	投资菜单
CTM00000132	（[%]可用）
CTM00000133	决议
CTM00000134	重命名地点
CTM00000135	派系关系
CTM00000136	侦查
CTM00000137	幸运38指挥终端
CTM00000138	一个指挥官终端已加入幸运38套房。
CTM00000139	[%]不足！
CTM00000140	花费[%] [%]可以为你在幸运38套房添加一个指挥终端，让你在套房而不是地堡工作。[CRLF][CRLF]指挥官终端会替换主卧室桌上的终端。
CTM00000141	购买
CTM00000142	链接到城堡的里昂斯指挥终端
CTM00000143	为地堡购买一个小队招募板[CRLF]（800瓶盖）
CTM00000144	一个小队招募板已被添加至地堡。
CTM00000145	瓶盖不足！
CTM00000146	为地堡购买一个小队终端[CRLF]（800瓶盖）
CTM00000147	一个小队终端已被添加至地堡。
CTM00000148	=黑山=
CTM00000149	[CRLF]花费：[%]
CTM00000150	[CRLF][CRLF]塔比瑟被排除后，[%]可以进驻并确保广播塔。[CRLF][CRLF]占领整座山需要大量的人力物力。
CTM00000151	投资
CTM00000152	重命名黑山
CTM00000153	[CRLF][CRLF]（你没有足够的[%]来投资这个地点！）
CTM00000154	== 决议 ==
CTM00000155	15号公路巡逻
CTM00000156	95号公路巡逻
CTM00000157	北莫哈维定居者
CTM00000158	和莫哈维兄弟会签订条约
CTM00000159	将[%]移交给莫哈维兄弟会
CTM00000160	邀请兄弟会到[%]
CTM00000161	在大山脉与兄弟会合作
CTM00000162	邀请兄弟会到大山脉
CTM00000163	和天启追随者签订条约
CTM00000164	将[%]移交给天启追随者
CTM00000165	允许天启追随者进入[%]
CTM00000166	邀请天启追随者到大山脉
CTM00000167	邀请天启追随者到[%]
CTM00000168	派天启追随者去雅各布斯镇帮助夜行族研究
CTM00000169	派天启追随者到疯人院
CTM00000170	实施豪斯先生的重建计划
CTM00000171	与NCR签订条约
CTM00000172	摧毁雅各布斯镇
CTM00000173	逮捕英克雷残存者
CTM00000174	沙漠游骑兵起义
CTM00000175	将[%]移交给沙漠游骑兵
CTM00000176	派沙漠游骑兵到[%]
CTM00000177	[CRLF][CRLF]目前没有可用决议。
CTM00000178	=将[%]移交给莫哈维兄弟会=
CTM00000179	[%]曾经属于钢铁兄弟会。也许我们应该交还给他们。
CTM00000180	移交地堡
CTM00000181	[%]正在莫哈维兄弟会的控制下。
CTM00000182	保留地堡
CTM00000183	[%]仍在[%]的控制下。
CTM00000184	如今沿95号公路巡逻的兄弟会需要一个用于休息并维护动力甲的地点。我们可以把老埃尔·多拉多加油站给他们。
CTM00000185	[CRLF][CRLF] 我们可以将整个哨站都移交给兄弟会，或者在保持控制的情况下让圣骑士协防。
CTM00000186	[CRLF][CRLF] 即便你移交哨站，你仍然可以使用那里的补给箱。
CTM00000187	移交哨站
CTM00000188	巩固哨站
CTM00000189	圣骑士和骑士们已抵达[%]以巩固我们的力量。
CTM00000190	保留哨站
CTM00000191	鉴于其分部已经解除了封锁，兄弟会已经开始沿着15号高速公路巡逻。如果我们愿意移交，[%]将成为他们的一个良好的哨站。
CTM00000192	[CRLF][CRLF] 除了移交整个哨站，我们也可以在保持控制的情况下让圣骑士协防。
CTM00000193	[CRLF][CRLF]即便你移交哨站，你仍然可以使用那里的补给箱。
CTM00000194	[CRLF][CRLF]我们可以邀请兄弟会的学士们帮助我们修理大山脉顶端的无线电装备。[CRLF][CRLF]我们也可以将整个设施都移交给兄弟会并从大山脉撤出。
CTM00000195	邀请兄弟会
CTM00000196	隐秘山谷的学士和圣骑士们已经抵达了[%]。
CTM00000197	向兄弟会移交控制
CTM00000198	[%]正在钢铁兄弟会的控制下。
CTM00000199	[CRLF][CRLF]（你没有足够的[%]！）
CTM00000200	取消邀请
CTM00000201	取消邀请兄弟会。[%]仍由[%]完全控制。
CTM00000202	=兄弟会增援[%]=
CTM00000203	[CRLF][CRLF][%]坐落在莫哈维的十字路口。兄弟会的动力甲单位增援将帮助[%]防守这个节点。[CRLF][CRLF]或者，我们可以·把这个哨站完全移交给兄弟会。
CTM00000204	兄弟会士兵增援
CTM00000205	兄弟会增援已抵达[%]。
CTM00000206	不要增援
CTM00000207	[%]将由[%]完全掌握。
CTM00000208	[CRLF][CRLF]许多人都称钢铁兄弟会为[%]恋技术癖[%]，但不可否认的是，很少有人比马克森的后代更精通技术。[CRLF][CRLF]也许他们的学士可以被邀请到老瑞普康设施来协助研究战前火箭。[CRLF][CRLF]或者，我们可以把设施的控制完全移交给钢铁兄弟会。
CTM00000209	取消邀请兄弟会协助研究。[%]仍完全在[%]的控制下。
CTM00000210	兄弟会已经在15号公路上巡逻。我们可以提供[%]给他们的圣骑士作哨站。
CTM00000211	[CRLF][CRLF]即便你移交地点，你仍然可以使用那里的补给箱。
CTM00000212	随着我们确保更多的大山脉研究设施，你可以决定是否将它们移交给钢铁兄弟会。
CTM00000213	移交
CTM00000214	保留
CTM00000215	[%]把守着通往隐秘山谷地堡集群的路。作为善意的体现，[%]可以把哨站移交给莫哈维兄弟会。
CTM00000216	[%]可被移交给莫哈维兄弟会，让莫哈维分部更好地辅助[%]对15号公路的巡逻。
CTM00000217	=在大山脉与兄弟会合作=
CTM00000218	=邀请兄弟会到大山脉=
CTM00000219	[CRLF][CRLF] 大山脉埋藏着很多秘密，兄弟会的学士们可以帮助破解。[CRLF][CRLF]但是我们能放心把大山脉的科技托付给兄弟会吗？
CTM00000220	[CRLF][CRLF] 兄弟会已经逃离莫哈维并在大空洞里建立了庇护所。比起交战，也许[%]该和他们合作重建研究设施。
CTM00000221	与兄弟会合作
CTM00000222	邀请兄弟会
CTM00000223	学士和圣骑士们已抵达[%]。[CRLF][CRLF]随着对各区域的确保，你可以深化和兄弟会在大山脉的合作。
CTM00000224	大山脉的秘密只属于[%]。
CTM00000225	=和莫哈维兄弟会签订条约=
CTM00000226	[CRLF][CRLF]尽管多年来一直存在敌意，但NCR和钢铁兄弟会莫哈维分部目前处于脆弱但仍在维持的停火中。一项正式条约可以让麦卡伦营地和隐秘山谷更紧密地合作，不过沙荫镇的许多人认为停火本身就已经很过了。
CTM00000227	钢铁兄弟会已从他们的孤立中走出来，重新成为角逐莫哈维的一员。尽管性格尖锐，但该分部可能是一个有用的合作伙伴。[CRLF][CRLF]你比隐秘山谷外的任何人都更了解莫哈维兄弟会。[%]该和兄弟会签订条约，建立正式联盟吗？
CTM00000228	签订条约
CTM00000229	莫哈维兄弟会和[%]已建立了条约基础上的友谊。两者未来的合作已成为可能。
CTM00000230	不签订条约
CTM00000231	NCR-兄弟会仍持续停火，但是不会签订条约。
CTM00000232	莫哈维分部和[%]的关系仍保持友好，但不签订任何条约。
CTM00000233	我们可以把这个前毒蛇帮营地交给兄弟会，以T加强他们在95号公路的存在，并支持他们在州际公路上新组建的巡逻队。
CTM00000234	=货币兑换=
CTM00000235	[CRLF][CRLF]由于兄弟会对加州黄金储备的袭击、并被逐利的商人们抛弃，NCR元已强劲不再。伟大的瓶盖再度成为流行的货币，甚至军方也依赖瓶盖支持其在莫哈维的行动。
CTM00000236	[CRLF][CRLF]早晚整个废土都将使用凯撒的硬币，而不是瓶盖和废纸来做交易。在那之前，军团必须把它全部的经济力量都用于对莫哈维的征服。
