CTM00000001	Command Terminal
CTM00000002	Greetings,
CTM00000003	Date:
CTM00000004	Current Time:
CTM00000005	Investment Menu
CTM00000006	Avaliable
CTM00000007	Mojave Patrols
CTM00000008	Rename Locations
CTM00000009	Faction Relations
CTM00000010	Reconnaissance
CTM00000011	Lucky 38 Command Terminal
CTM00000012	A Commander's Terminal has been added to the Lucky 38 suite.
CTM00000013	Not enough caps!
CTM00000014	For 500 caps, you can add a Commander's Terminal to your Lucky 38 Suite allowing you to work there rather than here in the bunker.
CTM00000015	The Commander's Terminal will replace the terminal on the desk in the master bedroom.
CTM00000016	Purchase
CTM00000017	Back
CTM00000018	Connect to Castle Lyon's Command Terminal
CTM00000019	Purchase a Squad Board for the Bunker
CTM00000020	A squad board has been added to the bunker.
CTM00000021	A Squad Terminal has been added to the bunker.
CTM00000022	Map Marker Options
CTM00000023	Mojave Investments
CTM00000024	There are currently no Investments available.
CTM00000025	Cost:
CTM00000026	The station is currently being used by Jackal gang members to harrass travelers on the I-15, but they can easily be dealt with. Once the station is occupied, [%] will be able to keep a close eye on traffic moving in and out of the Mojave Outpost.
CTM00000027	Once the station is occupied,
CTM00000028	will be able to keep a close eye on traffic moving in and out of the Mojave Outpost.
CTM00000029	Invest
CTM00000030	Rename the Station
CTM00000031	You do not have enough caps to invest in this location!
CTM00000032	[%] is now under the control of [%].
CTM00000033	In a very literal sense, power is the prize of the Mojave. While the energy outpost of this small wind farm is almost nothing compared to Helios One or the Hoover Dam, it is still another valuable source of power that should be secured by [%].
CTM00000034	Rename the Wind Farm
CTM00000035	This old ranch can be put to good use raising brahmin and growing crops for the benefit of [%].
CTM00000036	The Wind Brahmin will need to be relocated of course.
CTM00000037	Rename the Ranch
CTM00000038	With the Jackals dead, the Prospectors have returned to the Den. They may be interested in protection from [%] to prevent future gang attacks.
CTM00000039	Rename the Den
CTM00000040	To claim this bunker for an Independent New Vegas, you will need to determine if you want to keep this bunker for yourself and Yes Man, or reach out to one of the smaller factions found in the wasteland such as the Brotherhood of Steel or the Followers of the Apocalypse.
CTM00000041	[CRLF][CRLF]If you want to go it alone in taking over the Mojave, you'll need to have upgraded the Securitron army and activated the Securitrons army under the Fort.
CTM00000042	[CRLF][CRLF]If the Securitrons have not been upgraded, you will need the help of another faction to take over the Mojave. It is also up to you whether you want to work with another faction regardless.
CTM00000043	Yes Man and the Securitron Army
CTM00000044	an Independent New Vegas
