TIH00000001	恰斯摇头娃娃
TIH00000002	奴隶项圈
TIH00000003	英克雷金条
TIH00000004	海斯廷斯的手指
TIH00000005	封口信件
TIH00000006	奴隶贩卖日志
TIH00000007	销售日志
TIH00000008	恰斯格言
TIH00000009	乔.塞拉斯
TIH00000010	布拉德利
TIH00000011	恶魔帮
TIH00000012	恶魔帮
TIH00000013	阿斯特罗
TIH00000014	马蒂诺
TIH00000015	史摩基
TIH00000016	恶魔帮
TIH00000017	恶魔帮
TIH00000018	舒尔金
TIH00000019	恶魔帮
TIH00000020	恶魔帮
TIH00000021	恶魔帮
TIH00000022	乔.塞拉斯
TIH00000023	霍金斯
TIH00000024	雇佣兵
TIH00000025	吉玛
TIH00000026	恶魔帮黑客
TIH00000027	海斯廷斯
TIH00000028	托尼.切斯
TIH00000029	沃恩
TIH00000030	辛迪加暴徒
TIH00000031	辛迪加暴徒
TIH00000032	辛迪加暴徒
TIH00000033	辛迪加暴徒
TIH00000034	辛迪加暴徒
TIH00000035	大皮特
TIH00000036	恶魔帮
TIH00000037	恶魔帮
TIH00000038	恶魔帮首领
TIH00000039	邮差
TIH00000040	雇佣兵
TIH00000041	掠夺者
TIH00000042	盲流
TIH00000043	赏金猎人
TIH00000044	自由城暴徒头目
TIH00000045	自由城暴徒
TIH00000046	菲利克斯.科特斯
TIH00000047	辛迪加暴徒
TIH00000048	辛迪加暴徒
TIH00000049	海因茨
TIH00000050	基斯.贝基
TIH00000051	邮差
TIH00000052	切斯特
TIH00000053	恶魔帮
TIH00000054	基斯.贝基
TIH00000055	保利.阿门兹
TIH00000056	辛迪加暴徒
TIH00000057	邮差
TIH00000058	以斯帖
TIH00000059	雇佣兵
TIH00000060	毒蛇帮拍卖师
TIH00000061	奴隶贩子
TIH00000062	恰普斯
TIH00000063	毒蛇帮
TIH00000064	毒蛇帮
TIH00000065	毒蛇帮首领
TIH00000066	奴隶小孩
TIH00000067	奴隶小孩
TIH00000068	塞维鲁
TIH00000069	军团斥候
TIH00000070	恶魔帮
TIH00000071	切斯特
TIH00000072	恶魔帮
TIH00000073	西区市民
TIH00000074	恶魔帮
TIH00000075	恶魔帮首领
TIH00000076	詹姆斯.安德森
TIH00000077	简.安德森
TIH00000078	比利.安德森
TIH00000079	贝蒂.安德森
TIH00000080	罗伯特.安德森
TIH00000081	商队成员
TIH00000082	商队成员
TIH00000083	废土游民
TIH00000084	恶魔帮
TIH00000085	奴隶
TIH00000086	毒蛇帮头领
TIH00000087	罗尼
TIH00000088	商队成员
TIH00000089	商队成员
TIH00000090	商队成员
TIH00000091	商队成员
TIH00000092	商队成员
TIH00000093	贝蒂.安德森
TIH00000094	詹姆斯.安德森
TIH00000095	简.安德森
TIH00000096	废土游民
TIH00000097	毒蛇帮队长
TIH00000098	邮差
TIH00000099	格兰特
TIH00000100	凯迪
TIH00000101	巴基
TIH00000102	诺瓦克的流浪者
TIH00000103	天启追随者医生
TIH00000104	巴基
TIH00000105	巴基
TIH00000106	洛克斯坦博士
TIH00000107	NCR医生
TIH00000108	游骑兵博蒙特
TIH00000109	邮差
TIH00000110	凯斯特勒
TIH00000111	NCR游骑兵
TIH00000112	军团新兵
TIH00000113	NCR突击兵
TIH00000114	NCR突击兵
TIH00000115	NCR突击兵
TIH00000116	军团铁匠
TIH00000117	军团铁匠
TIH00000118	军团老兵
TIH00000119	军团壮年兵
TIH00000120	军团壮年兵
TIH00000121	卡斯特
TIH00000122	波利克斯
TIH00000123	军团斥候
TIH00000124	死去的奴隶
TIH00000125	NCR突击兵
TIH00000126	军团新兵
TIH00000127	军团壮年兵
TIH00000128	军团老兵
