GID00086201	RobcOS v.85
GID00086202	(C)2076 Robco 
GID00086203	========================
GID00086204	| 用户日志:
GID00086205	| >> 管理员 (RobcoID 2398-H)  
GID00086206	| >> 默认目标参数:
GID00086207	| >>> 避难所科技_用户组
GID00086208	========================
GID00086209	笔记
GID00086210	我们走了，你不能把我们变成你的实验僵尸。你真以为我们会信生物战的鬼话吗 ? 我们将在外面碰碰运气。
GID00086211	PS:感谢监督提供的所有生存装备
GID00086212	伯吉斯的黑板笔记
GID00086213	地上小屋入口
GID00086214	1. 沿着火车隧道往下走 - 之前找不到，也许他们已经清理了一些残骸，他们有足够的时间。
GID00086215	2. 变电站?隧道入口上面有一栋被毁的建筑，也许就在下面。
GID00086216	3.火车隧道里的综合竖井?我以为那只是通风口。
GID00086217	4. 也许是另一个入口，湖水在某处流淌，一个水下洞穴?
GID00086218	追踪日志17/43：芬特医生的工作笔记
GID00086219	其中一名囚犯提出用他的一些朋友作为交易的一部分。我觉得这很好，所以由于我似乎一直在丢失东西，我决定把他关在一个盒子里，以防他再想出另一个好交易。
GID00086220	作为一种善意的表示，我也会把他的手臂还给他的朋友。好吧，另一只手臂，因为我吃了一只。幸运的是，我有很多备用的。
GID00086221	接上一只手臂需要精细的显微手术，所以我用了我最好的喷灯，尽管病人似乎反对。考虑到他的反对意见，我同意我们应该进行全面升级，配备一个额外的手臂和动力转向系统，我也有一个备用的内燃机。我想他是同意的，从我给他看的时候他脸上的表情就能看出来。他只是问我要把它放在哪里，我就告诉了他。
GID00086222	手术开始时并不顺利，因为我找不到他的齿轮箱，尽管我翻了个遍。在这之后，我决定给病人局部麻醉。我知道电池酸液会有用的。
GID00086223	我想知道我能不能找到一些白壁轮胎?那会让他高兴起来的。
GID00086224	记录姓名
GID00086225	文本
GID00086226	警告说明
GID00086227	告诉杰瑞，如果他愿意，他可以把他的宝贝机器人放在蓄水池里。只要确保没有人关闭瀑布，因为水位很高，几秒钟内就会填满，而且我想它们应该不是两栖的。
GID00086228	笔记
GID00086229	不要担心机器人。
GID00086230	我锁上了闸门控制装置，这样它们就不会被意外操作打开闸门，打开出口，关闭蓄水池。蓄水池进水的唯一方法是有人操作紧急超压阀，所以情况正好相反。哪个白痴会这么做?反正我把门锁上了。
GID00086231	笔记
GID00086232	生意似乎在好转。我过去只得到一些掠夺者和奇怪的淘金客，但最近我有一些NCR，相当多的毒蛇帮，而且看起来在餐馆里还有另一伙人。
GID00086233	我会挑一个看起来很好吃的，如果我不小心的话，我就要开始发胖了!
GID00086234	我明天黎明就去等这群人，我昨晚没能把他们都赶出来，我得确认一下他们是不是和安琪儿在一起，但我确实看到一男一女在开枪，我看他们像掠夺者。应该很容易对付。我得把烤箱开着。
GID00086235	物资
GID00086236	我得再做些我特制的肉馅饼。安琪儿很快就会过来，我需要和她交换一些弹药。显然这条路上有一群掠夺者，他们很喜欢我做的菜，正好有更多的食材出现了。
GID00086237	66号避难所安全主管个人日志04
GID00086238	2101
GID00086239	我们有了个计划。我们有一条出路，已经挖出了一些有关政府设施的信息，这些设施被称为“地上小屋”，可能正好符合我们的需要。
GID00086240	伯吉斯日记 1 - 似曾相识 
GID00086241	从没想过我还会回来。
GID00086242	我为NCR的大人物做了些调查，他们给能有成果又能守口如瓶的人付了很多钱。但当他们提到维加斯北部山区的一个避难所科技的避难所时......我的头发都会竖起来的，如果我有的话。
GID00086243	伯吉斯日记 2 - 维加斯研究 
GID00086244	我需要与时俱进，我从西区的一个流浪汉那里得到了一些信息。大多数人认为他只是一个拿着藏宝图的流浪汉，但我认为一些信息是可靠的。我打了他一巴掌，他就很乐意帮忙了。
GID00086245	我得回去，收集更多信息，做些调查。我还想解决另一个问题。
GID00086246	伯吉斯日记 4 - 地上小屋
GID00086247	地上小屋访问代码：
GID00086248	SD45-889G-00IU-323X
GID00086249	--------------------------------
GID00086250	6年前，我派本内特和他的三个跟班上去检查“地上小屋”。我知道他们到了那里，因为他们发回消息说现在有一个叫丽塔咖啡馆的地方建在那里，然后就没有了。如果他们回来了，我会知道的，我会在维加斯把他们接走。
GID00086251	该死的外行人，我就知道不该把密码给他们。
GID00086252	伯吉斯日记 3 - 发薪日
GID00086253	我把我得到的东西给了一个叫凯利的NCR小蜜蜂。他那伙人快乐的离开去赚钱了，不知道等待他们的是什么。我实话，我自己也不确定。
