KQD00000001	显示热键：K
KQD00000002	隐藏热键：K
KQD00000003	匍匐/潜行
KQD00000004	更改FOV
KQD00000005	鼠标滚轮
KQD00000006	左Ctrl
KQD00000007	左Shift
KQD00000008	鼠标右键
KQD00000009	游戏本体
KQD00000010	后退
KQD00000011	格挡/瞄准
KQD00000012	鼠标左键
KQD00000013	增强运动
KQD00000014	枪托攻击
KQD00000015	持枪姿势
KQD00000016	检视弹药
KQD00000017	右Ctrl+右Shift
KQD00000018	射击模式
KQD00000019	左[%]
KQD00000020	右[%]
KQD00000021	显示FPS
KQD00000022	侧身
KQD00000023	鼠标侧键
KQD00000024	鼠标[%]
KQD00000025	切换弹药
KQD00000026	双击[%]
KQD00000027	快速保存
KQD00000028	快速读档
KQD00000029	右Ctrl+回车
KQD00000030	武器配件
KQD00000031	检视武器
KQD00000032	机瞄控制
KQD00000033	快速投掷选择
KQD00000034	鼠标右键+右Shift
KQD00000035	光学
KQD00000036	快速投掷重置
