GID00100001	GREETING
GID00100002	Attack
GID00100003	Hit
GID00100004	AttackResponse
GID00100005	KnockedBack
GID00100006	Can you do anything with this old pump action shotgun?
GID00100007	<Barter 65>
GID00100008	Poke it tin can and get out of my way [Fight]
GID00100009	Are you serious? no trains have run here for over two hundred of years
GID00100010	Sure, here's one
GID00100011	I'm not working, I'm lost, I'll just go back the way I came, bye!
GID00100012	Apology accepted, can I go now?
GID00100013	Whatever
GID00100014	I'm just passing through, you too?
GID00100015	I’m just trying to get a lead on the road ahead, that’s all
GID00100016	I'm Local law enforcement, I've been asked to check out the area
GID00100017	Do you know if the roads are dangerous at all?
GID00100018	What sort of Work permit are we talking about here?
GID00100019	Did you not hear? The world and your precious railway were wiped out
GID00100020	I said there are no trains, no railways, nothing!
GID00100021	Listen, there are no railways, no permits, no rules. Its all been destroyed
GID00100022	Don't you get it? Its all gone!
GID00100023	You must have a fuse loose metal nose,  how about I just dig a hole and bury you
GID00100024	So where is your work permit? and is it in date?
GID00100025	I tried talking to Blu Ray, he wouldn't tell me shit unless I bought something
GID00100026	I’m prospecting, but not had much luck
GID00100027	You wouldn’t be willing to share any hints or advice at all?
GID00100028	I’ve heard some of rumour's of a vault in these parts
GID00100029	Thought maybe I should check them out
GID00100030	Is there anything around here worth looking at?
GID00100031	Are there many raider gangs around this area?
GID00100032	So why are you here then?
GID00100033	Just checking everything is OK, what your business?
GID00100034	I need to make sure there is no trouble here, that clear?
GID00100035	It's either me or the wasteland pal
GID00100036	Careful, you’ve no friends here and the only faction you are a member of is putrefaction
GID00100037	Listen you scabby fuck, decomposing is a serious offence here so you had better start cooperating
GID00100038	I’m not about to start a fight without good reason here so I’m going to walk away today
GID00100039	I think I’m wasting my time talking to you
GID00100040	This is a health and safety spot check. Please show your work permit and it had better be in date
GID00100041	No where, just looking around
GID00100042	[Fight] Just fuck off out of my way dick splash
GID00100043	Through that gate, is there some sort of tax involved here?
GID00100044	What are we talking? would 100 cover it?
GID00100045	There you go, here's your caps...
GID00100046	[Barter] You agreed too quickly, here is 20 and I won’t tell your CO you are skimming of the top
GID00100047	Well you are shit out of luck, I'm not paying
GID00100048	Relax, I just don’t have that money right now
GID00100049	ZkbDoddsTalk36
GID00100050	<Speech 65>
GID00100051	I’ll take my chances
GID00100052	[NCR] Relax trooper we are on the same side, how you doing?
GID00100053	So what's the other side of that gate?
GID00100054	Well, that's the way I'm going
GID00100055	[Terrifying Presence] Where ever I want, now make me happy and say 'over my dead body'
GID00100056	What happened?
GID00100057	Where’s my stuff?
GID00100058	Tell you what, let me out, give me my stuff back and you’ll never see me again
GID00100059	Let me out now or I’m going to kill the fucking lot of you
GID00100060	OK, I screwed up. Can we work a deal here?
GID00100061	I’m not interested
GID00100062	OK, I’m listening
GID00100063	More intelligent?
GID00100064	They are called spore carriers, I’ve seen them before.
