ZIO00000001	Pinhole
ZIO00000002	Vault616 Resident
ZIO00000003	Test Race
ZIO00000004	Photophobia Effect
ZIO00000005	Happy Hat
ZIO00000006	Webbing Blet
ZIO00000007	Camoflage Outfit
ZIO00000008	Sniper Hood
ZIO00000009	Carry Sack
ZIO00000010	Carry Sack
ZIO00000011	Crucifix
ZIO00000012	Navigation
ZIO00000013	Photophobia
ZIO00000014	Robot Shock
ZIO00000015	Thick Skinned
ZIO00000016	Random Encounter 1
ZIO00000017	Prisoner Notes
ZIO00000018	Read Note
ZIO00000019	Magazine Vending Machine
ZIO00000020	Mk I Auto-Doc
ZIO00000021	Gate Pressure Valve
ZIO00000022	Switch
ZIO00000023	Laser Tripwire
ZIO00000024	Switch
ZIO00000025	Activate Door
ZIO00000026	Electrical Switch
ZIO00000027	Activator
ZIO00000028	Laser Tripwire Emitter
ZIO00000029	Laser Tripwire
ZIO00000030	Laboratory Set
ZIO00000031	Note
ZIO00000032	Read Note
ZIO00000033	Radio
ZIO00000034	Laser Tripwire
ZIO00000035	Elevator Controls
ZIO00000036	Kill Box
ZIO00000037	Electrical Switch
ZIO00000038	Electrical Switch
ZIO00000039	Vault Door Control Pod
ZIO00000040	Switch
ZIO00000041	Activate Door
ZIO00000042	Read Note
ZIO00000043	Control Panel
ZIO00000044	Paper Note
ZIO00000045	Read Note
ZIO00000046	Paper Note
ZIO00000047	Read Note
ZIO00000048	Paper Note
ZIO00000049	Read Note
ZIO00000050	Purge Cell Buffers
ZIO00000051	Crossing Points Switch
ZIO00000052	Random Encounter 2
ZIO00000053	Random Encounter 3
ZIO00000054	Switch
ZIO00000055	Activate Door
ZIO00000056	Electrical Switch
ZIO00000057	Note
ZIO00000058	Read Note
ZIO00000059	Paper Note
ZIO00000060	Read Note
ZIO00000061	Paper Note
ZIO00000062	Read Note
ZIO00000063	Gate Pressure Valve
ZIO00000064	Lost Lives Memorial
ZIO00000065	Gate Pressure Valve
ZIO00000066	Switch
ZIO00000067	Activate Door
ZIO00000068	Electrical Switch
ZIO00000069	Tinder Box
ZIO00000070	Use Tinder Box
ZIO00000071	Photophobia Activator
ZIO00000072	Level 1 Enemy Activator
ZIO00000073	White Leg Ambush 01
ZIO00000074	Random Encounter 4
ZIO00000075	Scarf - Brown
ZIO00000076	Scarf - Red
ZIO00000077	Trail Armoured Outfit
ZIO00000078	Trail Merc Outfit
ZIO00000079	Happy Hat
ZIO00000080	Vault Officer Hat
ZIO00000081	VaultTec Overalls
ZIO00000082	Scarf - Merc
ZIO00000083	Trail Simple Outfit
ZIO00000084	Cut Off Trench Coat
ZIO00000085	Sniper Hood
