STE00000001	移除截图提示
STE00000002	移除屏幕角落显示的“截图文件……已创建”提示。
STE00000003	控制台打印
STE00000004	把截图提示信息打印到控制台。
STE00000005	音效ID
STE00000006	要播放的音效的Editor ID。
STE00000007	音量
STE00000008	要播放的音效的音量。
STE00000009	移除业力提示
STE00000010	移除善恶业力变化的音效和提示。
STE00000011	移除邪恶业力提示
STE00000012	移除邪恶业力音效
STE00000013	移除善良业力提示
STE00000014	移除善良业力音效
STE00000015	重复音效冷却间隔
STE00000016	如果邪恶业力音效间隔小于给定时间（毫秒），不重复播放音效。
STE00000017	最小涨幅阈值
STE00000018	如果业力上升的量小于给定数值，忽略提示和音效。
STE00000019	最小跌幅阈值
STE00000020	如果业力下降的量小于给定数值，忽略提示和音效。
STE00000021	移除残疾/暴击提示
STE00000022	移除目标被致残/暴击的提示。
STE00000023	移除暴击
STE00000024	移除暴击提示。
STE00000025	移除致残
STE00000026	移除目标肢体被致残提示。
STE00000027	瞄准操作时奔跑
STE00000028	移除瞄准操作时的移速惩罚。
STE00000029	近战格挡时
STE00000030	移除近战格挡的移速惩罚。
STE00000031	瞄准时
STE00000032	移除瞄准时的移速惩罚。
STE00000033	移除音频失真
STE00000034	移除佩戴面具或使用对讲机角色的音频失真效果。
STE00000035	炸麦模式
STE00000036	将戴面具的失真效果应用到所有音效上。
STE00000037	鼠标滚轮不改变视角
STE00000038	鼠标滚轮缩放时不改变视角。
STE00000039	第一人称
STE00000040	阻止鼠标滚轮切入第三人称。
STE00000041	第三人称
STE00000042	阻止鼠标滚轮切入第一人称。
STE00000043	战斗中禁用哔哔小子
STE00000044	战斗中禁用哔哔小子。
STE00000045	显示角落提示
STE00000046	角落提示“战斗中禁用哔哔小子”或“没有足够的行动点数使用哔哔小子”。
STE00000047	允许消耗行动点数使用哔哔小子
STE00000048	允许消耗行动点数使用哔哔小子。
STE00000049	行动点数消耗
STE00000050	消耗多少行动点数。
STE00000051	行动点数不足提示
STE00000052	禁用哔哔小子提示
STE00000053	跳跃消耗行动点数
STE00000054	跳跃消耗行动点数。
STE00000055	行动点数消耗
STE00000056	允许行动点数不足时跳跃
STE00000057	关闭该选项，你就只能在有足够行动点数时跳跃。
STE00000058	仅战斗中限制
STE00000059	只在战斗中需要行动点数。
STE00000060	合并战斗后获取经验条
STE00000061	直到脱离战斗再显示总的经验获取。
STE00000062	延迟时间
STE00000063	脱战后延迟多久再显示经验条。
STE00000064	隐藏技能检定标签
STE00000065	隐藏对话中的技能检定标签，如[特长（perk）]，[口才]，[交易]等。
STE00000066	移除红色高亮
STE00000067	移除提示检定会失败的红色高亮。
STE00000068	添加百分号
STE00000069	在TTW的概率检定中添加百分号。
STE00000070	移除[成功]和[失败]标签
STE00000071	移除对话中的[成功]和[失败]标签。
STE00000072	对话中隐藏经验条
STE00000073	对话中获得经验时隐藏经验条。
STE00000074	隐藏对话的进度信息和挑战更新角落提示
STE00000075	在综合信息界面隐藏“说服成功”和“说服失败”的统计，以及挑战角落提示。
STE00000076	标签移除模式
STE00000077	不要移除标签
STE00000078	保留技能检定标签，例如“[口才24/50]随便。”
STE00000079	移除整个标签
STE00000080	移除整个标签，例如“随便。”
STE00000081	只移除数值
STE00000082	移除技能检定标签中的数值，例如“[口才]随便。”
STE00000083	移速惩罚
STE00000084	给倒着走、边瞄准边走设定移速惩罚。
STE00000085	左
STE00000086	右
STE00000087	后
STE00000088	后左
STE00000089	后右
STE00000090	前左
STE00000091	前右
STE00000092	近战格挡
STE00000093	瞄准
STE00000094	装弹或卡壳
STE00000095	装弹或卡壳动画播放时的修正。
STE00000096	自动武器开火
STE00000097	自动武器开火时的修正。
STE00000098	单独开关硬核模式特性
STE00000099	单独开关硬核模式特性，独立于游戏本体的硬核模式设置。
STE00000100	弹药重量
STE00000101	同伴不死
STE00000102	同伴生命值归零时进入失去意识状态而非死亡。
STE00000103	睡觉恢复
STE00000104	睡觉是否让玩家恢复。注意，这个设置不影响在玩家拥有的床上睡觉——这是个脚本效果。
STE00000105	辐射76风格超重
STE00000106	超重时可以消耗行动点数奔跑跳跃。
STE00000107	行动点数消耗
STE00000108	每个时间间隔消耗的行动点数。
STE00000109	行动点数消耗间隔
STE00000110	行动点数消耗的时间间隔（毫秒）。
STE00000111	跳跃消耗
STE00000112	跳跃消耗的行动点数。
STE00000113	超重且行动点数为0时允许跳跃。
STE00000114	移除超重提示
STE00000115	移除“你超重了，不能奔跑！”的提示。
STE00000116	超重且行动点数不足时允许奔跑。
STE00000117	超重且行动点数为0时允许奔跑。
STE00000118	基于负重消耗行动点数
STE00000119	根据超重的程度缩放行动点数消耗，公式为iAPDrainCost*当前负重/最大负重。
STE00000120	超重奔跑速率乘数
STE00000121	超重时奔跑速率的乘数。
STE00000122	进入VATS消耗行动点数
STE00000123	进入VATS就立刻消耗一定的行动点数。
STE00000124	行动点数消耗
STE00000125	进入VATS消耗多少行动点数。
STE00000126	行动点数不足时禁用VATS
STE00000127	如果行动点数不足以让当前武器开火，禁用VATS。
STE00000128	仅失败时消耗
STE00000129	只在未找到目标时消耗行动点数。
STE00000130	未选定目标时消耗
STE00000131	只在你未选定目标就退出VATS时消耗行动点数。
STE00000132	Alt-TAB不暂停游戏
STE00000133	Alt-TAB切屏后游戏不进入暂停菜单，推荐配合OneTweak中的“Active in Background”选项，让游戏世界在后台保持运行。
STE00000134	静音音效
STE00000135	Alt-tab时让音效静音（不包括音乐）。
STE00000136	半空中快速旅行
STE00000137	允许在半空中快速旅行。
STE00000138	移除经验提示
STE00000139	移除经验条和音效。
STE00000140	击杀
STE00000141	移除击杀获得的经验提示。
STE00000142	发现地点
STE00000143	移除发现地点获得的经验提示。
STE00000144	RewardXP指令
STE00000145	移除RewardXP指令获得的经验提示。
STE00000146	说服挑战
STE00000147	移除说服挑战获得的经验提示。
STE00000148	破解终端
STE00000149	移除破解终端获得的经验提示。
STE00000150	开锁
STE00000151	移除开锁获得的经验提示。
STE00000152	解除地雷
STE00000153	移除解除地雷获得的经验提示。
STE00000154	更好的自动行走
STE00000155	左右移动不会取消自动行走。
STE00000156	允许倒着自动行走
STE00000157	倒着走时开启自动行走会自动倒着走。
STE00000158	开锁作弊菜单
STE00000159	开锁时显示作弊菜单。
STE00000160	Alt-TAB不打开哔哔小子
STE00000161	按住Alt时按tab不打开哔哔小子。
STE00000162	移除失去意识提示
STE00000163	移除“某角色已失去意识”的提示。
