STE00000001	No Screenshot Taken Popup
STE00000002	Stops the 'Screenshot: File ... created' pop-up appearing at the top right corner of the screen.
STE00000003	Print To Console
STE00000004	Print the screenshot created message to console.
STE00000005	Sound ID
STE00000006	Editor ID of the sound to play.
STE00000007	Sound Volume
STE00000008	Volume of the played sound.
STE00000009	No Karma Messages
STE00000010	Stops the sounds and messages for good and bad karma.
STE00000011	Remove Evil Messages
STE00000012	Remove Evil Sounds
STE00000013	Remove Good Messages
STE00000014	Remove Good Sounds
STE00000015	Repeated Sound Ignore Interval
STE00000016	Stops the bad karma sound repeating within the provided time (in milliseconds).
STE00000017	Minimum Increase For Messages/Sounds
STE00000018	Ignore karma messages and sounds if the increase in karma is below this value.
STE00000019	Minimum Decrease For Messages/Sounds
STE00000020	Ignore karma messages and sounds if the decrease in karma is below this value.
STE00000021	No Cripple/Critical Messages
STE00000022	Prevents the target crippled/critical hit popups.
STE00000023	Remove Critical
STE00000024	Remove critical hit messages.
STE00000025	Remove Crippled
STE00000026	Remove crippled target limb messages.
STE00000027	Run While Aiming
STE00000028	Remove the movement penalty associated with aiming.
STE00000029	While Melee Blocking
STE00000030	Remove the penalty for melee blocking.
STE00000031	While Iron-Sighting
STE00000032	Remove the penalty for iron sighting.
STE00000033	No Audio Distortion
STE00000034	Remove the audio distortion effect applied to actors wearing masks and intercoms.
STE00000035	Deep Fried
STE00000036	Apply the distortion to all sounds, not just NPCs wearing masks.
STE00000037	Scroll-wheeling Doesn't Change POV
STE00000038	Stops the point of view changing when zooming in/out (scrolling).
STE00000039	First-Third Person
STE00000040	Prevent scrolling changing view from first to third person.
STE00000041	Third-First Person
STE00000042	Prevent scrolling changing view from third to first person.
STE00000043	No Pip-Boy In Combat
STE00000044	Disallows use of the Pip-Boy during combat.
STE00000045	Show Corner Message
STE00000046	Enable corner messages 'No Pip-Boy in combat' or 'Not enough AP to use Pip-Boy in combat'.
STE00000047	Allow Pip-Boy Using Action Points
STE00000048	Allow the use of Pip-Boy for 'AP Cost' action points.
STE00000049	AP Cost
STE00000050	Number of action points used.
STE00000051	Not Enough AP Message
STE00000052	Not Allowed Message
STE00000053	Jumping Costs AP
STE00000054	Makes jumping cost Action Points.
STE00000055	AP cost
STE00000056	Jump without enough AP
STE00000057	If disabled, you will only be able to jump if you have enough AP.
STE00000058	During Combat Only
STE00000059	Only require action points during combat.
STE00000060	Combined Post-Combat XP Bar
STE00000061	Delay XP pop-ups till the end of combat.
STE00000062	Post-Combat Delay Time
STE00000063	The amount of time after combat till the XP message will be shown.
STE00000064	No Skill Tags
STE00000065	Hides the [Perk], [Speech], [Barter], etc. tags from dialogue options.
STE00000066	Remove Red Highlight
STE00000067	Removes the red outline on dialogue options where the skill check would fail.
STE00000068	Add Percent Symbol
STE00000069	Show the % symbol on TTW percentage based speech checks (e.g. [Speech 20%] -> [Speech%]).
STE00000070	Remove [Success] And [FAILED]
STE00000071	Removes the [SUCCESS] and [FAILED] from responses.
STE00000072	Hide XP Popups In Dialogue
STE00000073	Hides XP pop-ups if earned during dialogue.
STE00000074	Hide Misc Stats and Challenge Popups
STE00000075	Hides the 'Speech Successes' and 'Speech Failures' in the stats menu and challenge update corner messages.
STE00000076	Tag Removal Mode
STE00000077	Don't Remove Skill Tags
STE00000078	Keep skill tags, e.g. '[Speech 24/50] Whatever.'
STE00000079	Remove Entire Skill Tag
STE00000080	Remove entire tag, e.g. 'Whatever.'
STE00000081	Keep Skill But Remove Number
STE00000082	Remove the number but keep the skill visible, e.g. '[Speech] Whatever.'
STE00000083	Movement Penalties
STE00000084	Adds a configurable movement penalty for when the player is moving backwards or aiming.
STE00000085	Left
STE00000086	Right
STE00000087	Back
STE00000088	Back Left
STE00000089	Back Right
STE00000090	Front Left
STE00000091	Front Right
STE00000092	Melee Blocking
STE00000093	Weapon Aiming
STE00000094	Reload or Jams
STE00000095	Modifier while reload and weapon jam animations are playing.
STE00000096	Firing Automatic Weapons
STE00000097	Modifier while firing an automatic weapon.
STE00000098	Individual Hardcore Features
STE00000099	Enable toggling of individual hardcore features, separately from the game's hardcore setting.
STE00000100	Ammo Weight
STE00000101	Essential Companions
STE00000102	Makes companions unconscious instead of dying when losing all their health.
STE00000103	Sleep Healing
STE00000104	Toggle sleeping healing the player - NOTE: does not affect sleeping in player-owned beds as this is a scripted effect.
STE00000105	Fallout 76 Encumbrance
STE00000106	Enables running and jumping for Action Points while over-encumbered.
STE00000107	AP drain cost
STE00000108	Amount of AP drained every interval.
STE00000109	AP drain interval
STE00000110	Rate at which AP is drained (in ms).
STE00000111	Jump AP cost
STE00000112	Action points used to jump.
STE00000113	Allows jumping while over-encumbered with 0 AP.
STE00000114	Remove encumbrance message
STE00000115	Removes the "You are over-encumbered and cannot run!" message.
STE00000116	Allow running without enough AP
STE00000117	Allows running while over-encumbered with 0 AP.
STE00000118	Weight based AP drain
STE00000119	Scale the AP drain by how overencumbered you are, i.e. iAPDrainCost * CurrentWeight/MaxWeight, so carrying 2x your max weight would double the AP drain.
STE00000120	Overencumbered run speed multiplier
STE00000121	Speed multiplier applied while running overencumbered.
STE00000122	Entering VATS Costs AP
STE00000123	Adds an AP penalty for entering VATS.
STE00000124	Enter VATS AP cost
STE00000125	Amount of action points used to enter VATS.
STE00000126	No VATS without enough AP
STE00000127	Stops VATS from entering if there is not enough AP to fire the current weapon.
STE00000128	Fail only
STE00000129	Only charge AP if there were no targets found.
STE00000130	No targets only
STE00000131	Instead of charging AP when entering VATS, charge it if you exit VATS without selecting a target.
STE00000132	No Alt-TAB Pause
STE00000133	Stops the game showing the pause menu on alt-tab, recommend pairing with OneTweak's 'Active in Background' option to keep the game running when alt-tabbed.
STE00000134	Mute sounds
STE00000135	Mute sounds (excluding music) on alt-tab.
STE00000136	Midair Fast-Travel
STE00000137	Allows fast-travel in midair.
STE00000138	No XP Popups
STE00000139	Stops the XP pop-up and associated sound.
STE00000140	Kills
STE00000141	Disable XP pop-ups for kills.
STE00000142	Discovering locations
STE00000143	Disable XP pop-ups for discovering locations.
STE00000144	RewardXP command
STE00000145	Disable XP pop-ups from use of the RewardXP command.
STE00000146	Speech challenges
STE00000147	Disable XP pop-ups for successful speech checks.
STE00000148	Hacking
STE00000149	Disable XP pop-ups for hacking a terminal.
STE00000150	Lockpick
STE00000151	Disable XP pop-ups for successfully picking a lock.
STE00000152	Disarming mines
STE00000153	Disable XP pop-ups for disarming mines.
STE00000154	Better Auto-walk
STE00000155	Moving left or right does not cancel auto-walk (Q key).
STE00000156	Allow backwards auto-walk
STE00000157	Allows backwards autowalking by starting the autowalk while moving backwards.
STE00000158	Cheat Lockpick Menu
STE00000159	Shows the debug lock-pick menu on all lock-pick menus (cheat).
STE00000160	No Pip-Boy on Alt-TAB
STE00000161	Stops the Pip-Boy showing if tab is pressed while alt is held.
STE00000162	No Unconscious Message
STE00000163	Stops the 'Actor is now unconscious' message.
STE00000164	NPCs Pause Between Dialogue Lines
STE00000165	Require clicking to change to the next line in dialogue, giving time to read what was said.
STE00000166	Prevent Manually Skipping Dialogue Lines
STE00000167	Prevent clicking to change to the next line in dialogue.
STE00000168	Hide Enemies On Compass
STE00000169	Hides the enemy markers from the compass.
STE00000170	Show firing enemies
STE00000171	Show enemies who are currently firing their weapon on compass (enemies performing an attack animation).
STE00000172	Equip Broken Items
STE00000173	Allows equipping of broken items (to allow repair with weapon repair kits or skill bonus from apparel).
STE00000174	VATS Ignores Companions
STE00000175	Stops VATS targeting companions.
STE00000176	Combat only
STE00000177	Allow targeting companions in VATS if outside combat.
STE00000178	Don't Show Container After Lockpick
STE00000179	Stops the container menu showing automatically when opening with lock-pick or a key.
STE00000180	Don't Open Doors After Lockpick
STE00000181	Stop doors being activated automatically when opening with lock-pick or a key.
STE00000182	Keep Pip-Boy Light On When Changing Cells
STE00000183	Stops the Pip-Boy light turning off when entering an exterior cell.
STE00000184	Turn light off if it's daytime
STE00000185	Only turn the Pip-Boy light off when entering an exterior between sunrise and sunset.
STE00000186	Use Mouse In Lockpick
STE00000187	Allows the use of left clicking to rotate during lock-pick (in addition to the default WASD).
STE00000188	No Hacking Retry Delay
STE00000189	Removes the delay between hacking attempts (same as changing the game-setting iHackingRetryMilliseconds to 0).
STE00000190	Jump While Overencumbered
STE00000191	Allow jumping while over-encumbered.
STE00000192	No Casino Max Bet
STE00000193	Removes the max bet in casinos and makes increments above 1500 increase by 500 (from 100 default).
STE00000194	Faster Save Menu Close
STE00000195	Removes a hard-coded 3 second delay before menu closing when saving using the pause menu.
STE00000196	No Quest Failed Popup
STE00000197	Stops the QUEST FAILED showing upon failing a quest.
STE00000198	Show only if started
STE00000199	Show the QUEST FAILED but only if the quest was started.
STE00000200	No Location Discovered Popup
STE00000201	Stops the Location Discovered showing.
STE00000202	No Ammo Casings
STE00000203	Stops shooting earning the player ammo casings.
STE00000204	Faster Hacking Transition
STE00000205	Decreases the delay after a successful hack by 2.5 seconds.
STE00000206	Keep Roulette Bet Amount
STE00000207	Don't reset the bet amount to 1 after playing roulette.
STE00000208	Console Numpad Support
STE00000209	Adds support for the numpad buttons /*-+., enter and 0-9 to be used in console.
STE00000210	Allow Activate While Anims Play
STE00000211	Allows activating while firing, reloading, jumping, landing etc. - This means you can start reloading, open a door and finish reloading on the other side.
STE00000212	Unvisited Interior Indicator
STE00000213	Appends a * to the activation prompt of doors leading to interior cells that have not been visited e.g. 'Door to Saloon * '.
STE00000214	Unname unvisited cells
STE00000215	Obscure the cell name to unvisited cells, e.g. Door to...
STE00000216	Indicate respawned cells
STE00000217	Append a + to the activation prompt of doors leading to cells that have respawned.
STE00000218	Show visited cells instead
STE00000219	Show a * on Visited cells instead of unvisited.
STE00000220	Skip Player Deathcam Hotkey
STE00000221	Adds a hot-key 'Left-Alt' or Back on controller to instantly end the player death-cam.
STE00000222	Descriptive Marker Added Message
STE00000223	Adds the marker location name to the 'Marker added.' pop-up.
STE00000224	VATS Ignores Invisible Targets
STE00000225	Disallow targeting invisible enemies in VATS.
STE00000226	Remove Downloads Button
STE00000227	Removes the useless downloads button from the main menu.
STE00000228	Hide Unmarked Map Locations
STE00000229	Only show unvisited locations on the compass if they are marked on the map.
STE00000230	Compass Quest Height Indicator
STE00000231	Use custom icons to show whether a quest marker is above or below the player.
STE00000232	Compass NPC Distance Based Alpha
STE00000233	Fade the compass NPC pips based on distance to the player, uses game-settings fSneakMaxDistance and fSneakExteriorDistanceMult.
STE00000234	Compass Location Distance Based Alpha
STE00000235	Fade the compass location markers based on distance to the player.
STE00000236	Compass Disable Edge Fade
STE00000237	Disable the alpha effect given to icons on the right edge of compass.
STE00000238	No Skill Books If Skill Maxed
STE00000239	Prevents consumption of books if skill level is already at 100.
STE00000240	No Min Companion Map Distance
STE00000241	Removes minimum distance companions are shown on the world map.
STE00000242	Map Show Unconscious Companions
STE00000243	Show unconscious companions on the map, in red.
STE00000244	Compass Custom Companion Color
STE00000245	Customize the color of companions on the compass.
STE00000246	RGB color
STE00000247	The red/green/blue value of the color in hexadecimal.
STE00000248	Disable Show Quest Location
STE00000249	Disables the functionality of the 'Show Location' button on the quest menu.
STE00000250	Prevent Fast Travel
STE00000251	Disables fast travel.
STE00000252	Remember Bobby Pin Health
STE00000253	Remembers the bobby pin health between locks (works through saves).
STE00000254	No Equipped Weapon Movement Penalty
STE00000255	Removes the movement penalty when holding a weapon.
STE00000256	Remove Weapon Damage Buffer
STE00000257	Removes the damage buffer provided for weapons above 75% condition.
STE00000258	Keep Crosshair When Aiming
STE00000259	Keep the cross-hair on the screen when aiming with non-scoped weapons.
STE00000260	Repeat Jumping
STE00000261	Holding the jump button repeatedly jumps.
STE00000262	Remove Sneak Label
STE00000263	Removes the [HIDDEN] etc. label from the HUD.
STE00000264	Tab Closes Terminals
STE00000265	Adds a hotkey Tab to close terminals.
STE00000266	Tab Back In Start Menu
